step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173349,0,0.267209,0.0142045,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.32362e-08
200,20,0.833333,10,5,5,0,10,0,0,0,6,10,0,0.0293801,0,0.488111,0.052165,0,2,0,0.130533,0,0.0219913,0,0,0,0,0.118418,0.0976891,0.319594,0,0,0,1.75057e-05,0,1,0.979908,0.225828,1.5227e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.037503,0,0.638728,0.109217,0,2,0,0.145832,0,0.0499109,0,0,0,0,0.15321,0.282188,0.276721,0,0,0,1.61199e-05,0,1,0.92287,0.202975,4.39434e-07
400,40,1.66667,12,5,7,0,12,0,0,0,8,10,0,0.0428088,0,0.765089,0.180072,0,4,0,0.156902,0,0.0919547,0,0,0,0,0.177678,0.50903,0.307264,0,0,0,1.60643e-05,0,1,0.824117,0.205317,9.81608e-07
500,50,2.08333,12,5,7,0,12,0,0,0,8,10,0,0.0460647,0,0.782677,0.256884,0,4,0,0.228217,0,0.135918,0,0,0,0,0.198183,0.554081,0.333327,0,0,0,1.60611e-05,0,1,0.694799,0.202811,1.79421e-06
600,60,2.5,13,5,8,0,13,0,0,0,8,7,0,0.0478355,0,0.775337,0.335277,0,4,0,0.283724,0,0.17874,0,0,0,0,0.210533,0.586486,0.355692,0,0,0,1.60579e-05,0,1,0.654707,0.207748,2.85446e-06
700,70,2.91667,13,5,7,1,12,1,0,0,7,10,4.16667,0.0485362,1.11716e-05,0.788728,0.414649,0,6,0,0.311679,0,0.218174,0,0,0,0,0.218791,0.667819,0.389899,0,0,0,1.60547e-05,0,0.999965,0.652694,0.215174,4.11853e-06
800,80,3.33333,13,5,5,3,11,2,0,0,10,10,8.33333,0.0484646,0.000226784,0.683603,0.487505,0,6,0,0.374558,0,0.25262,0,0,0,0,0.227075,0.654971,0.463019,0,0,0,1.60515e-05,0,0.999228,0.650659,0.221447,5.52466e-06
900,90,3.75,15,5,5,5,10,5,0,0,8,9,12.5,0.047841,0.000647791,0.540146,0.549436,0,6,0,0.443301,0,0.282182,0,0,0,0,0.232313,0.612107,0.517355,0,0,0,1.60483e-05,0,0.997591,0.648599,0.226723,7.01385e-06
1000,100,4.16667,16,5,6,5,11,5,0,0,6,5,12.5,0.0468321,0.00107025,0.488546,0.599885,0,10,0,0.465983,0,0.307317,0,0,0,0,0.230851,0.553102,0.605274,0,0,0,1.60451e-05,0,0.99568,0.646511,0.231143,8.53858e-06
1100,110,4.58333,17,5,7,5,12,5,0,0,5,6,12.5,0.0455633,0.00146546,0.489086,0.648943,0,10,0,0.45201,0,0.328428,0,0,0,0,0.223448,0.502501,0.646601,0,0,0,1.60419e-05,0,0.993629,0.644396,0.234819,1.00624e-05
1200,120,5,21,5,10,6,15,6,0,0,2,9,16.6667,0.0441285,0.00188581,0.461779,0.696391,0,10,0,0.453929,0,0.346015,0,0,0,0,0.216401,0.461128,0.662173,0,0,0,1.60387e-05,0,0.991233,0.642255,0.237847,1.15582e-05
1300,130,5.41667,22,5,11,6,16,6,0,0,2,10,16.6667,0.0425981,0.00238315,0.449024,0.742025,0,10,0,0.450402,0,0.360613,0,0,0,0,0.208942,0.433995,0.670968,0,0,0,1.60355e-05,0,0.988233,0.640091,0.240336,1.30072e-05
1400,140,5.83333,25,5,12,8,18,7,0,0,2,10,16.6667,0.0410247,0.00284841,0.424594,0.78585,0,10,0,0.44201,0,0.372706,0,0,0,0,0.20056,0.395915,0.677116,0,0,0,1.60323e-05,0,0.985125,0.637907,0.242356,1.43975e-05
1500,150,6.25,30,5,18,7,23,7,0,0,1,8,16.6667,0.0394471,0.00328365,0.416599,0.827786,0,10,2,0.42931,0.005,0.382704,0,0,0,0,0.19005,0.379118,0.676566,0,0,0,1.60291e-05,0,0.98193,0.635706,0.243975,1.57227e-05
1600,160,6.66667,33,5,19,9,24,9,0,0,1,10,16.6667,0.0378935,0.00369081,0.429853,0.870158,0,10,2,0.411611,0.015,0.39094,0,0,0,0,0.178542,0.384572,0.670987,0,0,0,3.24591e-05,0,0.978664,0.633492,0.245253,1.69798e-05
1700,170,7.08333,38,5,21,12,27,11,0,0,1,10,16.6667,0.0363836,0.0040717,0.42609,0.912943,0,10,5,0.393659,0.025,0.397691,0,0,0,0,0.167389,0.361279,0.664446,0,0,0,0.000102454,0,0.975341,0.631267,0.24624,1.81683e-05
1800,180,7.5,41,5,23,13,28,13,0,0,0,9,25,0.0349309,0.00497425,0.409066,0.954733,0,10,5,0.375027,0.035,0.403191,0,0,0,0,0.156073,0.335041,0.654997,0,0,0,0.000172912,0,0.970746,0.629035,0.2469,1.92892e-05
1900,190,7.91667,47,5,28,14,33,14,0,0,0,10,25,0.0335443,0.00600955,0.411406,0.995705,0,10,5,0.355111,0.045,0.40764,0,0,0,0,0.145226,0.337213,0.638462,0,0,0,0.000258667,0,0.965658,0.626798,0.247338,2.03447e-05
2000,200,8.33333,51,5,27,19,35,16,0,0,0,9,25,0.032229,0.00697806,0.414017,1.03685,0,10,8,0.339773,0.06615,0.41119,0,0,0,0,0.134364,0.330193,0.622876,0,0,0,0.000521371,0,0.960531,0.624557,0.24761,2.13375e-05
2100,210,8.75,57,5,29,23,36,21,0,0,0,9,25,0.0309871,0.00788409,0.403118,1.07769,0,10,9,0.326527,0.095,0.413969,0,0,0,0,0.123648,0.309064,0.608538,0,0,0,0.000886627,0,0.955375,0.622312,0.247741,2.22706e-05
2200,220,9.16667,65,5,27,33,40,25,0,0,0,9,25,0.0298193,0.00873167,0.396042,1.11766,0,10,9,0.314464,0.12415,0.416087,0,0,0,0,0.114234,0.293546,0.595344,0,0,0,0.0012561,0,0.9502,0.620066,0.24775,2.3147e-05
2300,230,9.58333,66,5,27,34,40,26,0,0,0,9,25,0.0287243,0.00952457,0.389829,1.15685,0,10,9,0.304431,0.1589,0.417641,0,0,0,0,0.10548,0.284038,0.583202,0,0,0,0.00169382,0,0.945015,0.617819,0.247654,2.39698e-05
2400,240,10,73,5,26,42,44,29,0,0,0,9,33.3333,0.0277001,0.0107801,0.37304,1.19506,0,10,9,0.293154,0.19615,0.418715,0,0,0,0,0.0968945,0.272048,0.571843,0,0,0,0.00221485,0,0.938618,0.615572,0.247398,2.47421e-05
2500,250,10.4167,76,5,22,49,43,33,0,0,0,10,33.3333,0.0267441,0.0121781,0.364983,1.23212,0,10,9,0.283749,0.2402,0.419379,0,0,0,0,0.089369,0.278268,0.561316,0,0,0,0.00345526,0,0.931683,0.613328,0.247045,2.54668e-05
2600,260,10.8333,82,5,25,52,46,36,0,0,0,8,37.5,0.0258531,0.014751,0.348143,1.26774,0,10,9,0.273935,0.28315,0.419694,0,0,0,0,0.0823886,0.270414,0.551531,0,0,0,0.01726,0,0.924178,0.611088,0.246601,2.61469e-05
2700,270,11.25,84,5,22,57,44,40,0,0,0,9,41.6667,0.0250237,0.0178097,0.33936,1.30198,0,10,9,0.26307,0.32525,0.419712,0,0,0,0,0.0755767,0.281643,0.542466,0,0,0,0.0597626,0,0.916383,0.608849,0.246093,2.67852e-05
2800,280,11.6667,86,5,22,59,44,41,1,0,0,9,41.6667,0.0242522,0.0224359,0.330632,1.33553,0,10,9,0.253708,0.36735,0.419476,0,0,0,0,0.0695856,0.300748,0.533964,0,0,0,0.131525,0,0.907788,0.606612,0.245493,2.73844e-05
2900,290,12.0833,91,5,22,64,46,42,3,0,0,8,41.6667,0.0235352,0.0267638,0.32398,1.36809,0,10,9,0.244806,0.4095,0.419024,0,0,0,0,0.0640148,0.324693,0.526103,0,0,0,0.232826,0,0.899226,0.604374,0.244861,2.7947e-05
3000,300,12.5,93,5,23,65,47,41,5,0,0,9,41.6667,0.0228691,0.0308124,0.310936,1.39977,0,10,9,0.235508,0.45275,0.418386,0,0,0,0,0.0585803,0.341246,0.518817,0,0,0,0.364022,0,0.890699,0.602132,0.244199,2.84754e-05
3100,310,12.9167,96,5,20,71,45,44,7,0,0,9,41.6667,0.0222503,0.0347168,0.302743,1.43062,0,10,9,0.227842,0.4972,0.417589,0,0,0,0,0.0538136,0.361522,0.512046,0,0,0,0.525647,0,0.882137,0.599883,0.243506,2.89751e-05
3200,320,13.3333,100,5,24,71,48,44,8,0,0,8,45.8333,0.0216756,0.0400463,0.290581,1.46029,0,10,9,0.220707,0.5419,0.416655,0,0,0,0,0.0494033,0.373249,0.505675,0,0,0,0.718196,0,0.872577,0.597625,0.242759,2.94463e-05
3300,330,13.75,101,5,20,76,44,48,9,0,0,7,45.8333,0.0211417,0.0461052,0.276347,1.48845,0,10,9,0.213169,0.58545,0.415606,0,0,0,0,0.0451335,0.36365,0.499608,0,0,0,0.797406,0,0.862507,0.595357,0.24194,2.98848e-05
3400,340,14.1667,104,5,23,76,46,47,11,0,0,10,50,0.0206455,0.0520419,0.283266,1.51672,0,10,9,0.207192,0.63,0.414457,0,0,0,0,0.0414159,0.400569,0.49388,0,0,0,0.797381,0,0.852316,0.593076,0.24108,3.02969e-05
3500,350,14.5833,105,5,23,77,46,45,14,0,0,10,54.1667,0.0201843,0.060131,0.270718,1.5444,0,10,9,0.201836,0.675,0.413225,0,0,0,0,0.0380215,0.409866,0.488344,0,0,0,0.797349,0,0.840971,0.590783,0.240138,3.06936e-05
3600,360,15,109,5,25,79,48,45,16,0,0,9,54.1667,0.0197552,0.074419,0.25222,1.57058,0,10,9,0.196198,0.72,0.411924,0,0,0,0,0.0347693,0.408248,0.483058,0,0,0,0.797317,0,0.827768,0.588479,0.239152,3.10578e-05
3700,370,15.4167,113,5,27,81,50,46,17,0,0,8,54.1667,0.0193559,0.0871544,0.236435,1.59501,0,9,8,0.191901,0.76095,0.410567,0,0,0,0,0.0319651,0.389833,0.47808,0,0,0,0.79732,0,0.814643,0.586165,0.238159,3.14001e-05
3800,380,15.8333,114,5,25,84,47,49,18,0,0,7,54.1667,0.018984,0.0985163,0.22209,1.61787,0,9,8,0.188218,0.80095,0.409167,0,0,0,0,0.0294549,0.370352,0.473386,0,0,0,0.797325,0,0.801598,0.583844,0.237161,3.17217e-05
3900,390,16.25,115,5,22,88,44,52,19,0,0,5,54.1667,0.0186373,0.10945,0.209025,1.63939,0,8,7,0.18424,0.8372,0.407735,0,0,0,0,0.0270805,0.35025,0.468957,0,0,0,0.797346,0,0.788077,0.581517,0.236164,3.20349e-05
4000,400,16.6667,119,5,21,93,46,49,20,4,0,6,58.3333,0.018314,0.123842,0.198536,1.65981,0,8,7,0.181324,0.8722,0.406281,0,0,0,0,0.0249981,0.332918,0.464718,0,0,0,0.797373,0,0.773426,0.57919,0.235146,3.232e-05
4100,410,17.0833,120,5,20,95,46,49,19,6,0,6,58.3333,0.0180122,0.139268,0.189206,1.67914,0,6,6,0.178713,0.9043,0.404812,0,0,0,0,0.0230904,0.315525,0.460685,0,0,0,0.797417,0,0.758223,0.576864,0.234125,3.25882e-05
4200,420,17.5,120,5,18,97,45,49,20,6,0,6,58.3333,0.0177303,0.152914,0.180453,1.69761,0,6,6,0.175723,0.9343,0.403335,0,0,0,0,0.0212819,0.298107,0.456885,0,0,0,0.797476,0,0.743081,0.574544,0.233118,3.28431e-05
