step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.188156,0.0100357,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.029496,0.000195807,0.325623,0.0360273,0,2,0,0.130619,0,0.0267037,0,0,0,0,0.296015,0.044821,0.357362,0,0,0,0.000602391,0,0.999479,0.988309,0.241776,7.55031e-06
300,30,1.25,13,5,6,2,11,2,0,0,6,10,8.33333,0.0377695,0.000492675,0.420648,0.0736859,0,2,0,0.146574,0,0.0831024,0,0,0,0,0.382939,0.11709,0.397674,0,0,0,0.000364112,0,0.998646,0.954036,0.254473,2.30885e-05
400,40,1.66667,13,5,4,4,9,4,0,0,7,10,12.5,0.0434103,0.000919148,0.48205,0.119202,0,4,0,0.159203,0,0.172636,0,0,0,0,0.443933,0.18286,0.417888,0,0,0,1.69406e-05,0,0.997413,0.890448,0.2562,5.86742e-05
500,50,2.08333,16,5,6,5,11,5,0,0,9,10,16.6667,0.0471467,0.00135114,0.472915,0.166777,0,4,0,0.181164,0,0.258371,0,0,0,0,0.487366,0.219473,0.423329,0,0,0,1.65193e-05,0,0.995929,0.808742,0.250206,0.000117075
600,60,2.5,21,5,10,6,15,6,0,0,9,8,16.6667,0.0494749,0.00188298,0.430152,0.212842,0,4,0,0.210771,0,0.333979,0,0,0,0,0.515435,0.22651,0.418771,0,0,0,1.61976e-05,0,0.993429,0.721368,0.239645,0.000196407
700,70,2.91667,22,5,9,8,15,7,0,0,7,8,20.8333,0.0507503,0.00249367,0.402991,0.254457,0,6,0,0.232724,0,0.39678,0,0,0,0,0.532333,0.215781,0.410978,0,0,0,1.61343e-05,0,0.990119,0.652683,0.229659,0.000292573
800,80,3.33333,26,5,10,11,16,10,0,0,9,5,25,0.0512337,0.00364606,0.381539,0.293351,0,6,0,0.249367,0,0.446736,0,0,0,0,0.538883,0.194946,0.404883,0,0,0,1.6098e-05,0,0.984924,0.650649,0.227018,0.00040064
900,90,3.75,30,5,13,12,19,11,0,0,8,7,29.1667,0.051122,0.00494336,0.378365,0.331288,0,6,0,0.250194,0,0.485277,0,0,0,0,0.531111,0.180228,0.403893,0,0,0,1.60684e-05,0,0.978618,0.648603,0.226418,0.000515764
1000,100,4.16667,34,5,13,16,18,16,0,0,3,9,29.1667,0.0505697,0.00634925,0.36731,0.368863,0,10,0,0.26203,0,0.515132,0,0,0,0,0.520935,0.1709,0.489803,0,0,0,1.60556e-05,0,0.971313,0.64655,0.230712,0.000633899
1100,110,4.58333,38,5,16,17,21,17,0,0,1,10,29.1667,0.0497018,0.00766445,0.335156,0.403231,0,10,0,0.276201,0,0.53773,0,0,0,0,0.509621,0.147526,0.602537,0,0,0,1.60489e-05,0,0.963611,0.644494,0.234355,0.000752212
1200,120,5,45,5,17,23,23,22,0,0,1,9,33.3333,0.0486086,0.00920607,0.313248,0.435597,0,10,0,0.277645,0,0.554255,0,0,0,0,0.489948,0.126677,0.640532,0,0,0,1.60421e-05,0,0.954664,0.642438,0.23736,0.000868012
1300,130,5.41667,49,5,18,26,24,25,0,0,0,10,33.3333,0.0473616,0.0107056,0.289006,0.46566,0,10,0,0.285864,0,0.56629,0,0,0,0,0.473495,0.110499,0.653487,0,0,0,1.60359e-05,0,0.945297,0.640386,0.23988,0.000979399
1400,140,5.83333,54,5,21,28,27,27,0,0,0,10,37.5,0.0460183,0.0121654,0.277233,0.493848,0,10,0,0.287249,0,0.575063,0,0,0,0,0.453918,0.09533,0.655735,0,0,0,1.60323e-05,0,0.935721,0.638339,0.241988,0.00108525
1500,150,6.25,61,5,23,33,29,32,0,0,0,8,41.6667,0.0446242,0.0162691,0.26048,0.520377,0,10,0,0.281013,0,0.581454,0,0,0,0,0.42956,0.0814768,0.652899,0,0,0,1.60291e-05,0,0.924226,0.636301,0.243645,0.00118502
1600,160,6.66667,63,5,21,37,28,35,0,0,0,10,45.8333,0.0432117,0.0211844,0.256203,0.546281,0,10,0,0.269314,0,0.585435,0,0,0,0,0.404469,0.0731202,0.651715,0,0,0,1.60259e-05,0,0.911909,0.634273,0.244975,0.00127828
1700,170,7.08333,70,5,23,42,33,37,0,0,0,8,45.8333,0.0418061,0.0274339,0.237545,0.571342,0,10,1,0.260247,0,0.588219,0,0,0,0,0.38082,0.0635836,0.651476,0,0,0,1.60227e-05,0,0.898448,0.632256,0.246022,0.00136495
1800,180,7.5,73,5,24,44,34,38,1,0,0,8,50,0.0404289,0.0352628,0.218273,0.593763,0,10,1,0.254158,0,0.590105,0,0,0,0,0.357951,0.0555245,0.652242,0,0,0,1.60195e-05,0,0.883601,0.630251,0.247028,0.00144545
1900,190,7.91667,76,5,25,46,35,40,1,0,0,8,50,0.0390953,0.0437524,0.211422,0.615271,0,10,2,0.245532,0,0.591305,0,0,0,0,0.334841,0.0492942,0.653959,0,0,0,1.60163e-05,0,0.867627,0.628259,0.24812,0.00152028
2000,200,8.33333,83,5,27,51,38,42,3,0,0,10,50,0.0378158,0.053011,0.203978,0.636033,0,10,7,0.240096,0.006475,0.591892,0,0,0,0,0.312915,0.047249,0.643973,0,0,0,1.60131e-05,0,0.850275,0.62628,0.249148,0.00158994
2100,210,8.75,84,5,24,55,38,41,5,0,0,10,50,0.0365969,0.0634903,0.194392,0.655936,0,10,8,0.234786,0.0151375,0.591938,0,0,0,0,0.290906,0.0424827,0.629934,0,0,0,3.45961e-05,0,0.830956,0.624314,0.250099,0.00165488
2200,220,9.16667,91,5,23,63,40,44,7,0,0,9,54.1667,0.0354415,0.0734016,0.186498,0.674989,0,10,8,0.229664,0.0200375,0.591556,0,0,0,0,0.271324,0.0380758,0.617442,0,0,0,8.94111e-05,0,0.811221,0.622361,0.251027,0.00171547
2300,230,9.58333,92,5,23,64,40,44,8,0,0,8,66.6667,0.0343508,0.103779,0.174466,0.693038,0,10,8,0.22474,0.024325,0.590801,0,0,0,0,0.252692,0.0345198,0.606055,0,0,0,0.000144007,0,0.784111,0.620421,0.251816,0.00177201
2400,240,10,97,5,24,68,42,44,11,0,0,9,66.6667,0.0333241,0.1368,0.162589,0.709843,0,10,9,0.219379,0.0291375,0.589792,0,0,0,0,0.234002,0.0340201,0.595751,0,0,0,0.000245012,0,0.754811,0.618493,0.252511,0.00182479
2500,250,10.4167,102,5,23,74,45,44,13,0,0,8,66.6667,0.0323602,0.16574,0.152376,0.725607,0,10,9,0.2152,0.0343875,0.58852,0,0,0,0,0.217338,0.032996,0.586029,0,0,0,0.000868519,0,0.725619,0.616576,0.252965,0.0018741
2600,260,10.8333,107,5,23,79,46,46,15,0,0,7,66.6667,0.0314568,0.191107,0.143028,0.740353,0,10,9,0.211148,0.0394625,0.587011,0,0,0,0,0.201538,0.0308661,0.577292,0,0,0,0.00554769,0,0.69655,0.614671,0.253382,0.00192017
2700,270,11.25,110,5,22,83,45,48,17,0,0,7,66.6667,0.0306113,0.213342,0.133016,0.754157,0,10,9,0.206621,0.045325,0.585294,0,0,0,0,0.185865,0.0291049,0.569409,0,0,0,0.0154455,0,0.667617,0.612777,0.253751,0.00196322
2800,280,11.6667,112,5,24,83,45,48,19,0,0,8,66.6667,0.0298206,0.232836,0.124089,0.766989,0,10,9,0.203477,0.0517125,0.583397,0,0,0,0,0.172213,0.0290792,0.562271,0,0,0,0.0308012,0,0.638834,0.610893,0.254066,0.00200343
2900,290,12.0833,118,5,25,88,46,50,22,0,0,6,66.6667,0.0290817,0.249929,0.115417,0.778955,0,10,10,0.200814,0.0580125,0.581349,0,0,0,0,0.159678,0.0282352,0.555536,0,0,0,0.0516024,0,0.610209,0.609018,0.254223,0.00204099
3000,300,12.5,119,5,23,91,44,52,22,1,0,6,70.8333,0.0283914,0.273345,0.106499,0.790045,0,10,10,0.197761,0.06545,0.579183,0,0,0,0,0.147427,0.0265544,0.549432,0,0,0,0.0782411,0,0.579134,0.607152,0.254344,0.00207606
3100,310,12.9167,125,5,23,97,47,53,21,4,0,6,79.1667,0.0277467,0.309662,0.0980747,0.800289,0,10,10,0.195678,0.0732375,0.57692,0,0,0,0,0.136636,0.0249923,0.543828,0,0,0,0.111161,0,0.543224,0.605295,0.254405,0.00210882
3200,320,13.3333,128,5,20,103,49,53,21,5,0,7,79.1667,0.0271446,0.349197,0.0905584,0.809698,0,10,10,0.193675,0.0819875,0.574581,0,0,0,0,0.126527,0.0237767,0.538703,0,0,0,0.15061,0,0.504551,0.603447,0.254422,0.0021394
3300,330,13.75,129,5,20,104,47,53,23,6,0,8,79.1667,0.0265821,0.382236,0.0844017,0.818445,0,10,10,0.190979,0.0917875,0.572177,0,0,0,0,0.116606,0.0238687,0.533942,0,0,0,0.197384,0,0.466126,0.601606,0.25437,0.00216795
3400,340,14.1667,133,5,17,111,49,54,22,8,0,8,100,0.0260565,0.420816,0.0779709,0.826564,0,10,10,0.189077,0.1022,0.569719,0,0,0,0,0.107877,0.0228364,0.529466,0,0,0,0.25199,0,0.424609,0.599773,0.25424,0.00219459
3500,350,14.5833,0,0,0,0,0,0,0,0,0,5,100,0.0255885,0.458753,0.0683232,0.833848,0,10,10,0.187189,0.11305,0.573912,0,0,0,0,0.0997882,0.0219698,0.52014,0,0,0,0.314811,0,0.341105,0.597949,0.251994,0.00222328
3600,360,15,0,0,0,0,0,0,0,0,0,4,100,0.0251873,0.489807,0.0605872,0.840273,0,10,10,0.184594,0.12635,0.576959,0,0,0,0,0.0918238,0.0214023,0.51174,0,0,0,0.3866,0,0.261143,0.596132,0.249962,0.00225618
3700,370,15.4167,0,0,0,0,0,0,0,0,0,3,100,0.024837,0.515227,0.0543031,0.846015,0,10,10,0.182893,0.141313,0.57911,0,0,0,0,0.0848474,0.0210204,0.504161,0,0,0,0.469223,0,0.204479,0.594322,0.248115,0.00229148
3800,380,15.8333,0,0,0,0,0,0,0,0,0,4,100,0.0245263,0.536034,0.0513415,0.851264,0,10,10,0.18133,0.1568,0.580545,0,0,0,0,0.0784442,0.0306972,0.496871,0,0,0,0.563219,0,0.147524,0.592519,0.246254,0.00232791
3900,390,16.25,0,0,0,0,0,0,0,0,0,4,100,0.0242467,0.553067,0.0482301,0.856247,0,10,10,0.179128,0.17325,0.581404,0,0,0,0,0.0722591,0.0413561,0.489059,0,0,0,0.669212,0,0.0903766,0.590722,0.244067,0.00236455
4000,400,16.6667,0,0,0,0,0,0,0,0,0,4,100,0.0239919,0.567009,0.0448807,0.860905,0,10,10,0.177715,0.190487,0.581792,0,0,0,0,0.0668567,0.0503682,0.481034,0,0,0,0.787677,0,0.0331189,0.588932,0.24169,0.00240078
4100,410,17.0833,0,0,0,0,0,0,0,0,0,4,100,0.0237571,0.578421,0.0414385,0.865217,0,8,8,0.176354,0.209037,0.581789,0,0,0,0,0.0618888,0.057969,0.474377,0,0,0,0.799768,0,1.16015e-06,0.587147,0.239764,0.00243614
4200,420,17.5,0,0,0,0,0,0,0,0,0,4,100,0.0235388,0.587763,0.037966,0.869184,0,8,8,0.174327,0.228462,0.581459,0,0,0,0,0.057105,0.06404,0.471085,0,0,0,0.799755,0,9.37871e-07,0.585368,0.239097,0.00247033
4300,430,17.9167,0,0,0,0,0,0,0,0,0,4,100,0.0233342,0.595411,0.0348327,0.872822,0,7,7,0.173036,0.245,0.580856,0,0,0,0,0.052932,0.0689997,0.46798,0,0,0,0.799751,0,9.37871e-07,0.583594,0.238427,0.00250316
4400,440,18.3333,0,0,0,0,0,0,0,0,0,5,100,0.0231412,0.60167,0.0334755,0.876191,0,5,5,0.171769,0.2576,0.580021,0,0,0,0,0.0491023,0.0785671,0.465044,0,0,0,0.799755,0,9.37871e-07,0.581825,0.237754,0.00253449
4500,450,18.75,0,0,0,0,0,0,0,0,0,4,100,0.0229581,0.606794,0.0292453,0.879318,0,3,3,0.17518,0.263287,0.579001,0,0,0,0,0.0468497,0.0848772,0.462261,0,0,0,0.799772,0,9.37871e-07,0.58006,0.237077,0.00256426
4600,460,19.1667,0,0,0,0,0,0,0,0,0,4,100,0.0227839,0.610988,0.0284711,0.882213,0,3,3,0.173259,0.268012,0.577892,0,0,0,0,0.0433961,0.0851252,0.459616,0,0,0,0.799789,0,9.37871e-07,0.5783,0.236399,0.0025925
4700,470,19.5833,0,0,0,0,0,0,0,0,0,3,100,0.0226182,0.614422,0.0265906,0.884982,0,1,1,0.171477,0.273,0.576683,0,0,0,0,0.0402574,0.0814779,0.457097,0,0,0,0.799802,0,9.37871e-07,0.576544,0.235718,0.0026193
4800,480,20,0,0,0,0,0,0,0,0,0,3,100,0.0224599,0.617232,0.0238274,0.887497,0,1,1,0.169116,0.278512,0.575358,0,0,0,0,0.037273,0.0689978,0.454693,0,0,0,0.799814,0,9.37871e-07,0.574792,0.235035,0.00264468
4900,490,20.4167,0,0,0,0,0,0,0,0,0,3,100,0.0223081,0.619533,0.021613,0.889766,0,1,1,0.167573,0.28455,0.573922,0,0,0,0,0.0346877,0.0588663,0.452391,0,0,0,0.799826,0,9.37871e-07,0.573045,0.234351,0.00266864
5000,500,20.8333,0,0,0,0,0,0,0,0,0,3,100,0.0221622,0.621416,0.0197255,0.891829,0,1,1,0.166129,0.290937,0.572385,0,0,0,0,0.0323343,0.0503469,0.450184,0,0,0,0.799836,0,9.37871e-07,0.571302,0.233666,0.00269119
5100,510,21.25,0,0,0,0,0,0,0,0,0,3,100,0.0220213,0.622957,0.018038,0.893714,0,0,0,0.164083,0.291112,0.57076,0,0,0,0,0.0300942,0.0423225,0.448063,0,0,0,0.799856,0,9.37871e-07,0.569563,0.23298,0.00271233
5200,520,21.6667,0,0,0,0,0,0,0,0,0,3,100,0.021885,0.624219,0.0165965,0.895444,0,0,0,0.16281,0.291112,0.569062,0,0,0,0,0.0281515,0.0357487,0.446019,0,0,0,0.799874,0,9.37871e-07,0.56783,0.232294,0.00273211
5300,530,22.0833,0,0,0,0,0,0,0,0,0,3,100,0.0217528,0.625252,0.0153122,0.897037,0,0,0,0.161614,0.291112,0.567304,0,0,0,0,0.0263818,0.0301981,0.444047,0,0,0,0.79989,0,9.37871e-07,0.566102,0.231608,0.00275056
5400,540,22.5,0,0,0,0,0,0,0,0,0,1,100,0.0216245,0.626097,0.014126,0.898507,0,0,0,0.1598,0.291112,0.565498,0,0,0,0,0.0246445,0.025381,0.442139,0,0,0,0.799904,0,9.37871e-07,0.56438,0.230922,0.00276773
5500,550,22.9167,0,0,0,0,0,0,0,0,0,1,100,0.0214996,0.626789,0.0130901,0.899867,0,0,0,0.158706,0.291112,0.563647,0,0,0,0,0.02304,0.0214431,0.44029,0,0,0,0.799916,0,9.37871e-07,0.562664,0.230237,0.00278368
5600,560,23.3333,0,0,0,0,0,0,0,0,0,1,100,0.0213779,0.627356,0.0121548,0.901128,0,0,0,0.157657,0.291112,0.561746,0,0,0,0,0.0215052,0.0181175,0.438496,0,0,0,0.799927,0,9.37871e-07,0.560954,0.229552,0.00279844
5700,570,23.75,0,0,0,0,0,0,0,0,0,1,100,0.021259,0.627819,0.0112822,0.902299,0,0,0,0.15599,0.291112,0.559789,0,0,0,0,0.0199886,0.0152307,0.43675,0,0,0,0.799936,0,9.37871e-07,0.559251,0.228869,0.00281204
5800,580,24.1667,0,0,0,0,0,0,0,0,0,1,100,0.0211424,0.628199,0.0105118,0.903388,0,0,0,0.155039,0.291112,0.557774,0,0,0,0,0.0186249,0.0128702,0.43505,0,0,0,0.799944,0,9.37871e-07,0.557554,0.228186,0.00282448
5900,590,24.5833,0,0,0,0,0,0,0,0,0,1,100,0.021028,0.62851,0.00980728,0.904402,0,0,0,0.154136,0.291112,0.555702,0,0,0,0,0.0173501,0.0108763,0.433391,0,0,0,0.799951,0,9.37871e-07,0.555863,0.227505,0.00283576
6000,600,25,0,0,0,0,0,0,0,0,0,1,100,0.0209152,0.628764,0.00914191,0.905349,0,0,0,0.152624,0.291112,0.553576,0,0,0,0,0.0161154,0.00914518,0.43177,0,0,0,0.799958,0,9.37871e-07,0.554179,0.226825,0.00284591
6100,610,25.4167,0,0,0,0,0,0,0,0,0,1,100,0.0208038,0.628972,0.00854825,0.906233,0,0,0,0.151816,0.291112,0.551401,0,0,0,0,0.015021,0.00772939,0.430184,0,0,0,0.799963,0,9.37871e-07,0.552501,0.226146,0.00285493
6200,620,25.8333,0,0,0,0,0,0,0,0,0,1,100,0.0206937,0.629143,0.00800049,0.90706,0,0,0,0.151051,0.291112,0.549186,0,0,0,0,0.0140109,0.00653319,0.42863,0,0,0,0.799968,0,9.37871e-07,0.55083,0.225469,0.00286286
6300,630,26.25,0,0,0,0,0,0,0,0,0,1,100,0.0205847,0.629282,0.0074793,0.907833,0,0,0,0.149682,0.291112,0.546938,0,0,0,0,0.0130437,0.00549442,0.427105,0,0,0,0.799971,0,9.37871e-07,0.549165,0.224794,0.00286972
