step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173349,0,0.253339,0.0135758,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.32362e-08
200,20,0.833333,9,5,4,0,9,0,0,0,6,10,0,0.0293801,0,0.438231,0.0485912,0,2,0,0.130595,0,0.0219913,0,0,0,0,0.118418,0.050509,0.357735,0,0,0,7.37172e-05,0,1,0.986565,0.24175,1.5227e-07
300,30,1.25,11,5,6,0,11,0,0,0,6,10,0,0.037503,0,0.562688,0.0991349,0,2,0,0.146492,0,0.0499109,0,0,0,0,0.15321,0.127861,0.399571,0,0,0,1.65471e-05,0,1,0.952809,0.255109,4.39434e-07
400,40,1.66667,12,5,7,0,12,0,0,0,9,10,0,0.0428088,0,0.652846,0.160432,0,4,0,0.159123,0,0.0919547,0,0,0,0,0.177678,0.211014,0.422249,0,0,0,1.63023e-05,0,1,0.890566,0.257956,9.81608e-07
500,50,2.08333,14,5,8,1,13,1,0,0,10,10,4.16667,0.0460623,6.39018e-06,0.702542,0.227929,0,4,0,0.181288,0,0.13523,0,0,0,0,0.194213,0.275084,0.427256,0,0,0,1.61727e-05,0,0.999983,0.802141,0.251116,1.7913e-06
600,60,2.5,14,5,5,4,10,4,0,0,9,10,12.5,0.047822,0.000315282,0.6673,0.297857,0,4,0,0.212825,0,0.176422,0,0,0,0,0.205934,0.310742,0.413645,0,0,0,1.61184e-05,0,0.999154,0.688676,0.234326,2.83678e-06
700,70,2.91667,14,5,5,4,10,4,0,0,7,10,12.5,0.0484977,0.000759193,0.596261,0.361066,0,6,0,0.260657,0,0.213896,0,0,0,0,0.215892,0.312583,0.392647,0,0,0,1.60906e-05,0,0.997876,0.652725,0.222331,4.06393e-06
800,80,3.33333,16,5,7,4,12,4,0,0,9,10,16.6667,0.048394,0.00132472,0.541953,0.417348,0,6,0,0.305919,0,0.247252,0,0,0,0,0.221011,0.302544,0.439445,0,0,0,1.60736e-05,0,0.995937,0.650658,0.221592,5.41615e-06
900,90,3.75,20,5,11,4,16,4,0,0,7,8,16.6667,0.0477419,0.00185826,0.482631,0.468473,0,6,0,0.349064,0,0.276934,0,0,0,0,0.221877,0.270176,0.499384,0,0,0,1.60631e-05,0,0.993723,0.648482,0.226933,6.84818e-06
1000,100,4.16667,20,5,10,5,15,5,0,0,3,7,16.6667,0.0467143,0.00235738,0.46979,0.516134,0,10,0,0.358853,0,0.302638,0,0,0,0,0.218589,0.238249,0.578845,0,0,0,1.60555e-05,0,0.991273,0.646208,0.231413,8.32403e-06
1100,110,4.58333,22,5,11,6,16,6,0,0,3,9,16.6667,0.0454345,0.0028243,0.464707,0.562812,0,10,0,0.367114,0,0.324136,0,0,0,0,0.214066,0.21059,0.650526,0,0,0,1.60464e-05,0,0.988625,0.643874,0.235158,9.8079e-06
1200,120,5,24,5,13,6,18,6,0,0,3,9,16.6667,0.0439934,0.00326109,0.450898,0.608679,0,10,0,0.369716,0,0.341974,0,0,0,0,0.207191,0.195145,0.670293,0,0,0,1.60404e-05,0,0.985814,0.641509,0.238275,1.12702e-05
1300,130,5.41667,26,5,11,10,18,8,0,0,3,7,16.6667,0.0424593,0.00366971,0.439525,0.65299,0,10,0,0.359868,0,0.356715,0,0,0,0,0.198961,0.173134,0.679036,0,0,0,1.60355e-05,0,0.98287,0.639135,0.240856,1.26904e-05
1400,140,5.83333,31,5,16,10,23,8,0,0,3,6,16.6667,0.0408834,0.00405196,0.434614,0.696468,0,10,0,0.348432,0,0.368841,0,0,0,0,0.19004,0.151683,0.68519,0,0,0,1.60323e-05,0,0.979817,0.636767,0.242979,1.40549e-05
