step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173349,0,0.251744,0.0135349,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.32362e-08
200,20,0.833333,10,5,5,0,10,0,0,0,6,9,0,0.0293801,0,0.433295,0.0481034,0,4,0,0.130639,0,0.0219913,0,0,0,0,0.118418,0.0304956,0.359263,0,0,0,0.000619187,0,1,0.99058,0.242763,1.5227e-07
300,30,1.25,11,5,6,0,11,0,0,0,6,10,0,0.037503,0,0.552165,0.0978489,0,4,0,0.146823,0,0.0499109,0,0,0,0,0.15321,0.0823908,0.405218,0,0,0,1.68345e-05,0,1,0.967405,0.258828,4.39434e-07
400,40,1.66667,12,5,7,0,12,0,0,0,9,10,0,0.0428088,0,0.640713,0.158025,0,8,0,0.160237,0,0.0919547,0,0,0,0,0.177678,0.161672,0.567483,0,0,0,1.63044e-05,0,1,0.92437,0.266641,9.81608e-07
500,50,2.08333,12,5,6,1,11,1,0,0,9,10,4.16667,0.0460634,5.06473e-05,0.677873,0.223924,0,8,0,0.195578,0,0.135501,0,0,0,0,0.195222,0.202782,0.643343,0,0,0,1.6125e-05,0,0.999867,0.866112,0.267582,1.7927e-06
600,60,2.5,12,5,5,2,10,2,0,0,8,10,8.33333,0.0478256,0.000343372,0.619951,0.290383,0,8,0,0.24805,0,0.17681,0,0,0,0,0.209084,0.221946,0.667302,0,0,0,1.6088e-05,0,0.999071,0.790145,0.260907,2.84163e-06
700,70,2.91667,13,5,5,3,10,3,0,0,6,10,12.5,0.0485043,0.000687623,0.56024,0.349141,0,12,0,0.313894,0,0.21441,0,0,0,0,0.220887,0.215776,0.677205,0,0,0,1.60705e-05,0,0.998058,0.71418,0.251671,4.07351e-06
800,80,3.33333,13,5,2,6,7,6,0,0,9,10,16.6667,0.0484037,0.00126077,0.508525,0.402213,0,12,0,0.367634,0,0.247761,0,0,0,0,0.228192,0.193691,0.672392,0,0,0,1.60601e-05,0,0.996101,0.65078,0.241799,5.43154e-06
900,90,3.75,14,5,3,6,8,6,0,0,8,10,16.6667,0.0477511,0.00179843,0.472963,0.451196,0,12,0,0.405208,0,0.276777,0,0,0,0,0.230411,0.166249,0.666113,0,0,0,1.60534e-05,0,0.993884,0.648798,0.238996,6.86485e-06
1000,100,4.16667,15,5,4,6,9,6,0,0,7,9,16.6667,0.0467164,0.00230141,0.452162,0.497378,0,17,0,0.430599,0,0.301673,0,0,0,0,0.230275,0.144748,0.666688,0,0,0,1.60491e-05,0,0.991445,0.646813,0.237659,8.33165e-06
1100,110,4.58333,17,5,6,6,11,6,0,0,6,9,16.6667,0.0454265,0.00277194,0.436374,0.541743,0,17,0,0.432548,0,0.32282,0,0,0,0,0.225364,0.127516,0.66809,0,0,0,1.60447e-05,0,0.988816,0.644827,0.237408,9.79964e-06
1200,120,5,19,5,8,6,13,6,0,0,6,9,16.6667,0.0439762,0.00321211,0.419258,0.584495,0,17,0,0.42933,0,0.340641,0,0,0,0,0.218181,0.111606,0.669659,0,0,0,1.60402e-05,0,0.986027,0.642841,0.238646,1.12449e-05
1300,130,5.41667,21,5,9,7,14,7,0,0,5,8,16.6667,0.0424358,0.00362389,0.405433,0.625761,0,17,4,0.426096,0.00135,0.35558,0,0,0,0,0.211245,0.0981841,0.673334,0,0,0,1.60355e-05,0,0.983102,0.640857,0.241336,1.26506e-05
1400,140,5.83333,23,5,11,7,16,7,0,0,5,6,16.6667,0.0408573,0.0040091,0.401444,0.665818,0,17,4,0.421144,0.01635,0.368069,0,0,0,0,0.202164,0.0869321,0.663472,0,0,0,4.20734e-05,0,0.980063,0.638876,0.243568,1.40059e-05
