step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173675,0,0.253427,0.0135876,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.83273e-08
200,20,0.833333,11,5,6,0,11,0,0,0,6,10,0,0.029496,0,0.434634,0.048327,0,4,0,0.130623,0,0.0267037,0,0,0,0,0.296015,0.0425234,0.358692,0,0,0,4.66028e-05,0,1,0.989079,0.242385,1.86436e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.0377695,0,0.555702,0.0984098,0,4,0,0.146662,0,0.0831024,0,0,0,0,0.382939,0.109152,0.402127,0,0,0,1.667e-05,0,1,0.959388,0.256789,5.70684e-07
400,40,1.66667,12,5,7,0,12,0,0,0,8,10,0,0.0434103,0,0.642207,0.158696,0,8,0,0.159703,0,0.172636,0,0,0,0,0.443933,0.180666,0.567957,0,0,0,1.62239e-05,0,1,0.910095,0.26296,1.45102e-06
500,50,2.08333,12,5,5,2,10,2,0,0,8,10,8.33333,0.0471508,7.61061e-05,0.633236,0.222569,0,8,0,0.217788,0,0.259463,0,0,0,0,0.494631,0.193285,0.640576,0,0,0,1.61131e-05,0,0.999746,0.849378,0.263117,2.90238e-06
600,60,2.5,12,5,5,2,10,2,0,0,8,9,8.33333,0.0494917,0.000380697,0.595738,0.284298,0,8,0,0.260057,0,0.336088,0,0,0,0,0.526033,0.20122,0.664534,0,0,0,1.60851e-05,0,0.99848,0.781235,0.25829,4.88857e-06
700,70,2.91667,15,5,6,4,11,4,0,0,6,9,16.6667,0.0507839,0.000747725,0.559246,0.342269,0,12,0,0.296386,0,0.399618,0,0,0,0,0.546633,0.196645,0.675705,0,0,0,1.60663e-05,0,0.996496,0.714577,0.251318,7.30739e-06
800,80,3.33333,17,5,8,4,13,4,0,0,9,9,16.6667,0.0512857,0.00131849,0.506183,0.395259,0,12,0,0.327596,0,0.450117,0,0,0,0,0.557368,0.182772,0.67517,0,0,0,1.60553e-05,0,0.992918,0.656114,0.243844,1.00348e-05
900,90,3.75,19,5,10,4,15,4,0,0,6,6,16.6667,0.0511925,0.00185243,0.475046,0.443956,0,12,0,0.340019,0,0.489093,0,0,0,0,0.554194,0.162933,0.672979,0,0,0,1.60497e-05,0,0.988972,0.648792,0.24185,1.29488e-05
1000,100,4.16667,22,5,12,5,17,5,0,0,6,6,16.6667,0.0506559,0.00235192,0.460537,0.490852,0,17,0,0.344751,0,0.518587,0,0,0,0,0.546256,0.141383,0.673674,0,0,0,1.60451e-05,0,0.984743,0.646808,0.241421,1.59432e-05
1100,110,4.58333,24,5,14,5,19,5,0,0,5,3,16.6667,0.0497955,0.00281919,0.460025,0.536867,0,17,0,0.338925,0,0.540637,0,0,0,0,0.530149,0.124924,0.679394,0,0,0,1.60419e-05,0,0.980299,0.644825,0.241756,1.89333e-05
1200,120,5,29,5,19,5,24,5,0,0,5,1,16.6667,0.0487056,0.00325632,0.453558,0.582468,0,17,0,0.328634,0,0.556982,0,0,0,0,0.507751,0.110098,0.681565,0,0,0,1.60387e-05,0,0.975695,0.642842,0.242637,2.18567e-05
1300,130,5.41667,34,5,21,8,26,8,0,0,4,1,16.6667,0.047461,0.00366524,0.450061,0.627987,0,17,3,0.317642,0.0023625,0.569003,0,0,0,0,0.484182,0.0976087,0.683028,0,0,0,1.60355e-05,0,0.970972,0.640862,0.243892,2.46703e-05
1400,140,5.83333,38,5,23,10,28,10,0,0,3,4,16.6667,0.0461196,0.00404778,0.458372,0.673171,0,17,3,0.311655,0.0286125,0.577752,0,0,0,0,0.457116,0.0908185,0.672423,0,0,0,0.000174163,0,0.966163,0.638885,0.24537,2.73469e-05
1500,150,6.25,45,5,28,12,33,12,0,0,1,6,20.8333,0.0447264,0.00466624,0.443059,0.718571,0,17,3,0.311628,0.0548625,0.583782,0,0,0,0,0.430579,0.0994564,0.654783,0,0,0,0.000505946,0,0.960426,0.636913,0.246144,2.98702e-05
1600,160,6.66667,51,5,29,17,35,16,0,0,0,6,20.8333,0.0433116,0.00535281,0.432708,0.762244,0,17,4,0.308474,0.0811125,0.587448,0,0,0,0,0.405857,0.0887706,0.638087,0,0,0,0.00104932,0,0.954282,0.634947,0.246832,3.22233e-05
1700,170,7.08333,58,5,35,18,40,18,0,0,0,7,25,0.0419004,0.00632433,0.428393,0.805303,0,17,8,0.294865,0.107363,0.589712,0,0,0,0,0.379046,0.0861949,0.62427,0,0,0,0.00925398,0,0.947037,0.632987,0.247951,3.44021e-05
1800,180,7.5,65,5,34,26,44,21,0,0,0,10,25,0.040515,0.00727254,0.419099,0.847633,0,17,10,0.281241,0.133613,0.591188,0,0,0,0,0.351865,0.086083,0.611519,0,0,0,0.0389355,0,0.939648,0.631033,0.248846,3.64181e-05
1900,190,7.91667,67,5,32,30,41,26,0,0,0,10,29.1667,0.039172,0.00823527,0.411686,0.889285,0,17,10,0.269929,0.159862,0.592046,0,0,0,0,0.327765,0.0920596,0.599718,0,0,0,0.0897632,0,0.932013,0.629087,0.249533,3.82861e-05
2000,200,8.33333,73,5,35,33,44,29,0,0,0,9,29.1667,0.0378824,0.00942879,0.399263,0.929774,0,17,15,0.265378,0.204225,0.592212,0,0,0,0,0.304953,0.0974367,0.588746,0,0,0,0.166533,0,0.923405,0.627147,0.25002,4.00196e-05
2100,210,8.75,77,5,31,41,43,34,0,0,0,10,33.3333,0.0366523,0.011774,0.382257,0.968894,0,17,15,0.261046,0.256725,0.59175,0,0,0,0,0.282053,0.105611,0.57855,0,0,0,0.284158,0,0.913993,0.625214,0.250334,4.16291e-05
2200,220,9.16667,83,5,33,45,46,37,0,0,0,10,37.5,0.0354847,0.0149202,0.363589,1.00621,0,17,15,0.256586,0.309225,0.590906,0,0,0,0,0.26174,0.109419,0.568985,0,0,0,0.443575,0,0.903052,0.623285,0.250465,4.31228e-05
2300,230,9.58333,87,5,29,53,46,41,0,0,0,10,37.5,0.0343807,0.017892,0.347487,1.04169,0,17,15,0.25133,0.361725,0.58975,0,0,0,0,0.242589,0.112921,0.560189,0,0,0,0.644814,0,0.892051,0.621336,0.250507,4.4509e-05
2400,240,10,92,5,29,58,47,43,2,0,0,9,41.6667,0.03334,0.022046,0.327327,1.07545,0,17,15,0.245184,0.420088,0.588321,0,0,0,0,0.223545,0.11609,0.551979,0,0,0,0.799327,0,0.880203,0.619339,0.250421,4.57956e-05
2500,250,10.4167,98,5,28,65,50,44,4,0,0,7,41.6667,0.0323615,0.026399,0.311361,1.10739,0,17,16,0.239702,0.4788,0.58663,0,0,0,0,0.206746,0.119256,0.544348,0,0,0,0.799323,0,0.868102,0.617279,0.250237,4.69899e-05
2600,260,10.8333,101,5,26,70,50,44,7,0,0,8,41.6667,0.0314431,0.0311762,0.297957,1.13779,0,17,16,0.233935,0.535938,0.584718,0,0,0,0,0.191029,0.121834,0.537262,0,0,0,0.799324,0,0.855399,0.615149,0.249972,4.81066e-05
2700,270,11.25,106,5,26,75,52,45,9,0,0,8,41.6667,0.0305825,0.036079,0.283879,1.16685,0,17,16,0.22719,0.592375,0.582623,0,0,0,0,0.175538,0.110525,0.530673,0,0,0,0.799326,0,0.842227,0.612953,0.249634,4.91373e-05
2800,280,11.6667,108,5,27,76,50,47,11,0,0,7,41.6667,0.0297769,0.0405233,0.27422,1.19477,0,17,16,0.22166,0.651,0.580373,0,0,0,0,0.161914,0.101811,0.524543,0,0,0,0.799325,0,0.829138,0.610722,0.249236,5.00948e-05
2900,290,12.0833,111,5,25,81,50,49,12,0,0,9,41.6667,0.0290232,0.0445564,0.267656,1.22181,0,17,16,0.216562,0.713738,0.577997,0,0,0,0,0.149262,0.101998,0.518821,0,0,0,0.799315,0,0.816136,0.60848,0.248783,5.09843e-05
3000,300,12.5,113,5,27,81,51,47,15,0,0,9,41.6667,0.0283186,0.0482204,0.257817,1.24809,0,17,16,0.210965,0.7784,0.575515,0,0,0,0,0.136972,0.0966371,0.51351,0,0,0,0.799303,0,0.803223,0.606245,0.2483,5.18109e-05
3100,310,12.9167,114,5,21,88,47,49,18,0,0,10,45.8333,0.0276599,0.057748,0.247784,1.27341,0,17,16,0.206503,0.841488,0.572951,0,0,0,0,0.12627,0.0907227,0.508504,0,0,0,0.799298,0,0.788153,0.604029,0.247763,5.259e-05
3200,320,13.3333,117,5,22,90,48,50,18,1,0,9,45.8333,0.0270442,0.0681234,0.238781,1.29769,0,17,16,0.202437,0.904488,0.570323,0,0,0,0,0.116475,0.0856406,0.503902,0,0,0,0.799294,0,0.771943,0.60184,0.24723,5.33042e-05
3300,330,13.75,120,5,18,97,47,53,18,2,0,9,45.8333,0.0264686,0.0772468,0.229421,1.32108,0,17,16,0.197964,0.9681,0.567651,0,0,0,0,0.107058,0.0810152,0.500131,0,0,0,0.799289,0,0.755853,0.599681,0.246888,5.39678e-05
3400,340,14.1667,123,5,18,100,47,52,20,4,0,7,45.8333,0.0259304,0.0852717,0.223226,1.34373,0,17,16,0.194646,1.0318,0.564951,0,0,0,0,0.098899,0.0772745,0.497146,0,0,0,0.799287,0,0.739882,0.597557,0.246731,5.45847e-05
3500,350,14.5833,123,5,19,99,47,50,19,7,0,7,45.8333,0.0254271,0.0923326,0.218051,1.36576,0,17,16,0.191522,1.09585,0.562236,0,0,0,0,0.0913311,0.0739684,0.494793,0,0,0,0.799284,0,0.72403,0.595466,0.246711,5.51583e-05
3600,360,15,126,5,17,104,47,51,21,7,0,7,50,0.0249562,0.105568,0.208397,1.38706,0,17,16,0.187809,1.16095,0.559515,0,0,0,0,0.0839534,0.0719839,0.492779,0,0,0,0.799279,0,0.706087,0.593408,0.246723,5.56924e-05
3700,370,15.4167,127,5,16,106,46,53,21,7,0,7,54.1667,0.0245153,0.118601,0.201055,1.40757,0,15,14,0.185226,1.22806,0.556794,0,0,0,0,0.0775663,0.0694342,0.49113,0,0,0,0.799269,0,0.68789,0.591384,0.246787,5.6189e-05
3800,380,15.8333,128,5,17,106,46,54,21,7,0,6,58.3333,0.0241023,0.146981,0.189873,1.4271,0,15,14,0.182872,1.28503,0.554081,0,0,0,0,0.0717611,0.0661957,0.4897,0,0,0,0.799274,0,0.664869,0.589389,0.246853,5.66513e-05
