step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.258433,0.0137454,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,6,1,11,1,0,0,6,9,4.16667,0.029496,7.55686e-05,0.454409,0.0497486,0,4,0,0.130633,0,0.0267037,0,0,0,0,0.296015,0.0367921,0.358597,0,0,0,0.000613837,0,0.9998,0.989879,0.242427,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000396245,0.587356,0.102542,0,4,0,0.146643,0,0.0831024,0,0,0,0,0.382939,0.120095,0.398608,0,0,0,0.000409469,0,0.998929,0.955183,0.254961,2.30885e-05
400,40,1.66667,12,5,3,4,9,3,0,0,8,10,12.5,0.0434103,0.000834933,0.681029,0.166417,0,8,0,0.159284,0,0.172636,0,0,0,0,0.443933,0.19394,0.556274,0,0,0,1.67715e-05,0,0.997679,0.890101,0.256287,5.86742e-05
500,50,2.08333,18,5,8,5,13,5,0,0,9,10,16.6667,0.0471467,0.00134248,0.715335,0.236389,0,8,0,0.181046,0,0.258371,0,0,0,0,0.487358,0.244351,0.626438,0,0,0,1.62464e-05,0,0.995981,0.802213,0.248534,0.000117075
600,60,2.5,19,5,8,6,13,6,0,0,10,10,16.6667,0.0494749,0.00187487,0.675191,0.307233,0,8,0,0.225884,0,0.333981,0,0,0,0,0.519634,0.23583,0.636575,0,0,0,1.61289e-05,0,0.993481,0.705793,0.235593,0.000196407
700,70,2.91667,20,5,8,7,13,7,0,0,10,9,16.6667,0.0507505,0.00237292,0.625411,0.371822,0,12,0,0.275021,0,0.39685,0,0,0,0,0.544202,0.208789,0.631828,0,0,0,1.6084e-05,0,0.990414,0.652565,0.226614,0.000292588
800,80,3.33333,28,5,13,10,18,10,0,0,12,7,20.8333,0.0512352,0.00304093,0.629921,0.434469,0,12,0,0.292139,0,0.446992,0,0,0,0,0.550199,0.194311,0.622248,0,0,0,1.60651e-05,0,0.986393,0.650439,0.224213,0.000400746
900,90,3.75,31,5,13,13,19,12,0,0,9,7,20.8333,0.0511273,0.00383235,0.615608,0.496956,0,12,0,0.307489,0,0.48624,0,0,0,0,0.542965,0.170848,0.624024,0,0,0,1.60558e-05,0,0.981517,0.648291,0.226702,0.000516169
1000,100,4.16667,38,5,17,16,24,14,0,0,6,7,20.8333,0.0505876,0.00457272,0.600366,0.557787,0,17,0,0.316657,0,0.517132,0,0,0,0,0.533725,0.151214,0.638092,0,0,0,1.60475e-05,0,0.97625,0.646133,0.231132,0.000635374
1100,110,4.58333,42,5,18,19,23,19,0,0,5,6,25,0.0497333,0.00554406,0.596111,0.61757,0,17,0,0.311098,0,0.539976,0,0,0,0,0.516836,0.13013,0.646469,0,0,0,1.60419e-05,0,0.969854,0.643972,0.234795,0.00075505
1200,120,5,48,5,20,23,25,23,0,0,3,6,25,0.0486525,0.0065426,0.585852,0.676688,0,17,0,0.303622,0,0.556659,0,0,0,0,0.495033,0.111446,0.651621,0,0,0,1.60387e-05,0,0.962932,0.641815,0.237857,0.000872308
1300,130,5.41667,51,5,19,27,26,25,0,0,2,5,29.1667,0.0474161,0.00761598,0.574072,0.734813,0,17,2,0.298075,0.001575,0.568761,0,0,0,0,0.474302,0.0966082,0.658614,0,0,0,1.60355e-05,0,0.955395,0.639667,0.240394,0.000985166
1400,140,5.83333,56,5,23,28,28,28,0,0,2,4,29.1667,0.0460785,0.00884946,0.558376,0.791371,0,17,2,0.296991,0.0188125,0.576725,0,0,0,0,0.452644,0.0845287,0.651294,0,0,0,7.16268e-05,0,0.946992,0.637532,0.242465,0.00109212
1500,150,6.25,60,5,24,31,30,30,0,0,0,9,37.5,0.0446817,0.0119612,0.544555,0.846697,0,17,2,0.288653,0.0305375,0.582326,0,0,0,0,0.426139,0.0798536,0.641417,0,0,0,0.00021924,0,0.937241,0.635412,0.244113,0.00119217
1600,160,6.66667,63,5,25,33,31,32,0,0,0,9,37.5,0.0432641,0.0165962,0.519629,0.89967,0,17,7,0.286957,0.0394625,0.586332,0,0,0,0,0.403519,0.0720723,0.628357,0,0,0,0.000444084,0,0.926262,0.633311,0.245413,0.00128538
1700,170,7.08333,70,5,25,40,35,35,0,0,0,10,37.5,0.0418539,0.0209322,0.513411,0.951313,0,17,9,0.274966,0.046375,0.588866,0,0,0,0,0.3785,0.0674524,0.615014,0,0,0,0.000751743,0,0.91524,0.631228,0.246459,0.00137194
1800,180,7.5,74,5,25,44,34,40,0,0,0,10,41.6667,0.0404708,0.0251795,0.500043,1.00204,0,17,9,0.262956,0.0497875,0.590516,0,0,0,0,0.352774,0.0592943,0.602862,0,0,0,0.00103665,0,0.903563,0.629164,0.247356,0.0014521
1900,190,7.91667,78,5,23,50,37,40,1,0,0,9,41.6667,0.039131,0.0303985,0.4878,1.05146,0,17,11,0.253315,0.0522375,0.591565,0,0,0,0,0.329795,0.0529691,0.5923,0,0,0,0.00270829,0,0.890302,0.62712,0.248323,0.00152647
2000,200,8.33333,82,5,26,51,38,41,3,0,0,10,45.8333,0.0378457,0.038963,0.472773,1.09944,0,17,17,0.246856,0.060725,0.591923,0,0,0,0,0.307853,0.0518865,0.582722,0,0,0,0.00986426,0,0.874163,0.625096,0.249172,0.00159561
2100,210,8.75,87,5,26,56,40,43,4,0,0,9,50,0.0366207,0.0515585,0.453347,1.14578,0,17,17,0.24252,0.0797125,0.591679,0,0,0,0,0.285562,0.0475995,0.574124,0,0,0,0.0295029,0,0.855745,0.62309,0.249951,0.00165994
2200,220,9.16667,91,5,22,64,40,43,8,0,0,9,54.1667,0.0354589,0.0664533,0.436311,1.19029,0,17,17,0.239115,0.102638,0.591049,0,0,0,0,0.265635,0.0446742,0.566597,0,0,0,0.0652913,0,0.836026,0.621102,0.250739,0.00171977
2300,230,9.58333,96,5,21,70,44,42,10,0,0,9,54.1667,0.0343612,0.0861836,0.417217,1.23289,0,17,17,0.236229,0.132213,0.590105,0,0,0,0,0.246731,0.0430176,0.559915,0,0,0,0.121366,0,0.814053,0.619132,0.251487,0.00177544
2400,240,10,102,5,21,76,46,46,10,0,0,10,54.1667,0.0333273,0.103507,0.398845,1.27366,0,17,17,0.231878,0.163712,0.588885,0,0,0,0,0.227793,0.0422265,0.55399,0,0,0,0.200299,0,0.792162,0.617178,0.252194,0.00182723
2500,250,10.4167,104,5,21,78,44,48,12,0,0,9,58.3333,0.0323558,0.121597,0.381653,1.31277,0,17,17,0.228055,0.195825,0.587393,0,0,0,0,0.211031,0.0414355,0.54863,0,0,0,0.303165,0,0.769426,0.615239,0.252818,0.00187543
2600,260,10.8333,109,5,24,80,45,50,14,0,0,9,58.3333,0.0314446,0.141688,0.36344,1.34997,0,17,17,0.224215,0.230562,0.585667,0,0,0,0,0.195441,0.0412085,0.543747,0,0,0,0.430881,0,0.745334,0.613315,0.253352,0.00192028
2700,270,11.25,112,5,25,82,46,49,17,0,0,9,58.3333,0.0305911,0.159316,0.34496,1.38536,0,17,17,0.220046,0.273525,0.583745,0,0,0,0,0.180148,0.0417546,0.5393,0,0,0,0.587974,0,0.721372,0.611404,0.253807,0.00196203
2800,280,11.6667,117,5,26,86,48,51,17,1,0,10,62.5,0.0297925,0.1771,0.331227,1.41926,0,17,17,0.216497,0.31605,0.581663,0,0,0,0,0.166707,0.0461711,0.534773,0,0,0,0.776821,0,0.696871,0.609506,0.254,0.00200089
2900,290,12.0833,121,5,22,94,47,53,20,1,0,10,62.5,0.0290458,0.201505,0.315963,1.45155,0,17,17,0.212777,0.359975,0.579449,0,0,0,0,0.154071,0.0460705,0.530549,0,0,0,0.799511,0,0.669643,0.60762,0.254107,0.00203706
3000,300,12.5,123,5,22,96,48,54,19,2,0,9,66.6667,0.028348,0.22625,0.299793,1.48236,0,17,17,0.208155,0.406175,0.577123,0,0,0,0,0.141627,0.0461306,0.526699,0,0,0,0.799488,0,0.641419,0.605744,0.254176,0.00207073
3100,310,12.9167,123,5,20,98,45,55,20,3,0,8,66.6667,0.027696,0.254499,0.28549,1.51162,0,17,17,0.2044,0.453688,0.574705,0,0,0,0,0.130625,0.0464842,0.523128,0,0,0,0.799469,0,0.611016,0.603879,0.254186,0.00210206
3200,320,13.3333,129,5,22,102,49,55,21,4,0,7,66.6667,0.0270868,0.278248,0.273147,1.53952,0,17,17,0.20074,0.5019,0.572209,0,0,0,0,0.120374,0.0468726,0.51984,0,0,0,0.799451,0,0.580816,0.602024,0.254156,0.00213121
3300,330,13.75,133,5,24,104,50,57,20,6,0,6,66.6667,0.0265173,0.298239,0.26219,1.56627,0,17,17,0.196505,0.550988,0.569645,0,0,0,0,0.110439,0.0530732,0.516388,0,0,0,0.799433,0,0.550822,0.600177,0.253921,0.00215831
3400,340,14.1667,135,5,21,109,49,58,19,9,0,7,75,0.0259848,0.317381,0.249824,1.59192,0,17,17,0.193319,0.599988,0.567027,0,0,0,0,0.101773,0.0552913,0.512642,0,0,0,0.79942,0,0.519911,0.59834,0.253443,0.00218349
3500,350,14.5833,137,5,24,108,49,59,21,8,0,7,75,0.0254866,0.34444,0.235598,1.61616,0,17,17,0.190308,0.647413,0.564367,0,0,0,0,0.0937647,0.0563765,0.508803,0,0,0,0.799411,0,0.485798,0.59651,0.252814,0.00220685
3600,360,15,140,5,26,109,52,60,21,7,0,9,75,0.0250201,0.367173,0.223408,1.63907,0,17,17,0.186599,0.69125,0.561677,0,0,0,0,0.0859163,0.0564659,0.505337,0,0,0,0.79941,0,0.45193,0.594688,0.252231,0.00222851
3700,370,15.4167,141,5,22,114,50,61,23,7,0,10,79.1667,0.0245829,0.395797,0.211566,1.66087,0,17,17,0.1838,0.733338,0.558962,0,0,0,0,0.0789893,0.056932,0.50178,0,0,0,0.799412,0,0.415498,0.592874,0.251519,0.00224857
3800,380,15.8333,143,5,24,114,54,60,20,9,0,9,79.1667,0.0241728,0.421457,0.201168,1.68146,0,17,17,0.181147,0.775775,0.556229,0,0,0,0,0.0725584,0.0553091,0.498633,0,0,0,0.799413,0,0.378759,0.591066,0.250886,0.00226713
3900,390,16.25,144,5,25,114,52,63,23,6,0,9,79.1667,0.0237878,0.44289,0.191711,1.70109,0,17,17,0.177899,0.819088,0.553483,0,0,0,0,0.066308,0.0540595,0.495833,0,0,0,0.799412,0,0.34229,0.589265,0.250317,0.00228426
4000,400,16.6667,146,5,25,116,52,64,23,7,0,10,79.1667,0.0234258,0.461171,0.185228,1.71997,0,17,17,0.175566,0.863013,0.550729,0,0,0,0,0.0608157,0.0563168,0.492997,0,0,0,0.799411,0,0.30577,0.587471,0.249664,0.00230004
4100,410,17.0833,150,5,26,119,51,67,22,10,0,9,79.1667,0.0230851,0.477254,0.178791,1.73815,0,10,10,0.173394,0.904575,0.54797,0,0,0,0,0.0557521,0.0567015,0.490335,0,0,0,0.799414,0,0.268742,0.585683,0.249018,0.00231455
