step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.258061,0.0137352,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.029496,0.000124101,0.453872,0.0496446,0,4,0,0.130615,0,0.0267037,0,0,0,0,0.296015,0.0507734,0.357492,0,0,0,0.00059822,0,0.999671,0.98766,0.241763,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.0377695,0.000425595,0.587723,0.102229,0,4,0,0.14647,0,0.0831024,0,0,0,0,0.382939,0.132743,0.396171,0,0,0,1.6693e-05,0,0.998838,0.94933,0.253401,2.30885e-05
400,40,1.66667,14,5,5,4,11,3,0,0,8,10,12.5,0.0434103,0.000806331,0.679629,0.166181,0,8,0,0.158917,0,0.172636,0,0,0,0,0.443933,0.213154,0.553798,0,0,0,1.63115e-05,0,0.997742,0.883775,0.254664,5.86742e-05
500,50,2.08333,17,5,6,6,11,6,0,0,8,10,16.6667,0.0471498,0.00129723,0.632667,0.230666,0,8,0,0.214404,0,0.259421,0,0,0,0,0.492949,0.218099,0.627309,0,0,0,1.61509e-05,0,0.996091,0.804732,0.249134,0.00011724
600,60,2.5,20,5,6,9,12,8,0,0,10,9,20.8333,0.0494959,0.00215101,0.619303,0.293124,0,8,0,0.250341,0,0.337259,0,0,0,0,0.522602,0.202183,0.644803,0,0,0,1.60992e-05,0,0.992977,0.728049,0.24111,0.000197663
700,70,2.91667,23,5,9,9,14,9,0,0,9,8,20.8333,0.0508004,0.00299984,0.621309,0.355168,0,12,0,0.276977,0,0.401538,0,0,0,0,0.54157,0.174408,0.648803,0,0,0,1.6074e-05,0,0.989017,0.662083,0.233474,0.000295981
800,80,3.33333,27,5,12,10,17,10,0,0,11,8,25,0.0513158,0.00385833,0.628669,0.417679,0,12,0,0.28745,0,0.452325,0,0,0,0,0.546624,0.150863,0.644757,0,0,0,1.60624e-05,0,0.984295,0.650646,0.231546,0.000406922
900,90,3.75,29,5,11,13,16,13,0,0,9,9,29.1667,0.0512341,0.00522985,0.57511,0.478061,0,12,0,0.304595,0,0.491253,0,0,0,0,0.544129,0.131703,0.645974,0,0,0,1.60517e-05,0,0.977593,0.648586,0.231408,0.000525302
