step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.257078,0.0136918,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.029496,0.0001666,0.446785,0.0493866,0,4,0,0.130607,0,0.0267037,0,0,0,0,0.296015,0.0474866,0.357241,0,0,0,0.000591896,0,0.999558,0.987594,0.241656,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000523816,0.577348,0.101195,0,4,0,0.146476,0,0.0831024,0,0,0,0,0.382939,0.133476,0.395517,0,0,0,0.000281784,0,0.998571,0.948893,0.253096,2.30885e-05
400,40,1.66667,13,5,5,3,10,3,0,0,8,10,12.5,0.0434103,0.000954274,0.664824,0.163735,0,8,0,0.158835,0,0.172636,0,0,0,0,0.443933,0.203658,0.551394,0,0,0,1.67637e-05,0,0.997321,0.879382,0.253263,5.86742e-05
500,50,2.08333,17,5,8,4,13,4,0,0,9,10,16.6667,0.0471469,0.00136813,0.539598,0.222041,0,8,0,0.246203,0,0.258417,0,0,0,0,0.505404,0.200838,0.619632,0,0,0,1.62524e-05,0,0.995889,0.798037,0.247296,0.000117081
600,60,2.5,20,5,9,6,14,6,0,0,10,9,16.6667,0.0494764,0.00189887,0.540934,0.276002,0,8,0,0.326727,0,0.334319,0,0,0,0,0.548425,0.172372,0.633074,0,0,0,1.61354e-05,0,0.993387,0.725063,0.240316,0.000196496
700,70,2.91667,23,5,10,8,15,8,0,0,10,10,20.8333,0.0507567,0.00245601,0.547333,0.330521,0,12,0,0.354986,0,0.39774,0,0,0,0,0.567137,0.159365,0.632162,0,0,0,1.60975e-05,0,0.990178,0.661607,0.233427,0.000293
800,80,3.33333,28,5,13,10,18,10,0,0,11,10,29.1667,0.05125,0.00364711,0.554698,0.385693,0,12,0,0.356202,0,0.44851,0,0,0,0,0.568361,0.146248,0.629172,0,0,0,1.6077e-05,0,0.984869,0.650505,0.231032,0.000401837
900,90,3.75,33,5,15,13,20,13,0,0,9,10,29.1667,0.051153,0.00513664,0.524929,0.439166,0,12,0,0.355097,0,0.487881,0,0,0,0,0.559379,0.124476,0.628462,0,0,0,1.60659e-05,0,0.977998,0.648403,0.230494,0.000518252
1000,100,4.16667,35,5,14,16,19,16,0,0,9,9,29.1667,0.0506165,0.00653006,0.515745,0.491212,0,17,0,0.353361,0,0.517755,0,0,0,0,0.548204,0.107213,0.634256,0,0,0,1.60571e-05,0,0.970618,0.646297,0.230994,0.000638017
1100,110,4.58333,40,5,16,19,22,18,0,0,5,9,33.3333,0.0497588,0.00818077,0.522277,0.543009,0,17,0,0.334572,0,0.540115,0,0,0,0,0.527313,0.0914481,0.63253,0,0,0,1.60505e-05,0,0.961814,0.644194,0.234144,0.000757716
