step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.257046,0.0136887,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,10,8.33333,0.029496,0.000147912,0.448857,0.0494039,0,4,0,0.130616,0,0.0267037,0,0,0,0,0.296015,0.0533088,0.357391,0,0,0,0.000599337,0,0.999608,0.987719,0.241728,7.55031e-06
300,30,1.25,12,5,4,3,10,2,0,0,6,10,8.33333,0.0377695,0.000447871,0.584899,0.101676,0,4,0,0.146379,0,0.0831024,0,0,0,0,0.382939,0.157215,0.393214,0,0,0,0.000198669,0,0.998775,0.941893,0.251475,2.30885e-05
400,40,1.66667,14,5,5,4,10,4,0,0,9,10,16.6667,0.0434103,0.000862497,0.672326,0.16522,0,8,0,0.158296,0,0.172636,0,0,0,0,0.443933,0.238374,0.544079,0,0,0,1.67194e-05,0,0.997588,0.85985,0.248384,5.86742e-05
500,50,2.08333,16,5,4,7,11,5,0,0,10,10,20.8333,0.0471468,0.00144108,0.656254,0.231627,0,8,0,0.205657,0,0.258398,0,0,0,0,0.494626,0.265675,0.598827,0,0,0,1.6234e-05,0,0.995708,0.759067,0.236904,0.000117079
600,60,2.5,18,5,7,6,12,6,0,0,10,10,25,0.0494757,0.00262894,0.591534,0.294685,0,8,0,0.258935,0,0.334137,0,0,0,0,0.52978,0.267875,0.596295,0,0,0,1.6131e-05,0,0.992075,0.654929,0.220927,0.000196451
700,70,2.91667,21,5,9,7,14,7,0,0,8,10,25,0.0507532,0.00381554,0.549982,0.351554,0,12,0,0.313563,0,0.397224,0,0,0,0,0.555478,0.244429,0.585803,0,0,0,1.609e-05,0,0.987466,0.652731,0.215154,0.000292771
800,80,3.33333,25,5,11,9,16,9,0,0,9,10,29.1667,0.0512415,0.0052835,0.512779,0.404079,0,12,0,0.342614,0,0.447645,0,0,0,0,0.56462,0.208168,0.601794,0,0,0,1.60729e-05,0,0.981295,0.650719,0.220677,0.000401215
900,90,3.75,27,5,10,12,16,11,0,0,8,8,29.1667,0.0511381,0.00666745,0.49912,0.454424,0,12,0,0.356313,0,0.486768,0,0,0,0,0.559937,0.175569,0.609753,0,0,0,1.6062e-05,0,0.97445,0.648688,0.225815,0.000517045
