step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173675,0,0.253221,0.0135867,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.83273e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,10,0,0.029496,0,0.436598,0.0483505,0,4,0,0.130616,0,0.0267037,0,0,0,0,0.296015,0.0455809,0.358301,0,0,0,0.000598462,0,1,0.988047,0.242125,1.86436e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.0377695,0,0.558994,0.098651,0,4,0,0.146563,0,0.0831024,0,0,0,0,0.382939,0.118161,0.400275,0,0,0,1.67236e-05,0,1,0.954589,0.255569,5.70684e-07
400,40,1.66667,12,5,6,1,12,0,0,0,8,10,0,0.0434103,0,0.64757,0.159405,0,8,0,0.159298,0,0.172636,0,0,0,0,0.443933,0.199858,0.562344,0,0,0,1.63121e-05,0,1,0.895692,0.259274,1.45102e-06
500,50,2.08333,12,5,7,0,12,0,0,0,9,10,0,0.0471481,0,0.560992,0.217871,0,8,0,0.233629,0,0.258729,0,0,0,0,0.500905,0.215795,0.63798,0,0,0,1.61443e-05,0,1,0.819402,0.255553,2.8989e-06
600,60,2.5,13,5,6,2,11,2,0,0,10,10,8.33333,0.0494809,0.000154482,0.532867,0.272567,0,8,0,0.297438,0,0.334813,0,0,0,0,0.538628,0.19011,0.654281,0,0,0,1.60973e-05,0,0.999361,0.745372,0.249306,4.87251e-06
700,70,2.91667,15,5,7,3,12,3,0,0,8,10,12.5,0.0507644,0.000476307,0.496859,0.324005,0,12,0,0.33308,0,0.39824,0,0,0,0,0.559329,0.16658,0.659283,0,0,0,1.60736e-05,0,0.997704,0.682024,0.243002,7.27402e-06
800,80,3.33333,15,5,7,3,12,3,0,0,9,9,12.5,0.0512597,0.00090983,0.489135,0.373337,0,12,0,0.346051,0,0.44889,0,0,0,0,0.565397,0.143358,0.65954,0,0,0,1.60636e-05,0,0.995037,0.650764,0.239255,9.98418e-06
900,90,3.75,20,5,9,6,15,5,0,0,8,10,16.6667,0.0511631,0.0014506,0.474075,0.421498,0,12,0,0.352718,0,0.488122,0,0,0,0,0.56084,0.124008,0.659662,0,0,0,1.60542e-05,0,0.991231,0.648778,0.238839,1.28841e-05
1000,100,4.16667,23,5,12,6,17,6,0,0,8,10,16.6667,0.0506261,0.00197601,0.440329,0.46786,0,17,0,0.358973,0,0.517927,0,0,0,0,0.554033,0.107695,0.663456,0,0,0,1.60465e-05,0,0.987013,0.646791,0.239217,1.58692e-05
1100,110,4.58333,27,5,15,7,21,6,0,0,7,7,16.6667,0.0497679,0.00246753,0.432355,0.511084,0,17,0,0.356118,0,0.54032,0,0,0,0,0.539273,0.095443,0.672351,0,0,0,1.60419e-05,0,0.982576,0.644805,0.240212,1.8856e-05
1200,120,5,27,5,16,6,21,6,0,0,7,6,16.6667,0.0486826,0.00292735,0.442561,0.554623,0,17,0,0.341837,0,0.557023,0,0,0,0,0.514485,0.0847009,0.677578,0,0,0,1.60387e-05,0,0.977973,0.642822,0.241628,2.17826e-05
1300,130,5.41667,30,5,15,10,21,9,0,0,4,8,20.8333,0.0474442,0.0035338,0.443503,0.599581,0,17,3,0.325807,0.001575,0.569382,0,0,0,0,0.488343,0.0803171,0.681007,0,0,0,1.60355e-05,0,0.972686,0.640841,0.243184,2.46058e-05
1400,140,5.83333,35,5,19,11,24,11,0,0,3,10,20.8333,0.0461104,0.00429343,0.422814,0.642604,0,17,3,0.329832,0.019075,0.578437,0,0,0,0,0.465996,0.0758826,0.676022,0,0,0,7.3027e-05,0,0.966659,0.638865,0.244708,2.72975e-05
1500,150,6.25,40,5,24,11,29,11,0,0,2,9,20.8333,0.0447259,0.00500405,0.415798,0.684518,0,17,3,0.326128,0.036575,0.585033,0,0,0,0,0.440266,0.075759,0.664918,0,0,0,0.000292951,0,0.960549,0.636895,0.24594,2.98421e-05
1600,160,6.66667,49,5,27,17,35,14,0,0,2,10,29.1667,0.0433228,0.00626918,0.411705,0.726046,0,17,3,0.311851,0.054075,0.589123,0,0,0,0,0.413454,0.0700572,0.648511,0,0,0,0.000512814,0,0.952401,0.634931,0.247139,3.22274e-05
1700,170,7.08333,54,5,31,18,38,16,0,0,2,9,29.1667,0.0419228,0.00758954,0.402584,0.766716,0,17,5,0.29881,0.071575,0.591434,0,0,0,0,0.387662,0.0649258,0.634178,0,0,0,0.000977962,0,0.94375,0.632974,0.24842,3.44407e-05
1800,180,7.5,59,5,31,23,38,21,0,0,1,8,33.3333,0.0405463,0.00886648,0.389003,0.806315,0,17,6,0.28539,0.085925,0.592973,0,0,0,0,0.361252,0.0600906,0.621692,0,0,0,0.00853243,0,0.934951,0.631024,0.249754,3.6488e-05
1900,190,7.91667,64,5,33,26,40,24,0,0,0,9,33.3333,0.0392114,0.0103879,0.380366,0.844775,0,17,8,0.274237,0.0991375,0.594022,0,0,0,0,0.337684,0.0760616,0.609574,0,0,0,0.0267666,0,0.925043,0.629081,0.250616,3.83871e-05
