step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.257753,0.0137436,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,8,8.33333,0.029496,5.55238e-05,0.454333,0.0497386,0,4,0,0.130615,0,0.0267037,0,0,0,0,0.296015,0.0468641,0.358023,0,0,0,0.000598774,0,0.999854,0.988115,0.24202,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,16.6667,0.0377695,0.000522575,0.578398,0.101999,0,4,0,0.146467,0,0.0831024,0,0,0,0,0.382939,0.14934,0.394723,0,0,0,2.75045e-05,0,0.998592,0.946813,0.25257,2.30885e-05
400,40,1.66667,12,5,4,3,9,3,0,0,9,10,16.6667,0.0434103,0.00110786,0.660641,0.16439,0,8,0,0.158614,0,0.172636,0,0,0,0,0.443933,0.25117,0.545164,0,0,0,1.637e-05,0,0.996925,0.868081,0.250046,5.86742e-05
500,50,2.08333,15,5,5,5,10,5,0,0,8,10,16.6667,0.0471506,0.00165539,0.589454,0.224568,0,8,0,0.237595,0,0.259619,0,0,0,0,0.499593,0.266463,0.598795,0,0,0,1.61527e-05,0,0.99506,0.770006,0.239403,0.000117278
600,60,2.5,19,5,9,5,14,5,0,0,8,10,16.6667,0.049496,0.0021676,0.562831,0.283099,0,8,0,0.322523,0,0.336973,0,0,0,0,0.544062,0.238553,0.610923,0,0,0,1.60997e-05,0,0.992525,0.674846,0.22655,0.000197673
700,70,2.91667,19,5,6,8,11,8,0,0,8,10,16.6667,0.0507975,0.00264676,0.5635,0.33955,0,12,0,0.367414,0,0.401183,0,0,0,0,0.568324,0.203785,0.615937,0,0,0,1.60741e-05,0,0.989398,0.652707,0.221416,0.000295792
800,80,3.33333,24,5,10,9,15,9,0,0,10,10,20.8333,0.051312,0.00338461,0.566465,0.396012,0,12,0,0.383058,0,0.452362,0,0,0,0,0.573951,0.175093,0.620864,0,0,0,1.60621e-05,0,0.985092,0.650684,0.221507,0.000406621
900,90,3.75,29,5,12,12,17,12,0,0,9,8,25,0.0512355,0.00451176,0.539071,0.451162,0,12,0,0.385342,0,0.49222,0,0,0,0,0.566459,0.152465,0.635091,0,0,0,1.60519e-05,0,0.979144,0.648654,0.226662,0.000525331
1000,100,4.16667,33,5,16,12,21,12,0,0,8,6,25,0.0507181,0.0055769,0.523777,0.504273,0,17,0,0.392868,0,0.522323,0,0,0,0,0.558498,0.133054,0.651411,0,0,0,1.60462e-05,0,0.972735,0.646619,0.231042,0.00064759
1100,110,4.58333,38,5,16,17,22,16,0,0,7,5,25,0.0498768,0.00657333,0.520288,0.556474,0,17,0,0.387354,0,0.544773,0,0,0,0,0.541959,0.115904,0.658713,0,0,0,1.60419e-05,0,0.966001,0.644584,0.23475,0.000769819
1200,120,5,43,5,19,19,25,18,0,0,5,5,29.1667,0.0488048,0.00767438,0.515469,0.608378,0,17,0,0.370213,0,0.561378,0,0,0,0,0.516058,0.10097,0.666809,0,0,0,1.60387e-05,0,0.958499,0.642551,0.23784,0.000889372
1300,130,5.41667,47,5,21,21,26,21,0,0,2,8,29.1667,0.0475747,0.00890409,0.510821,0.659677,0,17,4,0.362575,0.002025,0.572955,0,0,0,0,0.49242,0.0907005,0.675309,0,0,0,1.60355e-05,0,0.950157,0.640524,0.240396,0.0010043
1400,140,5.83333,53,5,20,28,27,26,0,0,2,9,29.1667,0.0462377,0.0100545,0.510514,0.710545,0,17,4,0.354304,0.024525,0.580782,0,0,0,0,0.466251,0.0829288,0.669964,0,0,0,0.00014113,0,0.941677,0.638504,0.242532,0.00111273
1500,150,6.25,57,5,20,32,29,28,0,0,2,9,37.5,0.0448421,0.0118272,0.508244,0.761564,0,17,4,0.337193,0.047025,0.586462,0,0,0,0,0.436304,0.0856716,0.655966,0,0,0,0.000457958,0,0.931789,0.636493,0.244228,0.00121422
1600,160,6.66667,61,5,22,34,33,28,0,0,0,10,41.6667,0.0434242,0.0151124,0.495859,0.81182,0,17,5,0.323291,0.069525,0.589977,0,0,0,0,0.409682,0.0834829,0.640365,0,0,0,0.000938562,0,0.920609,0.634491,0.245573,0.00130862
