step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.25743,0.0137211,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,9,3,0,0,6,10,12.5,0.029496,0.000132507,0.450543,0.0495066,0,4,0,0.130624,0,0.0267037,0,0,0,0,0.296015,0.0516328,0.357732,0,0,0,0.000606507,0,0.99965,0.988418,0.241935,7.55031e-06
300,30,1.25,12,5,3,4,8,4,0,0,6,10,16.6667,0.0377695,0.000729451,0.562942,0.100633,0,4,0,0.146496,0,0.0831024,0,0,0,0,0.382939,0.128414,0.394653,0,0,0,0.000297936,0,0.998021,0.949277,0.252789,2.30885e-05
400,40,1.66667,12,5,3,4,8,4,0,0,8,10,16.6667,0.0434103,0.00130139,0.646622,0.16158,0,8,0,0.158888,0,0.172636,0,0,0,0,0.443933,0.198663,0.550291,0,0,0,1.67679e-05,0,0.996354,0.880877,0.252972,5.86742e-05
500,50,2.08333,15,5,5,5,10,5,0,0,8,10,16.6667,0.0471468,0.00183644,0.632918,0.225422,0,8,0,0.208503,0,0.258392,0,0,0,0,0.495058,0.192745,0.623726,0,0,0,1.6251e-05,0,0.994496,0.80219,0.247447,0.000117078
600,60,2.5,19,5,7,7,12,7,0,0,8,9,16.6667,0.0494756,0.00233696,0.618589,0.287828,0,8,0,0.245956,0,0.334132,0,0,0,0,0.525833,0.180368,0.637864,0,0,0,1.61337e-05,0,0.991996,0.729285,0.24064,0.000196447
700,70,2.91667,20,5,8,7,13,7,0,0,6,10,16.6667,0.0507531,0.0028052,0.622777,0.349889,0,12,0,0.271526,0,0.39718,0,0,0,0,0.544202,0.184822,0.635425,0,0,0,1.60922e-05,0,0.988924,0.659402,0.232274,0.000292759
800,80,3.33333,25,5,10,10,16,9,0,0,8,10,16.6667,0.0512404,0.00324322,0.619677,0.411621,0,12,0,0.286625,0,0.447427,0,0,0,0,0.549434,0.170974,0.627396,0,0,0,1.6074e-05,0,0.985386,0.650572,0.229218,0.000401132
900,90,3.75,28,5,12,11,18,10,0,0,5,10,20.8333,0.0511342,0.00370609,0.589273,0.472474,0,12,0,0.300063,0,0.486259,0,0,0,0,0.545969,0.15773,0.620638,0,0,0,1.60634e-05,0,0.981341,0.648495,0.227654,0.000516745
