step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.258369,0.0137395,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0.000317918,0.322401,0,0,0,0.000232601,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,6,1,11,1,0,0,6,8,4.16667,0.0293801,0.000112455,0.452596,0.0496818,0,4,0,0.130618,0,0.0219913,0,0,0,0,0.118418,0.0376191,0.436363,0,0,0,1.81344e-05,0,0.9997,0.988813,0.242079,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.037503,0.000381536,0.589615,0.102307,0,4,0,0.146658,0,0.0499109,0,0,0,0,0.15321,0.103662,0.510402,0,0,0,1.68116e-05,0,0.998958,0.958838,0.255911,1.7775e-05
400,40,1.66667,14,5,7,2,12,2,0,0,8,10,8.33333,0.0428088,0.000666422,0.693175,0.166936,0,8,0,0.159555,0,0.0919547,0,0,0,0,0.177678,0.178255,0.604429,0,0,0,1.64329e-05,0,0.998125,0.901007,0.259422,3.96704e-05
500,50,2.08333,17,5,8,4,13,4,0,0,8,10,12.5,0.0460613,0.00107417,0.687308,0.236,0,8,0,0.208756,0,0.134924,0,0,0,0,0.198141,0.199439,0.648468,0,0,0,1.61907e-05,0,0.996913,0.824576,0.254898,7.22843e-05
600,60,2.5,17,5,4,8,10,7,0,0,10,10,16.6667,0.0478169,0.0015831,0.655933,0.303395,0,8,0,0.250468,0,0.17572,0,0,0,0,0.210958,0.201914,0.655828,0,0,0,1.61163e-05,0,0.995358,0.746761,0.246962,0.000114167
700,70,2.91667,19,5,6,8,11,8,0,0,8,10,20.8333,0.0484871,0.002346,0.639506,0.368157,0,12,0,0.279677,0,0.213011,0,0,0,0,0.218734,0.199824,0.649126,0,0,0,1.60844e-05,0,0.99338,0.669382,0.236536,0.000163171
800,80,3.33333,21,5,7,9,13,8,0,0,10,10,20.8333,0.0483779,0.00318225,0.630915,0.431517,0,12,0,0.303197,0,0.246147,0,0,0,0,0.222195,0.185646,0.643479,0,0,0,1.60681e-05,0,0.99096,0.650431,0.231248,0.00021706
900,90,3.75,26,5,11,10,17,9,0,0,8,9,20.8333,0.047717,0.00396456,0.606619,0.493308,0,12,0,0.315413,0,0.274964,0,0,0,0,0.220727,0.182714,0.632437,0,0,0,1.60566e-05,0,0.988224,0.648266,0.228365,0.000273815
1000,100,4.16667,27,5,11,11,16,11,0,0,6,8,20.8333,0.0466738,0.0046964,0.596047,0.553569,0,17,0,0.320217,0,0.299611,0,0,0,0,0.216907,0.178585,0.638516,0,0,0,1.60491e-05,0,0.985215,0.646062,0.231003,0.000331748
1100,110,4.58333,32,5,12,15,17,15,0,0,4,10,25,0.0453749,0.00559413,0.580893,0.612767,0,17,0,0.336662,0,0.320438,0,0,0,0,0.212723,0.154382,0.644304,0,0,0,1.60432e-05,0,0.981601,0.643812,0.234673,0.00038954
1200,120,5,36,5,16,15,21,15,0,0,2,9,33.3333,0.0439147,0.00720811,0.555116,0.669368,0,17,1,0.336118,0.00415,0.337905,0,0,0,0,0.204234,0.132256,0.642211,0,0,0,1.60394e-05,0,0.976322,0.641536,0.237569,0.000446218
1300,130,5.41667,41,5,16,20,21,20,0,0,2,8,33.3333,0.0423634,0.0088365,0.543998,0.724371,0,17,3,0.330442,0.0096,0.352465,0,0,0,0,0.195471,0.123414,0.638706,0,0,0,1.60359e-05,0,0.97056,0.639253,0.239967,0.000501113
1400,140,5.83333,46,5,19,22,25,21,0,0,2,7,33.3333,0.040773,0.0103598,0.530918,0.778058,0,17,3,0.32637,0.0196,0.364544,0,0,0,0,0.186386,0.106493,0.625363,0,0,0,7.8004e-05,0,0.964583,0.636975,0.241963,0.000553788
1500,150,6.25,49,5,19,25,25,24,0,0,1,5,33.3333,0.0391815,0.0117849,0.518874,0.830416,0,17,3,0.317972,0.0296,0.374531,0,0,0,0,0.176006,0.0918755,0.612951,0,0,0,0.000178533,0,0.958429,0.634712,0.243612,0.00060399
1600,160,6.66667,53,5,20,28,26,27,0,0,0,7,33.3333,0.0376165,0.013118,0.518828,0.882329,0,17,5,0.303956,0.0396,0.38276,0,0,0,0,0.165387,0.0815394,0.601423,0,0,0,0.000321064,0,0.952131,0.632471,0.244966,0.000651605
1700,170,7.08333,57,5,20,32,27,30,0,0,0,8,41.6667,0.0360972,0.0150067,0.515621,0.934065,0,17,6,0.290662,0.0496,0.389506,0,0,0,0,0.155043,0.0773174,0.590636,0,0,0,0.00184447,0,0.945443,0.630254,0.246031,0.000696609
1800,180,7.5,61,5,19,37,29,32,0,0,0,7,45.8333,0.0346369,0.0213143,0.494228,0.98456,0,17,8,0.277506,0.0596,0.395002,0,0,0,0,0.144417,0.0679844,0.580326,0,0,0,0.0106549,0,0.93665,0.628066,0.246756,0.000739042
1900,190,7.91667,66,5,23,38,32,34,0,0,0,9,50,0.0332439,0.0280833,0.478602,1.03328,0,17,9,0.26663,0.0696,0.399447,0,0,0,0,0.134875,0.0681149,0.570655,0,0,0,0.0277452,0,0.927373,0.625907,0.247256,0.000778987
