step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.26083,0.0138426,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,6,1,11,1,0,0,6,9,4.16667,0.0293801,0.000100225,0.455557,0.0501217,0,4,0,0.130619,0,0.0219913,0,0,0,0,0.296044,0.0351534,0.358111,0,0,0,0.000602265,0,0.999733,0.988952,0.24214,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.037539,0.000336921,0.591958,0.103167,0,4,0,0.146649,0,0.0764057,0,0,0,0,0.38302,0.105126,0.399916,0,0,0,0.000427692,0,0.999083,0.957896,0.255756,1.91835e-05
400,40,1.66667,13,5,5,3,10,3,0,0,8,10,12.5,0.0430491,0.000779436,0.683336,0.167396,0,8,0,0.159496,0,0.164607,0,0,0,0,0.444097,0.177208,0.560271,0,0,0,1.66134e-05,0,0.997833,0.899684,0.258845,5.07042e-05
500,50,2.08333,15,5,5,5,10,5,0,0,8,9,16.6667,0.046653,0.00128902,0.638278,0.233578,0,8,0,0.20841,0,0.250525,0,0,0,0,0.491336,0.205874,0.635715,0,0,0,1.61826e-05,0,0.996186,0.824876,0.254511,0.000103602
600,60,2.5,19,5,8,6,13,6,0,0,10,7,16.6667,0.048863,0.00182487,0.630174,0.296009,0,8,0,0.238577,0,0.327191,0,0,0,0,0.520014,0.211106,0.652515,0,0,0,1.61062e-05,0,0.993738,0.744194,0.245809,0.000176632
700,70,2.91667,22,5,10,7,15,7,0,0,7,10,16.6667,0.0500334,0.00232614,0.646331,0.360652,0,12,0,0.253348,0,0.390545,0,0,0,0,0.534852,0.224932,0.649356,0,0,0,1.60767e-05,0,0.990707,0.6622,0.234346,0.000265792
800,80,3.33333,26,5,11,10,16,10,0,0,9,10,25,0.0504209,0.00294638,0.595464,0.422185,0,12,0,0.278212,0,0.440563,0,0,0,0,0.542989,0.205594,0.63788,0,0,0,1.60625e-05,0,0.986846,0.65041,0.228944,0.00036608
900,90,3.75,31,5,13,13,20,11,0,0,8,7,29.1667,0.0502188,0.00415049,0.574721,0.480063,0,12,0,0.29192,0,0.477915,0,0,0,0,0.538887,0.181979,0.63054,0,0,0,1.60531e-05,0,0.980974,0.648082,0.226529,0.000472545
1000,100,4.16667,32,5,11,16,18,14,0,0,7,10,29.1667,0.0495431,0.00560754,0.575265,0.53763,0,17,0,0.291303,0,0.489792,0,0,0,0,0.527915,0.16275,0.642371,0,0,0,1.60488e-05,0,0.97386,0.645665,0.230693,0.00057829
1100,110,4.58333,36,5,14,17,21,15,0,0,5,10,29.1667,0.0484641,0.00697059,0.565299,0.594961,0,17,0,0.293448,0,0.489793,0,0,0,0,0.513893,0.145833,0.650537,0,0,0,1.60446e-05,0,0.966715,0.643202,0.234196,0.00067548
1200,120,5,41,5,13,23,21,20,0,0,2,10,29.1667,0.0471106,0.0082457,0.544738,0.649983,0,17,0,0.292444,0,0.489793,0,0,0,0,0.493665,0.124944,0.656062,0,0,0,1.60401e-05,0,0.959569,0.640723,0.237132,0.000763218
1300,130,5.41667,46,5,18,23,25,21,0,0,2,9,33.3333,0.0455874,0.00962224,0.532411,0.704098,0,17,3,0.292399,0.0013125,0.489793,0,0,0,0,0.474462,0.108872,0.665728,0,0,0,1.60356e-05,0,0.951923,0.638251,0.239539,0.000841954
1400,140,5.83333,49,5,16,28,24,25,0,0,1,9,33.3333,0.0439723,0.0110949,0.494531,0.754753,0,17,3,0.300668,0.017325,0.489793,0,0,0,0,0.45611,0.0956382,0.66168,0,0,0,5.76862e-05,0,0.943757,0.635802,0.2415,0.000912468
1500,150,6.25,53,5,17,31,27,26,0,0,1,9,37.5,0.0423223,0.0126054,0.482392,0.803268,0,17,4,0.302139,0.037975,0.489793,0,0,0,0,0.43324,0.0900125,0.651015,0,0,0,0.000315641,0,0.935519,0.633385,0.243109,0.000975678
1600,160,6.66667,59,5,20,34,29,30,0,0,1,10,41.6667,0.0406789,0.0160106,0.471407,0.8511,0,17,6,0.302615,0.0625625,0.489793,0,0,0,0,0.411677,0.0894577,0.63553,0,0,0,0.0015468,0,0.926179,0.631007,0.244352,0.00103253
1700,170,7.08333,63,5,22,36,32,31,0,0,1,9,41.6667,0.0390713,0.0207529,0.454941,0.897309,0,17,9,0.300968,0.0861875,0.489793,0,0,0,0,0.390195,0.0841314,0.621123,0,0,0,0.0162302,0,0.915972,0.628672,0.245299,0.00108392
1800,180,7.5,65,5,18,42,29,36,0,0,1,10,45.8333,0.0375199,0.0265089,0.429515,0.941839,0,17,10,0.297479,0.110425,0.489793,0,0,0,0,0.367621,0.0877869,0.607744,0,0,0,0.0485644,0,0.90504,0.626382,0.246001,0.00113068
