step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.25727,0.0137084,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,10,8.33333,0.0293801,0.000149494,0.449181,0.0494633,0,4,0,0.130613,0,0.0219913,0,0,0,0,0.296044,0.0502523,0.357409,0,0,0,0.000597171,0,0.999604,0.987793,0.241743,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,12.5,0.037539,0.000493726,0.574623,0.101298,0,4,0,0.146503,0,0.0764057,0,0,0,0,0.38302,0.109707,0.396857,0,0,0,0.000304672,0,0.998654,0.952019,0.253945,1.91835e-05
400,40,1.66667,14,5,7,2,12,2,0,0,9,10,12.5,0.0430491,0.000926125,0.659342,0.163438,0,8,0,0.159176,0,0.164607,0,0,0,0,0.444097,0.161008,0.547516,0,0,0,1.67985e-05,0,0.997404,0.89538,0.257413,5.07042e-05
500,50,2.08333,19,5,8,6,13,6,0,0,9,10,16.6667,0.04665,0.00147337,0.516167,0.22065,0,8,0,0.227611,0,0.249522,0,0,0,0,0.50018,0.160095,0.62044,0,0,0,1.62833e-05,0,0.995633,0.830277,0.255446,0.000103448
600,60,2.5,21,5,9,7,14,7,0,0,11,10,20.8333,0.0488457,0.00227969,0.529161,0.273349,0,8,0,0.261052,0,0.324775,0,0,0,0,0.529265,0.137503,0.650106,0,0,0,1.61505e-05,0,0.992741,0.77205,0.252443,0.000175629
700,70,2.91667,24,5,10,9,15,9,0,0,9,10,25,0.049997,0.00329653,0.522039,0.325622,0,12,0,0.282753,0,0.387521,0,0,0,0,0.546169,0.118962,0.663371,0,0,0,1.6106e-05,0,0.98864,0.723119,0.249532,0.000263394
800,80,3.33333,28,5,12,11,17,11,0,0,11,8,25,0.0503673,0.00444007,0.538067,0.378323,0,12,0,0.287107,0,0.437516,0,0,0,0,0.548958,0.104016,0.673597,0,0,0,1.60808e-05,0,0.983463,0.681943,0.246765,0.000362091
900,90,3.75,33,5,14,14,19,14,0,0,8,10,29.1667,0.0501538,0.00565652,0.525015,0.431309,0,12,0,0.305322,0,0.476036,0,0,0,0,0.546264,0.0902094,0.67178,0,0,0,1.60663e-05,0,0.977357,0.648772,0.244298,0.000467132
1000,100,4.16667,38,5,16,17,23,15,0,0,6,10,33.3333,0.0494883,0.00711462,0.494821,0.481941,0,17,0,0.326302,0,0.489792,0,0,0,0,0.542445,0.0791773,0.675089,0,0,0,1.6055e-05,0,0.969988,0.64678,0.244962,0.000572965
