step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.25711,0.0136948,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.0293801,0.000155762,0.444139,0.0492986,0,4,0,0.130633,0,0.0219913,0,0,0,0,0.118418,0.025273,0.358406,0,0,0,0.000613539,0,0.999588,0.990505,0.242413,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.037503,0.000486995,0.572616,0.100802,0,4,0,0.146813,0,0.0499109,0,0,0,0,0.15321,0.0748274,0.402475,0,0,0,0.000565553,0,0.998671,0.966356,0.257626,1.7775e-05
400,40,1.66667,15,5,6,4,11,4,0,0,9,10,16.6667,0.0428088,0.000965773,0.660232,0.16294,0,8,0,0.160225,0,0.0919547,0,0,0,0,0.177678,0.116486,0.569822,0,0,0,1.68756e-05,0,0.9973,0.92607,0.265303,3.96704e-05
500,50,2.08333,15,5,6,4,11,4,0,0,8,10,16.6667,0.0460613,0.00152247,0.666364,0.229319,0,8,0,0.197368,0,0.13492,0,0,0,0,0.196702,0.140731,0.654667,0,0,0,1.63036e-05,0,0.995633,0.874232,0.267027,7.22838e-05
600,60,2.5,20,5,8,7,13,7,0,0,8,10,20.8333,0.0478167,0.00206607,0.657578,0.295546,0,8,0,0.225668,0,0.17569,0,0,0,0,0.207859,0.153422,0.681565,0,0,0,1.61493e-05,0,0.993942,0.816225,0.264632,0.000114161
700,70,2.91667,23,5,9,9,15,8,0,0,6,9,25,0.0484865,0.00325322,0.630686,0.360434,0,12,0,0.251779,0,0.212922,0,0,0,0,0.215112,0.169827,0.687505,0,0,0,1.60915e-05,0,0.99144,0.755895,0.259099,0.000163138
800,80,3.33333,24,5,9,10,15,9,0,0,8,10,25,0.0483764,0.00439955,0.562745,0.419492,0,12,0,0.295105,0,0.245977,0,0,0,0,0.220975,0.161642,0.683472,0,0,0,1.60692e-05,0,0.988539,0.70023,0.252827,0.000216968
900,90,3.75,30,5,13,12,18,12,0,0,7,10,29.1667,0.0477141,0.0055589,0.546483,0.475034,0,12,0,0.298524,0,0.274725,0,0,0,0,0.21869,0.151935,0.680735,0,0,0,1.60599e-05,0,0.985129,0.653004,0.247067,0.000273628
1000,100,4.16667,33,5,13,15,18,15,0,0,5,8,29.1667,0.0466693,0.00692509,0.528208,0.528817,0,17,0,0.299976,0,0.299319,0,0,0,0,0.215225,0.145037,0.680417,0,0,0,1.60501e-05,0,0.980921,0.646682,0.245563,0.000331442
