step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,9,5,4,0,9,0,0,0,3,0,0,0.0173349,0,0.2519,0.0135472,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.32362e-08
200,20,0.833333,11,5,6,0,11,0,0,0,6,10,0,0.0293801,0,0.431414,0.0481236,0,4,0,0.130635,0,0.0219913,0,0,0,0,0.296044,0.0232963,0.359433,0,0,0,6.28581e-05,0,1,0.991039,0.242877,1.5227e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.037539,0,0.552158,0.097833,0,4,0,0.146959,0,0.0764057,0,0,0,0,0.38302,0.0586666,0.408419,0,0,0,1.66991e-05,0,1,0.975751,0.260943,4.74151e-07
400,40,1.66667,12,5,7,0,12,0,0,0,9,10,0,0.0430491,0,0.640016,0.157882,0,8,0,0.160913,0,0.164607,0,0,0,0,0.444097,0.112289,0.582968,0,0,0,1.63569e-05,0,1,0.948428,0.272798,1.25379e-06
500,50,2.08333,12,5,7,0,12,0,0,0,10,10,0,0.046651,0,0.650939,0.222358,0,8,0,0.187187,0,0.249735,0,0,0,0,0.487645,0.128917,0.658916,0,0,0,1.61701e-05,0,1,0.909458,0.278887,2.56078e-06
600,60,2.5,13,5,6,2,11,2,0,0,11,10,8.33333,0.0488482,0.000128748,0.607443,0.286141,0,8,0,0.216589,0,0.324948,0,0,0,0,0.515154,0.149971,0.686412,0,0,0,1.61189e-05,0,0.999477,0.861559,0.279982,4.35222e-06
700,70,2.91667,13,5,4,4,9,4,0,0,9,9,12.5,0.0499994,0.000545445,0.54715,0.343724,0,12,0,0.257852,0,0.387442,0,0,0,0,0.536712,0.152137,0.698674,0,0,0,1.60919e-05,0,0.997416,0.808764,0.27707,6.53067e-06
800,80,3.33333,16,5,6,5,11,5,0,0,12,9,16.6667,0.0503672,0.00107166,0.509461,0.396186,0,12,0,0.298719,0,0.437142,0,0,0,0,0.549058,0.13709,0.703845,0,0,0,1.60785e-05,0,0.994283,0.760207,0.273023,8.97956e-06
900,90,3.75,18,5,8,5,13,5,0,0,8,10,16.6667,0.0501498,0.00162153,0.480962,0.445566,0,12,0,0.33565,0,0.475476,0,0,0,0,0.552163,0.12322,0.704564,0,0,0,1.60694e-05,0,0.990474,0.715482,0.268214,1.15859e-05
1000,100,4.16667,20,5,9,6,14,6,0,0,8,9,16.6667,0.0494828,0.00213592,0.480692,0.49379,0,17,0,0.349517,0,0.489792,0,0,0,0,0.545316,0.107071,0.708138,0,0,0,1.6062e-05,0,0.98642,0.67728,0.263709,1.42187e-05
1100,110,4.58333,23,5,12,6,17,6,0,0,8,9,16.6667,0.0484149,0.00261712,0.466136,0.541272,0,17,0,0.353641,0,0.489792,0,0,0,0,0.532799,0.0931835,0.705725,0,0,0,1.60561e-05,0,0.982337,0.645163,0.259604,1.66534e-05
1200,120,5,23,5,11,7,16,7,0,0,7,7,16.6667,0.0470701,0.00306728,0.459677,0.587457,0,17,0,0.344186,0,0.489792,0,0,0,0,0.511329,0.0807533,0.702264,0,0,0,1.60482e-05,0,0.978253,0.642916,0.258714,1.88579e-05
1300,130,5.41667,28,5,15,8,21,7,0,0,5,8,16.6667,0.045554,0.0034884,0.455572,0.633539,0,17,1,0.332572,0,0.489793,0,0,0,0,0.488531,0.0705991,0.701005,0,0,0,1.60429e-05,0,0.97417,0.640948,0.258371,2.08414e-05
1400,140,5.83333,33,5,20,8,25,8,0,0,5,6,16.6667,0.0439445,0.00388235,0.412086,0.675842,0,17,2,0.346053,0,0.489793,0,0,0,0,0.471302,0.0619921,0.701143,0,0,0,1.60374e-05,0,0.970087,0.638984,0.258406,2.26222e-05
1500,150,6.25,38,5,20,13,26,12,0,0,2,6,20.8333,0.042299,0.00433411,0.418509,0.717697,0,17,2,0.325943,0,0.489793,0,0,0,0,0.441334,0.0544154,0.701861,0,0,0,1.60319e-05,0,0.965779,0.637024,0.258697,2.4222e-05
1600,160,6.66667,44,5,24,15,30,14,0,0,2,8,29.1667,0.0406593,0.00543892,0.403083,0.758809,0,17,3,0.318908,0,0.489793,0,0,0,0,0.417684,0.052119,0.694782,0,0,0,1.60266e-05,0,0.959593,0.635069,0.258961,2.56635e-05
1700,170,7.08333,50,5,29,16,36,14,0,0,2,9,33.3333,0.0390547,0.00707707,0.392511,0.798389,0,17,6,0.305844,0,0.489793,0,0,0,0,0.392139,0.0504249,0.693428,0,0,0,1.60232e-05,0,0.951723,0.633121,0.259113,2.69685e-05
1800,180,7.5,53,5,24,24,32,21,0,0,1,9,33.3333,0.0375058,0.00871392,0.379164,0.836944,0,17,8,0.289317,0,0.489793,0,0,0,0,0.364288,0.0450749,0.694611,0,0,0,1.60199e-05,0,0.943557,0.631179,0.259242,2.81573e-05
1900,190,7.91667,64,5,30,29,41,23,0,0,0,10,33.3333,0.0360261,0.0102452,0.370997,0.87452,0,17,9,0.275471,0,0.489793,0,0,0,0,0.339405,0.0425521,0.696105,0,0,0,1.60165e-05,0,0.935392,0.629243,0.259422,2.92478e-05
2000,200,8.33333,67,5,30,32,40,27,0,0,0,9,33.3333,0.034624,0.0116776,0.361777,0.911104,0,17,14,0.266206,0.0086625,0.489793,0,0,0,0,0.315856,0.0394133,0.683423,0,0,0,1.60133e-05,0,0.927226,0.627315,0.259655,3.02559e-05
2100,210,8.75,75,5,37,33,46,29,0,0,0,8,33.3333,0.033304,0.0130177,0.351348,0.946756,0,17,14,0.257523,0.020825,0.489793,0,0,0,0,0.292231,0.0411054,0.666039,0,0,0,9.02889e-05,0,0.91906,0.625394,0.259784,3.11952e-05
2200,220,9.16667,80,5,34,41,44,36,0,0,0,9,37.5,0.0320679,0.0148365,0.341883,0.981476,0,17,14,0.250351,0.034475,0.489793,0,0,0,0,0.271265,0.040777,0.650119,0,0,0,0.000386467,0,0.910589,0.623479,0.259807,3.20771e-05
2300,230,9.58333,85,5,31,49,45,40,0,0,0,9,37.5,0.0309153,0.0178137,0.33255,1.01516,0,17,14,0.244037,0.0559125,0.489793,0,0,0,0,0.251466,0.0522179,0.634646,0,0,0,0.00509479,0,0.901403,0.621569,0.259384,3.29114e-05
2400,240,10,92,5,28,59,46,46,0,0,0,9,37.5,0.0298443,0.0205988,0.319547,1.04776,0,17,15,0.237492,0.0807625,0.489793,0,0,0,0,0.231917,0.0618901,0.61925,0,0,0,0.0264994,0,0.892218,0.619664,0.258424,3.37062e-05
2500,250,10.4167,94,5,29,60,47,45,2,0,0,9,41.6667,0.028852,0.0246867,0.30813,1.07919,0,17,15,0.232648,0.108325,0.489793,0,0,0,0,0.214885,0.0814814,0.603454,0,0,0,0.0671828,0,0.882216,0.617762,0.256792,3.44682e-05
2600,260,10.8333,99,5,26,68,49,46,4,0,0,8,41.6667,0.0279348,0.0294891,0.296674,1.10938,0,17,16,0.228034,0.135975,0.489745,0,0,0,0,0.199072,0.0994419,0.586732,0,0,0,0.128221,0,0.871562,0.615862,0.254326,3.5209e-05
2700,270,11.25,103,5,20,78,46,50,7,0,0,9,41.6667,0.0270875,0.0346181,0.285624,1.13842,0,17,16,0.222612,0.162837,0.489454,0,0,0,0,0.183488,0.120827,0.569489,0,0,0,0.20945,0,0.860343,0.613965,0.251232,3.59169e-05
2800,280,11.6667,103,5,21,77,46,47,10,0,0,8,45.8333,0.026304,0.0394679,0.279082,1.16671,0,17,16,0.218559,0.19495,0.488916,0,0,0,0,0.169802,0.150281,0.556745,0,0,0,0.312014,0,0.849032,0.612069,0.249557,3.65952e-05
2900,290,12.0833,105,5,20,80,45,49,11,0,0,8,45.8333,0.0255787,0.0454998,0.268165,1.19404,0,17,17,0.214582,0.2275,0.488172,0,0,0,0,0.157014,0.173273,0.548041,0,0,0,0.438317,0,0.836847,0.610169,0.249154,3.72421e-05
3000,300,12.5,109,5,18,86,46,50,13,0,0,8,45.8333,0.0249066,0.0510224,0.237144,1.21882,0,17,17,0.222959,0.260225,0.487265,0,0,0,0,0.148023,0.176418,0.540081,0,0,0,0.588556,0,0.824704,0.608239,0.248735,3.78568e-05
3100,310,12.9167,113,5,17,91,48,50,15,0,0,6,54.1667,0.0242834,0.0631876,0.224318,1.24185,0,17,17,0.22475,0.29295,0.486264,0,0,0,0,0.138463,0.179073,0.532615,0,0,0,0.763164,0,0.810412,0.606255,0.248226,3.84398e-05
3200,320,13.3333,114,5,19,90,47,49,18,0,0,4,54.1667,0.0237054,0.0759162,0.208747,1.2634,0,17,17,0.225768,0.326288,0.485188,0,0,0,0,0.129222,0.172607,0.525635,0,0,0,0.799502,0,0.79536,0.604207,0.247651,3.89921e-05
3300,330,13.75,118,5,16,97,48,51,19,0,0,5,54.1667,0.0231689,0.0877494,0.200663,1.28386,0,17,17,0.218282,0.357788,0.484024,0,0,0,0,0.118087,0.16271,0.519164,0,0,0,0.799496,0,0.780139,0.602112,0.247044,3.9525e-05
3400,340,14.1667,120,5,20,95,50,49,19,2,0,8,54.1667,0.0226704,0.0994748,0.187763,1.30368,0,17,17,0.214529,0.389988,0.482744,0,0,0,0,0.108918,0.156825,0.513163,0,0,0,0.799492,0,0.764243,0.599992,0.246415,4.00187e-05
3500,350,14.5833,121,5,18,98,46,51,21,3,0,9,54.1667,0.0222066,0.109993,0.1763,1.32164,0,17,17,0.222471,0.421575,0.481314,0,0,0,0,0.103679,0.14149,0.507592,0,0,0,0.799491,0,0.748366,0.597867,0.245768,4.0487e-05
3600,360,15,123,5,19,99,46,51,21,5,0,10,54.1667,0.0217746,0.120352,0.168751,1.33888,0,17,17,0.227145,0.453513,0.47979,0,0,0,0,0.0982533,0.124825,0.502412,0,0,0,0.79949,0,0.731667,0.595749,0.245107,4.09317e-05
3700,370,15.4167,123,5,18,100,46,49,20,8,0,10,54.1667,0.0213723,0.1295,0.159028,1.3555,0,16,16,0.230796,0.485888,0.478216,0,0,0,0,0.0935347,0.110623,0.497598,0,0,0,0.799492,0,0.715064,0.593646,0.24444,4.13433e-05
3800,380,15.8333,123,5,16,102,44,49,22,8,0,10,54.1667,0.0209974,0.137584,0.15397,1.37093,0,16,16,0.232855,0.5194,0.47662,0,0,0,0,0.0890718,0.0989825,0.493116,0,0,0,0.799494,0,0.698556,0.591563,0.243768,4.17319e-05
3900,390,16.25,124,5,19,100,45,50,23,6,0,10,66.6667,0.0206484,0.159212,0.146224,1.386,0,16,16,0.232652,0.553525,0.475016,0,0,0,0,0.0844979,0.0890211,0.488815,0,0,0,0.799494,0,0.678447,0.589506,0.243044,4.21002e-05
4000,400,16.6667,127,5,22,100,49,50,21,7,0,7,70.8333,0.0203232,0.197218,0.137179,1.40012,0,16,16,0.228001,0.5887,0.473412,0,0,0,0,0.0784995,0.081216,0.484612,0,0,0,0.799495,0,0.653309,0.587474,0.242248,4.24498e-05
4100,410,17.0833,128,5,23,100,49,53,21,5,0,6,70.8333,0.0200203,0.235731,0.13111,1.41348,0,12,12,0.219924,0.6251,0.471781,0,0,0,0,0.0713288,0.0769235,0.480629,0,0,0,0.799494,0,0.626558,0.58547,0.241439,4.27826e-05
4200,420,17.5,129,5,26,98,52,49,23,5,0,6,79.1667,0.0197374,0.280913,0.121585,1.42619,0,11,11,0.212078,0.66675,0.470087,0,0,0,0,0.0647764,0.0838329,0.47669,0,0,0,0.799482,0,0.596658,0.583493,0.240556,4.30989e-05
4300,430,17.9167,130,5,24,101,50,52,21,7,0,7,79.1667,0.0194727,0.324226,0.112559,1.43787,0,11,11,0.206156,0.705688,0.468321,0,0,0,0,0.0593696,0.0909492,0.472977,0,0,0,0.799479,0,0.565433,0.581541,0.239682,4.33971e-05
4400,440,18.3333,132,5,21,106,47,56,21,8,0,7,79.1667,0.019224,0.360608,0.104776,1.44871,0,7,7,0.201028,0.740163,0.466487,0,0,0,0,0.0546295,0.0945736,0.469521,0,0,0,0.799485,0,0.534382,0.579615,0.238836,4.36771e-05
4500,450,18.75,132,5,22,105,47,55,23,7,0,8,79.1667,0.01899,0.391205,0.0982554,1.45887,0,6,6,0.195776,0.759675,0.464597,0,0,0,0,0.0502967,0.0978753,0.466252,0,0,0,0.799515,0,0.503512,0.577711,0.237998,4.39383e-05
4600,460,19.1667,135,5,22,108,48,56,22,9,0,9,79.1667,0.018769,0.416972,0.0938317,1.46845,0,6,6,0.19197,0.777175,0.462666,0,0,0,0,0.0467372,0.100975,0.463146,0,0,0,0.799545,0,0.472827,0.575829,0.237164,4.4181e-05
4700,470,19.5833,135,5,20,110,48,57,23,7,0,9,79.1667,0.01856,0.439029,0.0895262,1.4776,0,3,3,0.188678,0.794675,0.460709,0,0,0,0,0.0436443,0.101575,0.460244,0,0,0,0.799568,0,0.441584,0.573967,0.236358,4.44211e-05
4800,480,20,134,5,20,109,48,57,22,7,0,9,79.1667,0.018362,0.457712,0.0852692,1.48633,0,3,3,0.18503,0.812175,0.458741,0,0,0,0,0.0407747,0.101173,0.457504,0,0,0,0.799588,0,0.41036,0.572123,0.235566,4.46288e-05
