step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.257886,0.0137148,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,10,12.5,0.0293801,0.000203266,0.44509,0.0495459,0,4,0,0.130611,0,0.0219913,0,0,0,0,0.296044,0.042477,0.357214,0,0,0,0.000594979,0,0.999463,0.988047,0.24169,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,12.5,0.037539,0.000654404,0.564408,0.100449,0,4,0,0.146567,0,0.0764057,0,0,0,0,0.38302,0.116207,0.396962,0,0,0,0.000358195,0,0.998213,0.954273,0.254212,1.91835e-05
400,40,1.66667,15,5,8,2,13,2,0,0,9,10,12.5,0.0430491,0.00107644,0.658307,0.161993,0,8,0,0.15921,0,0.164607,0,0,0,0,0.444097,0.195929,0.55513,0,0,0,1.67937e-05,0,0.996963,0.890117,0.255832,5.07042e-05
500,50,2.08333,18,5,7,6,12,6,0,0,9,10,16.6667,0.04665,0.00159283,0.545214,0.220106,0,8,0,0.227449,0,0.249523,0,0,0,0,0.500176,0.197381,0.628733,0,0,0,1.62465e-05,0,0.99525,0.81118,0.250348,0.000103448
600,60,2.5,20,5,9,6,14,6,0,0,11,9,20.8333,0.0488456,0.00236602,0.555345,0.275047,0,8,0,0.251107,0,0.324752,0,0,0,0,0.526617,0.184041,0.644167,0,0,0,1.61336e-05,0,0.992397,0.736184,0.242903,0.000175626
700,70,2.91667,23,5,11,7,16,7,0,0,10,9,20.8333,0.0499966,0.00320099,0.563783,0.331155,0,12,0,0.271004,0,0.387572,0,0,0,0,0.541493,0.172486,0.644306,0,0,0,1.60794e-05,0,0.988663,0.670077,0.235351,0.000263372
800,80,3.33333,28,5,13,10,19,9,0,0,12,8,25,0.0503724,0.00434356,0.556721,0.387181,0,12,0,0.28412,0,0.438719,0,0,0,0,0.546267,0.158575,0.6363,0,0,0,1.60646e-05,0,0.983488,0.650712,0.232028,0.00036243
900,90,3.75,32,5,13,14,20,12,0,0,9,10,25,0.0501711,0.00541955,0.522647,0.4413,0,12,0,0.295218,0,0.477935,0,0,0,0,0.542734,0.145283,0.629219,0,0,0,1.60553e-05,0,0.977731,0.648687,0.230881,0.0004684
1000,100,4.16667,36,5,17,14,23,13,0,0,8,8,29.1667,0.0495058,0.00646788,0.537242,0.494226,0,17,0,0.28831,0,0.489792,0,0,0,0,0.529529,0.124541,0.628049,0,0,0,1.60477e-05,0,0.971519,0.646636,0.230764,0.000574441
1100,110,4.58333,40,5,18,17,23,17,0,0,7,10,29.1667,0.0484335,0.00777543,0.528526,0.547135,0,17,0,0.286872,0,0.489792,0,0,0,0,0.513765,0.114895,0.645376,0,0,0,1.60434e-05,0,0.964374,0.644569,0.234364,0.000671843
1200,120,5,46,5,20,21,25,21,0,0,6,9,29.1667,0.0470854,0.00899862,0.52019,0.599613,0,17,0,0.283559,0,0.489792,0,0,0,0,0.493189,0.0991304,0.651758,0,0,0,1.60399e-05,0,0.957228,0.642494,0.23744,0.00075981
1300,130,5.41667,52,5,21,26,28,24,0,0,3,9,29.1667,0.0455665,0.0101429,0.511416,0.65126,0,17,3,0.286312,0,0.489793,0,0,0,0,0.474322,0.0862251,0.656551,0,0,0,1.60362e-05,0,0.950082,0.640417,0.240025,0.000838777
1400,140,5.83333,56,5,24,27,29,27,0,0,2,9,33.3333,0.0439548,0.0128936,0.473595,0.700865,0,17,4,0.294301,0,0.489793,0,0,0,0,0.455667,0.0768535,0.661228,0,0,0,1.60323e-05,0,0.942008,0.638344,0.242123,0.000909514
1500,150,6.25,60,5,20,35,31,29,0,0,1,10,41.6667,0.0423076,0.0164733,0.454964,0.747235,0,17,4,0.298737,0,0.489793,0,0,0,0,0.433811,0.0669871,0.665433,0,0,0,1.60291e-05,0,0.933015,0.636278,0.243814,0.000972934
1600,160,6.66667,66,5,22,39,35,31,0,0,1,10,41.6667,0.0406664,0.0211858,0.438885,0.791968,0,17,4,0.296323,0,0.489793,0,0,0,0,0.411884,0.0597831,0.669003,0,0,0,1.60259e-05,0,0.922807,0.634222,0.245143,0.00102998
1700,170,7.08333,70,5,19,46,35,34,1,0,1,10,41.6667,0.0390607,0.0265275,0.423448,0.835035,0,17,8,0.293223,0,0.489793,0,0,0,0,0.39029,0.0531076,0.672583,0,0,0,1.60227e-05,0,0.911936,0.632179,0.246424,0.00108155
1800,180,7.5,74,5,20,49,36,37,1,0,1,8,41.6667,0.0375108,0.0318627,0.414287,0.876721,0,17,9,0.283491,0.001875,0.489793,0,0,0,0,0.365383,0.051015,0.676062,0,0,0,1.60195e-05,0,0.900708,0.63015,0.247763,0.00112847
1900,190,7.91667,79,5,23,51,39,39,1,0,0,9,41.6667,0.0360304,0.036695,0.408458,0.917987,0,17,9,0.27219,0.005775,0.489793,0,0,0,0,0.341666,0.0497838,0.677836,0,0,0,1.60163e-05,0,0.88948,0.628135,0.248866,0.00117148
2000,200,8.33333,83,5,22,56,40,40,3,0,0,9,41.6667,0.0346276,0.0420762,0.400401,0.958309,0,17,14,0.266357,0.02055,0.489793,0,0,0,0,0.31927,0.0452384,0.666182,0,0,0,8.96084e-05,0,0.877467,0.626135,0.249957,0.00121122
2100,210,8.75,87,5,26,56,40,43,4,0,0,10,45.8333,0.0333072,0.0481982,0.388886,0.997832,0,17,14,0.260733,0.041025,0.489793,0,0,0,0,0.296705,0.044175,0.650364,0,0,0,0.000484556,0,0.864637,0.62415,0.250962,0.00124823
2200,220,9.16667,92,5,23,64,44,41,7,0,0,9,50,0.0320707,0.0610066,0.374116,1.03601,0,17,16,0.25666,0.0669,0.489793,0,0,0,0,0.276641,0.0429647,0.635983,0,0,0,0.00651492,0,0.84949,0.62218,0.251826,0.00128299
2300,230,9.58333,96,5,19,72,42,47,7,0,0,10,50,0.0309177,0.0729075,0.361415,1.07274,0,17,16,0.252404,0.0963,0.489793,0,0,0,0,0.257547,0.0433372,0.62289,0,0,0,0.0328376,0,0.83418,0.620224,0.252559,0.00131587
2400,240,10,99,5,21,73,43,45,11,0,0,10,54.1667,0.0298464,0.083471,0.347543,1.10817,0,17,17,0.246735,0.12495,0.489793,0,0,0,0,0.238414,0.0412381,0.611169,0,0,0,0.080959,0,0.818871,0.618282,0.253255,0.00134721
2500,250,10.4167,102,5,21,76,45,46,11,0,0,10,62.5,0.028854,0.107267,0.325293,1.14184,0,17,17,0.241823,0.153075,0.489793,0,0,0,0,0.221471,0.0397238,0.600453,0,0,0,0.150553,0,0.798948,0.616354,0.253824,0.00137726
2600,260,10.8333,106,5,18,83,45,48,13,0,0,10,62.5,0.0279367,0.130402,0.306032,1.17334,0,17,17,0.236905,0.180825,0.489775,0,0,0,0,0.205646,0.0384383,0.590834,0,0,0,0.241591,0,0.77817,0.614438,0.254352,0.00140624
