step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,6,1,12,0,0,0,3,0,0,0.0173349,0,0.257174,0.0137007,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,4,3,9,3,0,0,6,9,12.5,0.0293801,0.000159891,0.444547,0.049196,0,4,0,0.130638,0,0.0219913,0,0,0,0,0.118418,0.0332068,0.358314,0,0,0,0.000618235,0,0.999575,0.99034,0.24236,6.16656e-06
300,30,1.25,12,5,3,4,9,3,0,0,6,10,12.5,0.037503,0.000613827,0.567145,0.100302,0,4,0,0.146724,0,0.0499109,0,0,0,0,0.15321,0.0992801,0.399477,0,0,0,0.000490194,0,0.998325,0.960162,0.255807,1.7775e-05
400,40,1.66667,14,5,6,3,11,3,0,0,9,10,16.6667,0.0428088,0.00117821,0.64562,0.161338,0,8,0,0.15975,0,0.0919547,0,0,0,0,0.177678,0.140004,0.554245,0,0,0,1.68411e-05,0,0.9967,0.909907,0.260726,3.96704e-05
500,50,2.08333,18,5,6,7,12,6,0,0,9,10,16.6667,0.0460614,0.0017212,0.619732,0.224442,0,8,0,0.220014,0,0.134927,0,0,0,0,0.199273,0.140763,0.629733,0,0,0,1.63082e-05,0,0.995033,0.853649,0.261195,7.22847e-05
600,60,2.5,18,5,4,9,10,8,0,0,11,10,16.6667,0.047817,0.00222916,0.609687,0.28553,0,8,0,0.257056,0,0.175742,0,0,0,0,0.211414,0.143241,0.66078,0,0,0,1.61637e-05,0,0.993367,0.797539,0.259149,0.000114173
700,70,2.91667,21,5,8,8,13,8,0,0,9,9,16.6667,0.0484874,0.00270435,0.612968,0.346862,0,12,0,0.286378,0,0.213054,0,0,0,0,0.218887,0.14215,0.673926,0,0,0,1.60964e-05,0,0.99167,0.745722,0.255973,0.000163191
800,80,3.33333,23,5,9,9,14,9,0,0,11,10,20.8333,0.0483786,0.00342763,0.604272,0.407679,0,12,0,0.319854,0,0.246208,0,0,0,0,0.223461,0.123448,0.679524,0,0,0,1.60769e-05,0,0.989363,0.700517,0.252497,0.000217104
900,90,3.75,29,5,12,12,18,11,0,0,8,8,25,0.0477181,0.00429981,0.575115,0.466876,0,12,0,0.342225,0,0.275054,0,0,0,0,0.223245,0.107677,0.68363,0,0,0,1.60656e-05,0,0.986464,0.662142,0.24916,0.000273891
1000,100,4.16667,31,5,12,14,17,14,0,0,6,7,29.1667,0.0466757,0.00574366,0.545888,0.522706,0,17,0,0.356195,0,0.299759,0,0,0,0,0.220856,0.095721,0.687673,0,0,0,1.60551e-05,0,0.982255,0.64682,0.247723,0.000331878
1100,110,4.58333,36,5,14,17,19,17,0,0,5,7,29.1667,0.045378,0.00709792,0.534281,0.577002,0,17,0,0.354778,0,0.320674,0,0,0,0,0.214814,0.0832976,0.67613,0,0,0,1.60484e-05,0,0.977716,0.644841,0.248065,0.00038976
1200,120,5,40,5,15,20,20,20,0,0,4,5,33.3333,0.0439194,0.00866166,0.51834,0.629613,0,17,0,0.344484,0,0.338216,0,0,0,0,0.204993,0.0721604,0.668499,0,0,0,1.60429e-05,0,0.972342,0.642864,0.248711,0.000446569
