step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173675,0,0.25337,0.0135789,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.83273e-08
200,20,0.833333,10,5,5,0,10,0,0,0,6,10,0,0.029496,0,0.429597,0.0482772,0,2,0,0.130627,0,0.0267037,0,0,0,0,0.296015,0.0265131,0.359098,0,0,0,3.57417e-05,0,1,0.990157,0.242655,1.86436e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.0377695,0,0.548757,0.0977099,0,2,0,0.146875,0,0.0831024,0,0,0,0,0.382939,0.0888217,0.406756,0,0,0,1.62147e-05,0,1,0.971435,0.259846,5.70684e-07
400,40,1.66667,12,5,7,0,12,0,0,0,8,10,0,0.0434103,0,0.638824,0.157522,0,4,0,0.160586,0,0.172636,0,0,0,0,0.443933,0.161707,0.440969,0,0,0,1.61016e-05,0,1,0.938436,0.270231,1.45102e-06
500,50,2.08333,12,5,7,0,12,0,0,0,8,10,0,0.0471572,0,0.661281,0.222252,0,4,0,0.229127,0,0.261619,0,0,0,0,0.489983,0.182896,0.463061,0,0,0,1.60819e-05,0,1,0.892383,0.274463,2.91083e-06
600,60,2.5,15,5,9,1,14,1,0,0,8,10,4.16667,0.0495316,0.000147255,0.649108,0.288444,0,4,0,0.260598,0,0.34211,0,0,0,0,0.517195,0.195361,0.473266,0,0,0,1.60722e-05,0,0.999389,0.833728,0.272679,4.94758e-06
700,70,2.91667,16,5,8,3,13,3,0,0,6,10,8.33333,0.0508756,0.000308449,0.626341,0.352466,0,6,0,0.28914,0,0.407972,0,0,0,0,0.535563,0.191191,0.506814,0,0,0,1.60646e-05,0,0.998498,0.771996,0.267798,7.46142e-06
800,80,3.33333,18,5,9,4,14,4,0,0,9,10,12.5,0.0514328,0.000636137,0.591017,0.412584,0,6,0,0.316117,0,0.459883,0,0,0,0,0.544117,0.176735,0.532077,0,0,0,1.60581e-05,0,0.996396,0.712106,0.260988,1.03134e-05
900,90,3.75,21,5,11,5,16,5,0,0,5,7,16.6667,0.0513894,0.00108322,0.554377,0.469891,0,6,0,0.324994,0,0.499106,0,0,0,0,0.539499,0.151346,0.582794,0,0,0,1.60537e-05,0,0.993162,0.658525,0.253728,1.33651e-05
1000,100,4.16667,22,5,11,6,16,6,0,0,5,8,16.6667,0.0508911,0.00163234,0.535599,0.524682,0,10,0,0.319697,0,0.52813,0,0,0,0,0.528068,0.138193,0.65323,0,0,0,1.6049e-05,0,0.988783,0.646505,0.250268,1.64931e-05
1100,110,4.58333,28,5,17,6,22,6,0,0,4,6,16.6667,0.0500556,0.00214604,0.520473,0.577284,0,10,0,0.312656,0,0.549314,0,0,0,0,0.512519,0.121321,0.683308,0,0,0,1.60435e-05,0,0.984203,0.64437,0.248741,1.96009e-05
1200,120,5,31,5,18,8,23,8,0,0,4,5,16.6667,0.0489782,0.00262659,0.503097,0.628489,0,10,0,0.30234,0,0.564638,0,0,0,0,0.491295,0.106003,0.687801,0,0,0,1.60387e-05,0,0.979479,0.642229,0.248089,2.26196e-05
1300,130,5.41667,39,5,24,10,29,10,0,0,3,6,16.6667,0.0477356,0.00307614,0.501566,0.678785,0,10,0,0.288429,0,0.575629,0,0,0,0,0.467746,0.0980773,0.686138,0,0,0,1.60355e-05,0,0.974653,0.640091,0.247967,2.55043e-05
1400,140,5.83333,44,5,27,12,32,12,0,0,2,7,16.6667,0.0463885,0.00349669,0.488199,0.727665,0,10,0,0.284519,0,0.583419,0,0,0,0,0.445641,0.10214,0.688431,0,0,0,1.60323e-05,0,0.969756,0.637961,0.24778,2.82283e-05
1500,150,6.25,49,5,20,24,33,16,0,0,0,8,20.8333,0.0449811,0.00418333,0.44874,0.774643,0,10,3,0.294714,0.01155,0.588056,0,0,0,0,0.424212,0.106333,0.681195,0,0,0,1.60291e-05,0,0.963841,0.635843,0.247076,3.07709e-05
1600,160,6.66667,57,5,20,32,39,18,0,0,0,8,29.1667,0.0435464,0.00555596,0.431019,0.818498,0,10,3,0.293135,0.0378,0.590813,0,0,0,0,0.400416,0.0968515,0.6638,0,0,0,0.000302338,0,0.955458,0.633739,0.246424,3.31188e-05
1700,170,7.08333,59,5,18,36,37,22,0,0,0,7,33.3333,0.0421143,0.00695652,0.419355,0.860984,0,10,5,0.286789,0.0718375,0.592575,0,0,0,0,0.375298,0.0875135,0.647216,0,0,0,0.00101722,0,0.946672,0.631652,0.24743,3.52797e-05
1800,180,7.5,64,5,22,37,41,23,0,0,0,8,33.3333,0.0407092,0.00860115,0.40192,0.901975,0,10,5,0.278691,0.106838,0.593769,0,0,0,0,0.34937,0.0853483,0.631936,0,0,0,0.0168431,0,0.936758,0.629582,0.248212,3.72717e-05
1900,190,7.91667,67,5,20,42,40,27,0,0,0,9,33.3333,0.0393492,0.0101397,0.391714,0.941735,0,10,5,0.271175,0.141838,0.594459,0,0,0,0,0.3261,0.095941,0.617885,0,0,0,0.0577806,0,0.926846,0.627528,0.248812,3.91153e-05
2000,200,8.33333,75,5,21,49,45,30,0,0,0,9,33.3333,0.038045,0.0115789,0.38163,0.980349,0,10,9,0.271032,0.200987,0.594202,0,0,0,0,0.30379,0.105795,0.604953,0,0,0,0.129862,0,0.916942,0.625489,0.24925,4.08253e-05
2100,210,8.75,80,5,21,54,48,32,0,0,0,10,41.6667,0.0368022,0.0143475,0.36448,1.01771,0,10,9,0.27022,0.270987,0.593461,0,0,0,0,0.281209,0.111511,0.59296,0,0,0,0.253213,0,0.90612,0.623464,0.249511,4.24115e-05
2200,220,9.16667,84,5,21,58,48,36,0,0,0,9,41.6667,0.0356235,0.0191971,0.346302,1.05326,0,10,9,0.267936,0.340988,0.592451,0,0,0,0,0.26113,0.115699,0.581804,0,0,0,0.429773,0,0.893803,0.621435,0.249606,4.38829e-05
2300,230,9.58333,86,5,19,62,46,39,1,0,0,8,45.8333,0.0345099,0.0251622,0.327082,1.08689,0,10,9,0.263846,0.410988,0.591217,0,0,0,0,0.242154,0.119479,0.57145,0,0,0,0.66007,0,0.880589,0.619372,0.249566,4.52478e-05
2400,240,10,88,5,20,63,46,41,1,0,0,7,45.8333,0.0334608,0.031155,0.307766,1.1186,0,10,9,0.257464,0.480988,0.589753,0,0,0,0,0.223244,0.116893,0.561873,0,0,0,0.799237,0,0.867154,0.617257,0.249421,4.65143e-05
2500,250,10.4167,92,5,15,72,47,41,4,0,0,8,45.8333,0.032475,0.0377863,0.293535,1.14873,0,10,9,0.251444,0.550988,0.58803,0,0,0,0,0.206532,0.111827,0.553025,0,0,0,0.799225,0,0.852879,0.615103,0.249192,4.76969e-05
2600,260,10.8333,94,5,15,74,46,44,4,0,0,7,45.8333,0.0315502,0.0441708,0.280569,1.17737,0,10,9,0.245021,0.620988,0.58609,0,0,0,0,0.19087,0.103776,0.544853,0,0,0,0.799214,0,0.838383,0.61293,0.248897,4.87888e-05
2700,270,11.25,94,5,13,76,45,42,7,0,0,9,45.8333,0.0306839,0.0499928,0.270254,1.20484,0,10,9,0.23744,0.690988,0.583966,0,0,0,0,0.175414,0.106134,0.537299,0,0,0,0.799204,0,0.823974,0.610754,0.248545,4.98028e-05
2800,280,11.6667,97,5,16,76,46,43,8,0,0,10,50,0.0298733,0.0566538,0.263437,1.23158,0,10,9,0.23093,0.760988,0.58169,0,0,0,0,0.16181,0.11571,0.530298,0,0,0,0.799196,0,0.809231,0.608586,0.24814,5.07446e-05
2900,290,12.0833,99,5,16,78,46,42,11,0,0,10,50,0.0291151,0.0684289,0.252383,1.25732,0,10,9,0.224589,0.830988,0.579287,0,0,0,0,0.149136,0.120416,0.523758,0,0,0,0.799186,0,0.792646,0.606433,0.247672,5.16191e-05
3000,300,12.5,99,5,15,79,45,42,12,0,0,9,50,0.0284064,0.0789256,0.240746,1.28196,0,10,9,0.217575,0.900988,0.576777,0,0,0,0,0.136721,0.124068,0.517715,0,0,0,0.799175,0,0.776176,0.6043,0.247181,5.24311e-05
3100,310,12.9167,102,5,15,82,45,44,13,0,0,10,50,0.0277439,0.0882912,0.232758,1.30564,0,10,9,0.211833,0.970988,0.57418,0,0,0,0,0.125827,0.129242,0.512112,0,0,0,0.799169,0,0.759824,0.60219,0.246664,5.3185e-05
3200,320,13.3333,104,5,15,84,46,42,15,1,0,8,54.1667,0.0271247,0.0979021,0.222556,1.32841,0,10,9,0.206441,1.04099,0.571513,0,0,0,0,0.115724,0.132278,0.506839,0,0,0,0.799164,0,0.742813,0.600104,0.246097,5.38848e-05
3300,330,13.75,105,5,16,84,45,43,16,1,0,9,54.1667,0.0265457,0.107863,0.211275,1.35008,0,10,9,0.200572,1.11099,0.568789,0,0,0,0,0.105895,0.134982,0.501892,0,0,0,0.799163,0,0.724626,0.598044,0.245497,5.45463e-05
