step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.258627,0.0137609,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,7,0,12,0,0,0,6,9,0,0.029496,0,0.460558,0.0500197,0,2,0,0.130608,0,0.0267037,0,0,0,0,0.296015,0.0454117,0.358141,0,0,0,0.000592993,0,1,0.987631,0.24202,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000258917,0.591181,0.103388,0,2,0,0.146549,0,0.0831024,0,0,0,0,0.382939,0.10819,0.399054,0,0,0,0.000343715,0,0.999313,0.954764,0.255098,2.30885e-05
400,40,1.66667,15,5,6,4,11,4,0,0,9,10,16.6667,0.0434103,0.000711258,0.677523,0.167279,0,4,0,0.159317,0,0.172636,0,0,0,0,0.443933,0.168804,0.421908,0,0,0,1.65833e-05,0,0.99805,0.898466,0.25861,5.86742e-05
500,50,2.08333,17,5,8,4,13,4,0,0,9,9,16.6667,0.0471518,0.00128437,0.674068,0.234584,0,4,0,0.217982,0,0.259942,0,0,0,0,0.492778,0.169123,0.433218,0,0,0,1.63081e-05,0,0.996183,0.833464,0.256634,0.000117344
600,60,2.5,21,5,10,6,15,6,0,0,9,10,16.6667,0.0495008,0.00182051,0.659334,0.301573,0,4,0,0.248958,0,0.337501,0,0,0,0,0.521757,0.164741,0.438424,0,0,0,1.62123e-05,0,0.993641,0.769622,0.252332,0.000197963
700,70,2.91667,25,5,14,6,19,6,0,0,8,9,16.6667,0.0508048,0.00232207,0.6505,0.367069,0,6,0,0.269468,0,0.40146,0,0,0,0,0.538642,0.164029,0.438206,0,0,0,1.6162e-05,0,0.990507,0.706407,0.245923,0.000296305
800,80,3.33333,28,5,15,8,20,8,0,0,11,10,16.6667,0.0513174,0.00279126,0.659693,0.432114,0,6,0,0.27703,0,0.451978,0,0,0,0,0.541822,0.142058,0.434757,0,0,0,1.61335e-05,0,0.9869,0.650519,0.238955,0.000407094
900,90,3.75,33,5,15,13,21,12,0,0,10,9,25,0.0512315,0.0033665,0.646439,0.497974,0,6,0,0.281677,0,0.490659,0,0,0,0,0.535896,0.119887,0.432579,0,0,0,1.61115e-05,0,0.982555,0.64833,0.237865,0.000525157
