step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.259198,0.0137796,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,4,3,9,3,0,0,6,10,12.5,0.029496,0.000157856,0.454782,0.0499834,0,2,0,0.130618,0,0.0267037,0,0,0,0,0.296015,0.0521362,0.3574,0,0,0,0.000601162,0,0.999583,0.987894,0.241749,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000611923,0.581344,0.10227,0,2,0,0.14646,0,0.0831024,0,0,0,0,0.382939,0.134783,0.394601,0,0,0,0.000267214,0,0.998333,0.947627,0.252603,2.30885e-05
400,40,1.66667,12,5,4,3,9,3,0,0,8,10,12.5,0.0434103,0.0010367,0.675171,0.165522,0,4,0,0.158766,0,0.172636,0,0,0,0,0.443933,0.210638,0.41226,0,0,0,1.65694e-05,0,0.997083,0.877714,0.252675,5.86742e-05
500,50,2.08333,16,5,7,4,12,4,0,0,8,9,16.6667,0.0471499,0.001469,0.577672,0.225871,0,4,0,0.234099,0,0.259439,0,0,0,0,0.498556,0.192484,0.418686,0,0,0,1.62613e-05,0,0.995571,0.799357,0.24741,0.000117243
600,60,2.5,20,5,10,5,15,5,0,0,9,9,16.6667,0.0494939,0.00199323,0.547201,0.282734,0,4,0,0.281676,0,0.336744,0,0,0,0,0.532808,0.167393,0.420779,0,0,0,1.6169e-05,0,0.993039,0.729448,0.241257,0.000197544
700,70,2.91667,24,5,9,10,15,9,0,0,8,7,20.8333,0.0507932,0.00258934,0.553025,0.337417,0,6,0,0.302452,0,0.400754,0,0,0,0,0.550029,0.141082,0.421255,0,0,0,1.61328e-05,0,0.989676,0.670434,0.235546,0.000295499
800,80,3.33333,27,5,12,10,17,10,0,0,10,7,25,0.0513036,0.00358251,0.563385,0.39336,0,6,0,0.307182,0,0.451526,0,0,0,0,0.553597,0.118936,0.421111,0,0,0,1.6109e-05,0,0.984719,0.650612,0.233506,0.000405988
900,90,3.75,30,5,13,12,18,12,0,0,10,7,25,0.0512184,0.0047076,0.574413,0.450115,0,6,0,0.301496,0,0.490564,0,0,0,0,0.544274,0.0997918,0.422969,0,0,0,1.60966e-05,0,0.978736,0.648543,0.234042,0.000523947
1000,100,4.16667,37,5,15,17,22,15,0,0,9,4,29.1667,0.0506879,0.00608217,0.574663,0.507753,0,10,0,0.294531,0,0.519934,0,0,0,0,0.531633,0.0853014,0.500986,0,0,0,1.60862e-05,0,0.971409,0.64647,0.235179,0.000644948
1100,110,4.58333,41,5,15,21,23,18,0,0,9,2,29.1667,0.0498305,0.0074146,0.575992,0.565018,0,10,0,0.284848,0,0.541709,0,0,0,0,0.513788,0.074731,0.60379,0,0,0,1.60709e-05,0,0.96358,0.644398,0.236798,0.000765457
1200,120,5,46,5,16,25,25,21,0,0,5,7,33.3333,0.0487405,0.0088998,0.571799,0.622546,0,10,0,0.271744,0,0.557677,0,0,0,0,0.48919,0.0669937,0.62989,0,0,0,1.60584e-05,0,0.954751,0.642331,0.238659,0.000882874
1300,130,5.41667,49,5,19,25,26,23,0,0,3,9,33.3333,0.0474924,0.0104191,0.567563,0.679609,0,10,0,0.260757,0,0.569262,0,0,0,0,0.46588,0.063939,0.644935,0,0,0,1.60522e-05,0,0.945294,0.640274,0.240317,0.000995422
1400,140,5.83333,55,5,21,29,29,26,0,0,3,9,33.3333,0.0461448,0.0118403,0.559224,0.735905,0,10,0,0.251129,0,0.577573,0,0,0,0,0.442156,0.0561508,0.655102,0,0,0,1.60461e-05,0,0.935677,0.638228,0.242118,0.00110201
1500,150,6.25,59,5,23,31,30,29,0,0,2,9,33.3333,0.0447436,0.0131699,0.545722,0.791163,0,10,1,0.24203,0,0.583451,0,0,0,0,0.416546,0.0520082,0.662692,0,0,0,1.60403e-05,0,0.92595,0.636194,0.243928,0.00120209
1600,160,6.66667,65,5,25,35,31,34,0,0,1,10,41.6667,0.0433238,0.0156373,0.503139,0.844331,0,10,1,0.242694,0,0.587349,0,0,0,0,0.395391,0.0458475,0.66083,0,0,0,1.6035e-05,0,0.915355,0.634173,0.245677,0.00129545
1700,170,7.08333,71,5,24,42,34,37,0,0,0,9,45.8333,0.0419105,0.0221197,0.476048,0.892948,0,10,4,0.243753,0,0.589751,0,0,0,0,0.374606,0.0417836,0.65952,0,0,0,1.60312e-05,0,0.901913,0.632166,0.247265,0.001382
1800,180,7.5,77,5,27,45,38,39,0,0,0,9,45.8333,0.0405241,0.0283088,0.458839,0.939662,0,10,5,0.236283,0,0.591306,0,0,0,0,0.350381,0.0395955,0.659844,0,0,0,1.60277e-05,0,0.888364,0.630173,0.248745,0.00146209
1900,190,7.91667,83,5,23,55,39,43,1,0,0,10,45.8333,0.0391812,0.0340987,0.445544,0.984937,0,10,6,0.230527,0,0.592258,0,0,0,0,0.32851,0.0380869,0.65548,0,0,0,1.60243e-05,0,0.874806,0.628194,0.249953,0.00153632
2000,200,8.33333,88,5,24,59,43,42,3,0,0,10,45.8333,0.0378924,0.0409082,0.433085,1.0288,0,10,10,0.225906,0.0016625,0.592557,0,0,0,0,0.307375,0.034076,0.643118,0,0,0,1.60209e-05,0,0.860026,0.626229,0.251104,0.00160525
2100,210,8.75,88,5,22,61,40,44,4,0,0,10,50,0.0366639,0.0494117,0.41706,1.07135,0,10,10,0.220932,0.0035875,0.592249,0,0,0,0,0.285813,0.0307913,0.629894,0,0,0,1.60177e-05,0,0.843353,0.624277,0.252163,0.0016693
