step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.25711,0.0136947,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,8,8.33333,0.029496,5.08912e-05,0.453174,0.0496131,0,2,0,0.130619,0,0.0267037,0,0,0,0,0.296015,0.0381425,0.358283,0,0,0,0.000600032,0,0.999867,0.988738,0.242187,7.55031e-06
300,30,1.25,13,5,6,2,11,2,0,0,6,10,8.33333,0.0377695,0.000357109,0.579323,0.101739,0,2,0,0.146673,0,0.0831024,0,0,0,0,0.382939,0.102129,0.400941,0,0,0,1.66563e-05,0,0.999033,0.960806,0.256457,2.30885e-05
400,40,1.66667,14,5,6,3,11,3,0,0,8,10,12.5,0.0434103,0.000708269,0.670799,0.164778,0,4,0,0.159773,0,0.172636,0,0,0,0,0.443933,0.166362,0.427316,0,0,0,1.62741e-05,0,0.998029,0.911909,0.262117,5.86742e-05
500,50,2.08333,18,5,7,6,12,6,0,0,8,9,16.6667,0.0471497,0.00116806,0.598845,0.227588,0,4,0,0.212195,0,0.259287,0,0,0,0,0.493011,0.164684,0.442582,0,0,0,1.61629e-05,0,0.996494,0.854821,0.262515,0.000117232
600,60,2.5,22,5,9,8,15,7,0,0,8,9,20.8333,0.0494896,0.00181366,0.597804,0.287827,0,4,0,0.235394,0,0.335948,0,0,0,0,0.519084,0.151469,0.453662,0,0,0,1.61173e-05,0,0.99378,0.80535,0.262,0.000197289
700,70,2.91667,22,5,8,9,13,9,0,0,6,10,20.8333,0.0507809,0.00268426,0.609062,0.348363,0,6,0,0.246277,0,0.399399,0,0,0,0,0.532215,0.145434,0.461955,0,0,0,1.60769e-05,0,0.989875,0.763078,0.26109,0.00029467
800,80,3.33333,26,5,11,10,16,10,0,0,7,10,29.1667,0.0512806,0.00411731,0.587468,0.407495,0,6,0,0.257411,0,0.449657,0,0,0,0,0.536691,0.136003,0.467333,0,0,0,1.60578e-05,0,0.983891,0.726029,0.259536,0.000404255
900,90,3.75,33,5,15,13,20,13,0,0,7,8,29.1667,0.0511833,0.0055765,0.553339,0.463998,0,6,0,0.273489,0,0.488418,0,0,0,0,0.532418,0.122316,0.471278,0,0,0,1.60501e-05,0,0.97699,0.694569,0.257968,0.000521023
1000,100,4.16667,37,5,17,15,22,15,0,0,5,8,29.1667,0.0506445,0.00694155,0.551029,0.51934,0,10,0,0.276371,0,0.518152,0,0,0,0,0.523288,0.109315,0.548541,0,0,0,1.60451e-05,0,0.969591,0.667112,0.256265,0.000640944
1100,110,4.58333,39,5,15,19,20,19,0,0,4,10,33.3333,0.0497827,0.00834663,0.527392,0.573831,0,10,0,0.286292,0,0.540134,0,0,0,0,0.511563,0.0971272,0.646445,0,0,0,1.60419e-05,0,0.961437,0.644857,0.254428,0.000760592
1200,120,5,45,5,18,22,24,21,0,0,2,10,33.3333,0.0486906,0.00990158,0.481923,0.624427,0,10,0,0.300838,0,0.556294,0,0,0,0,0.496519,0.0845682,0.681437,0,0,0,1.60387e-05,0,0.952247,0.642888,0.254676,0.00087732
1300,130,5.41667,50,5,19,26,26,24,0,0,2,9,33.3333,0.0474427,0.0113562,0.454087,0.67125,0,10,0,0.312214,0,0.568183,0,0,0,0,0.481417,0.0740369,0.691757,0,0,0,1.60355e-05,0,0.942825,0.640923,0.255206,0.0009894
1400,140,5.83333,55,5,22,28,29,26,0,0,2,9,37.5,0.0460983,0.0132449,0.442291,0.715831,0,10,0,0.312752,0,0.576964,0,0,0,0,0.461787,0.0647417,0.694213,0,0,0,1.60323e-05,0,0.932898,0.638963,0.255899,0.00109586
1500,150,6.25,61,5,26,30,32,29,0,0,2,8,37.5,0.044704,0.0163247,0.446831,0.760264,0,10,1,0.297715,0,0.583434,0,0,0,0,0.43412,0.0561546,0.691934,0,0,0,1.60291e-05,0,0.921978,0.637008,0.256661,0.00119626
1600,160,6.66667,66,5,26,35,33,33,0,0,2,8,37.5,0.0432929,0.0192059,0.428856,0.803983,0,10,2,0.290817,0,0.587417,0,0,0,0,0.411831,0.0487232,0.687284,0,0,0,1.60259e-05,0,0.910962,0.63506,0.257493,0.00129026
1700,170,7.08333,70,5,26,39,34,36,0,0,1,8,45.8333,0.0418858,0.0228065,0.419716,0.846423,0,10,5,0.285617,0,0.589877,0,0,0,0,0.39042,0.0512927,0.684673,0,0,0,1.60227e-05,0,0.899316,0.633119,0.258189,0.00137733
1800,180,7.5,77,5,27,45,37,39,1,0,1,9,45.8333,0.0405053,0.0301747,0.400815,0.887437,0,10,5,0.278699,0,0.591575,0,0,0,0,0.367188,0.0531195,0.683472,0,0,0,1.60195e-05,0,0.884695,0.631184,0.258147,0.00145797
1900,190,7.91667,80,5,28,47,38,41,1,0,0,9,45.8333,0.0391679,0.0370657,0.396601,0.927335,0,10,6,0.267218,0,0.592682,0,0,0,0,0.342701,0.0520391,0.683352,0,0,0,1.60163e-05,0,0.86991,0.629257,0.258147,0.0015328
