step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.257078,0.0136918,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.029496,0.000262685,0.442705,0.048965,0,2,0,0.130618,0,0.0267037,0,0,0,0,0.296015,0.0469689,0.35689,0,0,0,0.000601258,0,0.999296,0.988015,0.241558,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000697986,0.566019,0.0999405,0,2,0,0.146533,0,0.0831024,0,0,0,0,0.382939,0.120404,0.395905,0,0,0,0.000329123,0,0.998079,0.952124,0.253574,2.30885e-05
400,40,1.66667,12,5,4,3,9,3,0,0,8,10,12.5,0.0434103,0.00111721,0.655536,0.161498,0,4,0,0.159081,0,0.172636,0,0,0,0,0.443933,0.187003,0.415641,0,0,0,1.69297e-05,0,0.996829,0.88714,0.25497,5.86742e-05
500,50,2.08333,16,5,8,3,13,3,0,0,9,10,16.6667,0.0471467,0.0016142,0.687361,0.228768,0,4,0,0.180681,0,0.25837,0,0,0,0,0.487297,0.220135,0.420291,0,0,0,1.65874e-05,0,0.995109,0.804458,0.248562,0.000117075
600,60,2.5,20,5,9,6,14,6,0,0,10,10,16.6667,0.0494749,0.00212906,0.69293,0.297917,0,4,0,0.198027,0,0.333976,0,0,0,0,0.511957,0.242558,0.414252,0,0,0,1.62221e-05,0,0.99261,0.71311,0.237012,0.000196406
700,70,2.91667,22,5,10,7,15,7,0,0,7,9,20.8333,0.050752,0.00271267,0.690078,0.367657,0,6,0,0.219244,0,0.397361,0,0,0,0,0.526677,0.234508,0.402545,0,0,0,1.61368e-05,0,0.989318,0.65274,0.226292,0.000292687
800,80,3.33333,27,5,13,9,18,9,0,0,9,10,20.8333,0.0512425,0.00352527,0.666834,0.435345,0,6,0,0.235415,0,0.447888,0,0,0,0,0.533337,0.22893,0.391309,0,0,0,1.61068e-05,0,0.984879,0.650714,0.221595,0.000401271
900,90,3.75,31,5,14,12,20,11,0,0,6,10,25,0.0511396,0.00449856,0.638207,0.500337,0,6,0,0.243909,0,0.486676,0,0,0,0,0.528252,0.219833,0.404442,0,0,0,1.60886e-05,0,0.979412,0.648638,0.226641,0.000517156
