step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,7,5,2,0,7,0,0,0,3,0,0,0.0173675,0,0.251429,0.0135148,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.83273e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,9,0,0.029496,0,0.427462,0.0478156,0,2,0,0.130651,0,0.0267037,0,0,0,0,0.296015,0.0163222,0.360014,0,0,0,3.09574e-05,0,1,0.992566,0.243262,1.86436e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.0377695,0,0.551762,0.0972717,0,2,0,0.147015,0,0.0831024,0,0,0,0,0.382939,0.0706667,0.408315,0,0,0,1.694e-05,0,1,0.975396,0.260866,5.70684e-07
400,40,1.66667,12,5,7,0,12,0,0,0,9,10,0,0.0434103,0,0.643749,0.157517,0,4,0,0.160808,0,0.172636,0,0,0,0,0.443933,0.133237,0.441464,0,0,0,1.64196e-05,0,1,0.939446,0.27053,1.45102e-06
500,50,2.08333,12,5,5,2,10,2,0,0,10,10,8.33333,0.0471473,0.000217095,0.644698,0.222094,0,4,0,0.185719,0,0.258511,0,0,0,0,0.487373,0.179299,0.458705,0,0,0,1.62544e-05,0,0.999328,0.883343,0.271816,2.89787e-06
600,60,2.5,16,5,8,3,13,3,0,0,9,10,12.5,0.049477,0.000621994,0.556791,0.283402,0,4,0,0.225495,0,0.334223,0,0,0,0,0.517542,0.196575,0.462531,0,0,0,1.61642e-05,0,0.997624,0.811871,0.266199,4.86673e-06
700,70,2.91667,16,5,7,4,12,4,0,0,9,10,16.6667,0.0507544,0.00112633,0.492305,0.334989,0,6,0,0.278451,0,0.397148,0,0,0,0,0.542439,0.178014,0.459966,0,0,0,1.61198e-05,0,0.994914,0.741131,0.2581,7.25732e-06
800,80,3.33333,16,5,7,4,12,4,0,0,11,10,16.6667,0.0512408,0.00167267,0.475317,0.383293,0,6,0,0.326141,0,0.447348,0,0,0,0,0.557858,0.155549,0.455611,0,0,0,1.60936e-05,0,0.991378,0.680155,0.25026,9.94925e-06
900,90,3.75,23,5,11,7,17,6,0,0,9,7,16.6667,0.0511344,0.00218376,0.437477,0.428434,0,6,0,0.356171,0,0.486318,0,0,0,0,0.559566,0.135757,0.469975,0,0,0,1.60787e-05,0,0.987474,0.648794,0.244907,1.28253e-05
