step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.255234,0.0136396,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,10,8.33333,0.029496,0.000106677,0.450323,0.0492584,0,2,0,0.13063,0,0.0267037,0,0,0,0,0.296015,0.0413796,0.358219,0,0,0,0.000611522,0,0.999717,0.989331,0.242221,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.0377695,0.000409295,0.579427,0.101261,0,2,0,0.146612,0,0.0831024,0,0,0,0,0.382939,0.120038,0.398212,0,0,0,0.000395118,0,0.998883,0.954317,0.254717,2.30885e-05
400,40,1.66667,14,5,6,3,11,3,0,0,7,10,12.5,0.0434103,0.000772603,0.670575,0.164284,0,4,0,0.159226,0,0.172636,0,0,0,0,0.443933,0.194834,0.418057,0,0,0,1.69406e-05,0,0.997838,0.889024,0.256125,5.86742e-05
500,50,2.08333,18,5,9,4,14,4,0,0,8,10,16.6667,0.0471467,0.00131011,0.674712,0.231598,0,4,0,0.180908,0,0.258371,0,0,0,0,0.487311,0.253509,0.418896,0,0,0,1.65889e-05,0,0.996067,0.797125,0.247271,0.000117075
600,60,2.5,20,5,9,6,14,6,0,0,10,10,20.8333,0.0494749,0.00189391,0.671203,0.298759,0,4,0,0.208926,0,0.33398,0,0,0,0,0.515012,0.253998,0.407701,0,0,0,1.63195e-05,0,0.993478,0.693629,0.232443,0.000196407
700,70,2.91667,22,5,11,6,16,6,0,0,8,9,25,0.0507503,0.00278595,0.645634,0.365321,0,6,0,0.233762,0,0.396799,0,0,0,0,0.532945,0.240057,0.392948,0,0,0,1.62092e-05,0,0.989586,0.65273,0.222452,0.000292578
800,80,3.33333,26,5,11,10,17,9,0,0,8,9,25,0.0512341,0.00396242,0.584905,0.426033,0,6,0,0.265305,0,0.446807,0,0,0,0,0.543555,0.228404,0.390236,0,0,0,1.61568e-05,0,0.984289,0.65066,0.22116,0.000400668
900,90,3.75,29,5,13,11,18,11,0,0,8,8,29.1667,0.0511234,0.0051161,0.559093,0.483667,0,6,0,0.28418,0,0.485477,0,0,0,0,0.541195,0.210042,0.403626,0,0,0,1.61242e-05,0,0.978304,0.648468,0.226297,0.000515871
