step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.257624,0.0137351,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,6,1,11,1,0,0,6,10,4.16667,0.029496,3.17811e-05,0.459916,0.0498641,0,2,0,0.130612,0,0.0267037,0,0,0,0,0.296015,0.0534584,0.357865,0,0,0,0.000596036,0,0.999917,0.987349,0.241881,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.0377695,0.000200425,0.597215,0.103379,0,2,0,0.146422,0,0.0831024,0,0,0,0,0.382939,0.136071,0.396084,0,0,0,0.000235388,0,0.999458,0.946253,0.253059,2.30885e-05
400,40,1.66667,13,5,5,3,10,3,0,0,8,10,12.5,0.0434103,0.000623131,0.680757,0.167792,0,4,0,0.158643,0,0.172636,0,0,0,0,0.443933,0.218879,0.412165,0,0,0,1.72221e-05,0,0.998288,0.87261,0.252127,5.86742e-05
500,50,2.08333,15,5,5,5,10,5,0,0,9,10,16.6667,0.0471468,0.00108212,0.683218,0.235902,0,4,0,0.197858,0,0.258385,0,0,0,0,0.492267,0.249869,0.411586,0,0,0,1.65354e-05,0,0.996778,0.777011,0.242335,0.000117077
600,60,2.5,18,5,7,6,12,6,0,0,10,8,16.6667,0.0494754,0.00163131,0.64841,0.303174,0,4,0,0.238656,0,0.334077,0,0,0,0,0.523783,0.262137,0.399591,0,0,0,1.63248e-05,0,0.994278,0.672758,0.227112,0.000196433
700,70,2.91667,19,5,8,6,13,6,0,0,8,9,20.8333,0.0507521,0.00218304,0.614607,0.366303,0,6,0,0.282462,0,0.397073,0,0,0,0,0.546747,0.264904,0.412952,0,0,0,1.61915e-05,0,0.991125,0.652681,0.218828,0.000292698
800,80,3.33333,22,5,7,10,14,8,0,0,9,8,20.8333,0.0512428,0.00302981,0.580531,0.425587,0,6,0,0.339324,0,0.448571,0,0,0,0,0.56118,0.236496,0.443698,0,0,0,1.61278e-05,0,0.986701,0.650561,0.221413,0.000401296
900,90,3.75,27,5,13,9,18,9,0,0,7,7,29.1667,0.0511537,0.00432118,0.55018,0.482228,0,6,0,0.360253,0,0.48918,0,0,0,0,0.56006,0.211193,0.451898,0,0,0,1.60984e-05,0,0.980444,0.648345,0.226482,0.000518218
