step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.258497,0.0137513,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,7,0,12,0,0,0,6,8,0,0.0293801,0,0.459268,0.049988,0,2,0,0.130613,0,0.0219913,0,0,0,0,0.118418,0.0387708,0.358372,0,0,0,0.000596827,0,1,0.98824,0.242173,6.16656e-06
300,30,1.25,12,5,4,3,10,2,0,0,6,10,8.33333,0.037503,0.000229297,0.595035,0.103311,0,2,0,0.146602,0,0.0499109,0,0,0,0,0.15321,0.11314,0.399649,0,0,0,0.000388037,0,0.999388,0.955849,0.255444,1.7775e-05
400,40,1.66667,13,5,5,3,10,3,0,0,8,10,12.5,0.0428088,0.000590259,0.688916,0.168109,0,4,0,0.159316,0,0.0919547,0,0,0,0,0.177678,0.180542,0.420699,0,0,0,1.68619e-05,0,0.998379,0.893695,0.257649,3.96704e-05
500,50,2.08333,14,5,5,4,10,4,0,0,8,10,12.5,0.0460618,0.00101643,0.68405,0.236636,0,4,0,0.210254,0,0.135029,0,0,0,0,0.198146,0.186251,0.42962,0,0,0,1.63959e-05,0,0.997129,0.820868,0.253935,7.23047e-05
600,60,2.5,18,5,7,6,12,6,0,0,10,10,16.6667,0.0478185,0.00152756,0.660657,0.304217,0,4,0,0.251079,0,0.175912,0,0,0,0,0.210931,0.200982,0.429223,0,0,0,1.62393e-05,0,0.995579,0.743199,0.246009,0.000114253
700,70,2.91667,21,5,10,6,15,6,0,0,7,10,20.8333,0.0484902,0.00241305,0.621911,0.368593,0,6,0,0.287117,0,0.21326,0,0,0,0,0.219729,0.200679,0.421184,0,0,0,1.6175e-05,0,0.993461,0.662962,0.23477,0.000163351
800,80,3.33333,24,5,10,9,15,9,0,0,10,10,20.8333,0.0483826,0.00324498,0.60638,0.429381,0,6,0,0.307044,0,0.246443,0,0,0,0,0.222752,0.175673,0.412835,0,0,0,1.61297e-05,0,0.991035,0.650759,0.23021,0.000217357
900,90,3.75,28,5,11,12,18,10,0,0,8,10,29.1667,0.0477232,0.00446039,0.59627,0.489536,0,6,0,0.309041,0,0.275292,0,0,0,0,0.21968,0.170524,0.406634,0,0,0,1.61078e-05,0,0.987634,0.648765,0.22753,0.000274241
1000,100,4.16667,33,5,16,12,21,12,0,0,4,9,29.1667,0.0466814,0.00589745,0.569344,0.547804,0,10,0,0.317155,0,0.299949,0,0,0,0,0.216089,0.157575,0.490032,0,0,0,1.60899e-05,0,0.983409,0.646765,0.230826,0.000332309
1100,110,4.58333,37,5,17,15,22,15,0,0,3,9,33.3333,0.0453836,0.00743654,0.555375,0.604027,0,10,0,0.316671,0,0.32077,0,0,0,0,0.209803,0.135673,0.578918,0,0,0,1.60721e-05,0,0.978515,0.64476,0.234425,0.000390227
1200,120,5,42,5,20,17,25,17,0,0,0,10,33.3333,0.0439241,0.00905019,0.516272,0.657765,0,10,0,0.327458,0,0.338206,0,0,0,0,0.203163,0.117163,0.589845,0,0,0,1.60583e-05,0,0.973004,0.642752,0.237431,0.000447014
1300,130,5.41667,47,5,20,22,28,19,0,0,0,9,33.3333,0.0423732,0.0105597,0.492732,0.707861,0,10,0,0.335409,0,0.352738,0,0,0,0,0.196518,0.0995961,0.589913,0,0,0,1.60522e-05,0,0.967233,0.640742,0.239966,0.000501992
1400,140,5.83333,54,5,24,25,30,24,0,0,0,8,33.3333,0.0407829,0.0119719,0.4821,0.756563,0,10,0,0.336927,0,0.364821,0,0,0,0,0.188808,0.0853597,0.608094,0,0,0,1.60463e-05,0,0.961249,0.638733,0.242091,0.000554738
1500,150,6.25,57,5,25,27,30,27,0,0,0,9,37.5,0.0391918,0.0136523,0.479466,0.804768,0,10,0,0.324673,0,0.374848,0,0,0,0,0.178433,0.0750636,0.600133,0,0,0,1.60409e-05,0,0.954939,0.636726,0.243847,0.00060502
