step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,6,1,12,0,0,0,3,0,0,0.0173349,0,0.259243,0.0137669,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,6,1,11,1,0,0,6,10,4.16667,0.0293801,0.00011398,0.455617,0.0497511,0,2,0,0.130642,0,0.0219913,0,0,0,0,0.296044,0.0331838,0.35876,0,0,0,0.000621586,0,0.999696,0.990843,0.242588,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.037539,0.000363134,0.595412,0.103024,0,2,0,0.146718,0,0.0764057,0,0,0,0,0.38302,0.113642,0.40014,0,0,0,1.69526e-05,0,0.999008,0.958695,0.255926,1.91835e-05
400,40,1.66667,15,5,6,4,10,5,0,0,9,10,16.6667,0.0430491,0.000779317,0.685647,0.167692,0,4,0,0.159598,0,0.164607,0,0,0,0,0.444097,0.194627,0.423333,0,0,0,1.61151e-05,0,0.997829,0.902586,0.259592,5.07042e-05
500,50,2.08333,17,5,5,7,11,6,0,0,8,10,20.8333,0.0466526,0.00147241,0.612661,0.232107,0,4,0,0.207329,0,0.250256,0,0,0,0,0.492686,0.219011,0.436089,0,0,0,1.60628e-05,0,0.995856,0.841457,0.258581,0.000103581
600,60,2.5,19,5,6,8,11,8,0,0,9,9,20.8333,0.0488566,0.00236502,0.592412,0.292315,0,4,0,0.248,0,0.326093,0,0,0,0,0.523719,0.227245,0.443683,0,0,0,1.60579e-05,0,0.992816,0.784336,0.255907,0.000176263
700,70,2.91667,23,5,9,9,14,9,0,0,8,10,25,0.0500174,0.00327575,0.601199,0.352211,0,6,0,0.268605,0,0.389041,0,0,0,0,0.539249,0.225064,0.448379,0,0,0,1.60547e-05,0,0.988899,0.733856,0.252737,0.000264747
800,80,3.33333,27,5,11,11,17,10,0,0,8,10,25,0.0503955,0.00442063,0.567678,0.410857,0,6,0,0.286957,0,0.43898,0,0,0,0,0.545681,0.215391,0.450729,0,0,0,1.60515e-05,0,0.983693,0.689674,0.249259,0.000364212
900,90,3.75,30,5,11,14,18,12,0,0,8,10,25,0.0501873,0.00549165,0.544242,0.465661,0,6,0,0.301777,0,0.477337,0,0,0,0,0.540972,0.205107,0.452028,0,0,0,1.60483e-05,0,0.977943,0.652299,0.246041,0.000469951
1000,100,4.16667,33,5,12,16,19,14,0,0,8,9,25,0.0495171,0.00649357,0.543273,0.520139,0,10,0,0.329168,0,0.489792,0,0,0,0,0.532854,0.175295,0.527997,0,0,0,1.60451e-05,0,0.97185,0.646816,0.246018,0.000575779
1100,110,4.58333,39,5,16,18,22,17,0,0,6,8,25,0.0484429,0.00743085,0.541485,0.574785,0,10,0,0.336893,0,0.489792,0,0,0,0,0.517701,0.151144,0.644207,0,0,0,1.60419e-05,0,0.965726,0.644839,0.246806,0.000673112
1200,120,5,43,5,18,20,23,20,0,0,6,7,29.1667,0.0470932,0.00849136,0.529322,0.628228,0,10,0,0.342277,0,0.489793,0,0,0,0,0.499723,0.130165,0.678303,0,0,0,1.60387e-05,0,0.9591,0.642864,0.247869,0.000761004
1300,130,5.41667,49,5,19,25,26,23,0,0,6,6,33.3333,0.045573,0.00975533,0.524894,0.681089,0,10,0,0.334139,0,0.489793,0,0,0,0,0.479039,0.112422,0.685933,0,0,0,1.60355e-05,0,0.95172,0.640894,0.249089,0.000839894
1400,140,5.83333,51,5,16,30,24,27,0,0,4,5,37.5,0.0439603,0.0114846,0.489111,0.731523,0,10,0,0.329622,0,0.489793,0,0,0,0,0.459347,0.0981668,0.694783,0,0,0,1.60323e-05,0,0.943411,0.638929,0.250379,0.000910557
1500,150,6.25,56,5,14,37,27,29,0,0,4,4,37.5,0.0423123,0.014678,0.473787,0.779451,0,10,1,0.320263,0,0.489793,0,0,0,0,0.435138,0.0852129,0.696765,0,0,0,1.60291e-05,0,0.934224,0.63697,0.25169,0.000973907
1600,160,6.66667,58,5,13,40,28,30,0,0,3,4,50,0.0406704,0.0211355,0.447388,0.825903,0,10,2,0.312296,0,0.489793,0,0,0,0,0.413032,0.0737999,0.694872,0,0,0,1.60259e-05,0,0.923128,0.635017,0.252915,0.00103089
1700,170,7.08333,60,5,12,43,27,33,0,0,3,4,50,0.0390641,0.0292291,0.423567,0.869241,0,10,6,0.303125,0,0.489793,0,0,0,0,0.390341,0.0640656,0.694798,0,0,0,1.60227e-05,0,0.910879,0.633072,0.254082,0.0010824
1800,180,7.5,61,5,14,42,29,32,0,0,2,5,50,0.0375138,0.0368004,0.401095,0.910676,0,10,6,0.288129,0,0.489793,0,0,0,0,0.364201,0.0560911,0.696901,0,0,0,1.60195e-05,0,0.89863,0.631134,0.255226,0.00112926
1900,190,7.91667,63,5,13,45,28,34,1,0,1,6,50,0.0360329,0.0448974,0.365455,0.949121,0,10,6,0.282808,0.0049,0.489793,0,0,0,0,0.344574,0.0492497,0.693712,0,0,0,1.60163e-05,0,0.885657,0.629204,0.256302,0.00117222
2000,200,8.33333,67,5,16,46,31,33,3,0,1,6,50,0.0346299,0.05272,0.351535,0.984982,0,10,10,0.279226,0.01855,0.489793,0,0,0,0,0.324704,0.0434479,0.679551,0,0,0,5.71091e-05,0,0.872388,0.627282,0.257311,0.00121191
2100,210,8.75,70,5,17,48,31,35,4,0,0,5,50,0.0333092,0.061128,0.341191,1.01948,0,10,10,0.274874,0.0370125,0.489793,0,0,0,0,0.303923,0.038679,0.663966,0,0,0,0.000275239,0,0.858139,0.625369,0.258237,0.00124888
2200,220,9.16667,73,5,18,50,31,37,5,0,0,5,54.1667,0.0320724,0.0731316,0.332391,1.05325,0,10,10,0.271128,0.057925,0.489793,0,0,0,0,0.285241,0.0351467,0.649854,0,0,0,0.000550497,0,0.842002,0.623463,0.259052,0.0012836
2300,230,9.58333,76,5,16,55,31,39,6,0,0,5,54.1667,0.0309193,0.0878154,0.321511,1.08591,0,10,10,0.267219,0.082425,0.489793,0,0,0,0,0.267417,0.0325932,0.637037,0,0,0,0.00832266,0,0.824477,0.621566,0.259754,0.00131645
2400,240,10,81,5,16,60,33,41,7,0,0,4,54.1667,0.0298478,0.10154,0.309908,1.11746,0,10,10,0.262839,0.119963,0.489793,0,0,0,0,0.249345,0.0316055,0.625409,0,0,0,0.0419397,0,0.806106,0.619677,0.260359,0.00134776
2500,250,10.4167,82,5,14,63,32,43,7,0,0,4,58.3333,0.0288552,0.114273,0.300067,1.148,0,10,10,0.258803,0.159687,0.489792,0,0,0,0,0.23335,0.0311345,0.614824,0,0,0,0.106356,0,0.787551,0.617796,0.260864,0.00137778
2600,260,10.8333,83,5,13,65,32,43,8,0,0,4,66.6667,0.0279377,0.137333,0.283509,1.17724,0,10,10,0.254277,0.200462,0.489745,0,0,0,0,0.218244,0.030832,0.605045,0,0,0,0.202157,0,0.76563,0.615923,0.261223,0.00140672
2700,270,11.25,85,5,15,65,34,41,10,0,0,4,66.6667,0.0270908,0.166261,0.263218,1.20453,0,10,10,0.248752,0.245437,0.489614,0,0,0,0,0.203172,0.0307729,0.596029,0,0,0,0.331523,0,0.741147,0.614058,0.261464,0.00143467
2800,280,11.6667,88,5,17,66,36,39,13,0,0,4,66.6667,0.0263094,0.191614,0.249416,1.23007,0,10,10,0.243421,0.2919,0.48934,0,0,0,0,0.189062,0.0309297,0.587795,0,0,0,0.496337,0,0.716683,0.6122,0.261635,0.00146168
2900,290,12.0833,89,5,14,70,33,42,14,0,0,6,66.6667,0.0255883,0.213834,0.243744,1.25469,0,10,10,0.236262,0.338888,0.48891,0,0,0,0,0.173363,0.0325803,0.580241,0,0,0,0.697483,0,0.692255,0.610349,0.261731,0.00148771
3000,300,12.5,91,5,11,75,34,42,15,0,0,7,66.6667,0.0249223,0.233311,0.23732,1.2788,0,10,10,0.228623,0.384475,0.488351,0,0,0,0,0.158545,0.0383846,0.572555,0,0,0,0.799493,0,0.667877,0.608506,0.26146,0.00151274
3100,310,12.9167,93,5,11,77,34,43,16,0,0,8,66.6667,0.0243069,0.250386,0.230958,1.30225,0,10,10,0.222362,0.427963,0.487684,0,0,0,0,0.145761,0.039836,0.56517,0,0,0,0.79949,0,0.643561,0.606669,0.261027,0.00153674
3200,320,13.3333,93,5,12,76,34,42,16,1,0,9,70.8333,0.023738,0.265728,0.22488,1.32503,0,10,10,0.216738,0.480988,0.486926,0,0,0,0,0.134036,0.0413422,0.558305,0,0,0,0.799464,0,0.619226,0.604839,0.260544,0.00155974
3300,330,13.75,93,5,12,76,33,42,17,1,0,9,70.8333,0.0232114,0.290034,0.214509,1.34698,0,10,10,0.210648,0.534625,0.486028,0,0,0,0,0.122749,0.0412594,0.551993,0,0,0,0.799439,0,0.592079,0.603015,0.260051,0.0015817
3400,340,14.1667,94,5,10,79,35,41,17,1,0,9,70.8333,0.0227229,0.310697,0.206892,1.36806,0,10,10,0.205868,0.587125,0.484963,0,0,0,0,0.112962,0.0414741,0.546252,0,0,0,0.799422,0,0.565045,0.601197,0.259576,0.00160255
3500,350,14.5833,95,5,11,79,33,43,17,2,0,9,75,0.0222687,0.328902,0.199899,1.38838,0,10,10,0.201603,0.639363,0.483723,0,0,0,0,0.104088,0.0417627,0.54099,0,0,0,0.799407,0,0.537989,0.599385,0.259102,0.00162223
