step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.257078,0.0136918,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,6,1,11,1,0,0,6,9,4.16667,0.0293801,8.63883e-05,0.44761,0.0492944,0,2,0,0.130644,0,0.0219913,0,0,0,0,0.296044,0.0286309,0.358998,0,0,0,0.000623147,0,0.999771,0.991082,0.242707,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.037539,0.000366244,0.581057,0.101291,0,2,0,0.14678,0,0.0764057,0,0,0,0,0.38302,0.104411,0.40132,0,0,0,0.000537477,0,0.999004,0.96176,0.256704,1.91835e-05
400,40,1.66667,14,5,5,4,10,4,0,0,9,10,16.6667,0.0430491,0.0008376,0.66663,0.164273,0,4,0,0.159735,0,0.164607,0,0,0,0,0.444097,0.178168,0.423034,0,0,0,1.69815e-05,0,0.997675,0.902267,0.25944,5.07042e-05
500,50,2.08333,15,5,5,5,10,5,0,0,9,10,20.8333,0.04665,0.00142158,0.560363,0.223058,0,4,0,0.236116,0,0.249522,0,0,0,0,0.502396,0.165216,0.432297,0,0,0,1.66797e-05,0,0.995844,0.831761,0.256095,0.000103448
600,60,2.5,19,5,9,5,14,5,0,0,9,8,20.8333,0.0488457,0.00231748,0.49065,0.27556,0,4,0,0.289048,0,0.324771,0,0,0,0,0.537082,0.14488,0.437164,0,0,0,1.64066e-05,0,0.992821,0.768283,0.251694,0.000175627
700,70,2.91667,22,5,9,8,14,8,0,0,9,8,20.8333,0.049997,0.00315557,0.493463,0.324646,0,6,0,0.312556,0,0.387547,0,0,0,0,0.553996,0.12266,0.440248,0,0,0,1.62636e-05,0,0.989085,0.714465,0.247546,0.000263397
800,80,3.33333,25,5,7,13,15,10,0,0,10,10,20.8333,0.0503677,0.0039396,0.511048,0.375387,0,6,0,0.336119,0,0.437595,0,0,0,0,0.561806,0.10536,0.442088,0,0,0,1.62077e-05,0,0.984767,0.6692,0.243755,0.000362123
900,90,3.75,31,5,14,12,19,12,0,0,8,10,25,0.0501554,0.00489715,0.502039,0.425883,0,6,0,0.373519,0,0.476254,0,0,0,0,0.565942,0.098909,0.482713,0,0,0,1.61585e-05,0,0.979406,0.648789,0.241695,0.000467246
1000,100,4.16667,33,5,12,16,20,13,0,0,8,10,25,0.0494902,0.00593743,0.49461,0.475776,0,10,0,0.388932,0,0.489792,0,0,0,0,0.561477,0.0858061,0.579886,0,0,0,1.61324e-05,0,0.973312,0.646807,0.241888,0.000573124
1100,110,4.58333,42,5,20,17,25,17,0,0,6,9,29.1667,0.0484209,0.00694857,0.482896,0.524706,0,10,0,0.397195,0,0.489792,0,0,0,0,0.551746,0.0763113,0.6521,0,0,0,1.60963e-05,0,0.967085,0.644826,0.242676,0.000670603
1200,120,5,46,5,20,21,26,20,0,0,4,9,33.3333,0.047075,0.00844188,0.455507,0.571622,0,10,0,0.398158,0,0.489792,0,0,0,0,0.533891,0.0678207,0.672982,0,0,0,1.60727e-05,0,0.959347,0.642848,0.243757,0.000758654
1300,130,5.41667,54,5,25,24,30,24,0,0,4,9,33.3333,0.045558,0.00999068,0.459644,0.617186,0,10,0,0.382529,0,0.489793,0,0,0,0,0.508939,0.0654058,0.679631,0,0,0,1.60586e-05,0,0.951181,0.640873,0.245056,0.000837706
1400,140,5.83333,57,5,25,27,30,27,0,0,4,9,37.5,0.0439478,0.0132092,0.459335,0.663017,0,10,0,0.360872,0,0.489793,0,0,0,0,0.480751,0.066635,0.682699,0,0,0,1.60473e-05,0,0.942035,0.638904,0.245949,0.000908525
1500,150,6.25,64,5,28,31,35,29,0,0,1,9,37.5,0.0423018,0.0162913,0.443361,0.707831,0,10,1,0.342212,0,0.489793,0,0,0,0,0.450456,0.0590001,0.68452,0,0,0,1.60382e-05,0,0.932848,0.636939,0.246986,0.000972022
1600,160,6.66667,70,5,27,38,36,34,0,0,1,9,41.6667,0.0406616,0.0199813,0.443632,0.752333,0,10,2,0.32265,0.001125,0.489793,0,0,0,0,0.422035,0.0528737,0.686205,0,0,0,1.6032e-05,0,0.923222,0.634981,0.248188,0.00102914
1700,170,7.08333,74,5,27,42,37,37,0,0,0,8,45.8333,0.0390566,0.0244675,0.435943,0.796345,0,10,4,0.309785,0.01275,0.489793,0,0,0,0,0.394926,0.0497658,0.678742,0,0,0,1.64879e-05,0,0.913014,0.63303,0.249421,0.00108077
1800,180,7.5,81,5,20,56,41,40,0,0,0,10,45.8333,0.0375074,0.0305051,0.423128,0.839281,0,10,4,0.296965,0.02775,0.489793,0,0,0,0,0.367072,0.0503197,0.667064,0,0,0,0.00023158,0,0.901786,0.631085,0.250447,0.00112775
1900,190,7.91667,87,5,22,60,44,42,1,0,0,10,50,0.0360275,0.0376358,0.408135,0.8809,0,10,5,0.28594,0.04275,0.489793,0,0,0,0,0.342252,0.0467923,0.6527,0,0,0,0.000502711,0,0.889741,0.629148,0.251347,0.00117081
2000,200,8.33333,88,5,21,62,43,41,4,0,0,9,50,0.0346252,0.0465351,0.394325,0.920959,0,10,10,0.279374,0.0681,0.489793,0,0,0,0,0.318651,0.0443201,0.638201,0,0,0,0.00601255,0,0.875982,0.627219,0.252268,0.0012106
2100,210,8.75,91,5,23,63,41,43,7,0,0,10,50,0.033305,0.0559036,0.380391,0.959678,0,10,10,0.272659,0.09825,0.489793,0,0,0,0,0.294906,0.0459895,0.625118,0,0,0,0.0329371,0,0.861223,0.625298,0.253099,0.00124766
2200,220,9.16667,98,5,25,68,44,46,8,0,0,10,58.3333,0.0320688,0.0678141,0.365509,0.997053,0,10,10,0.268182,0.135,0.489793,0,0,0,0,0.27399,0.0447736,0.613109,0,0,0,0.0839352,0,0.845137,0.623384,0.253764,0.00128245
2300,230,9.58333,102,5,28,69,47,45,10,0,0,10,62.5,0.0309161,0.0899725,0.345207,1.03253,0,10,10,0.264612,0.179625,0.489793,0,0,0,0,0.254452,0.0447253,0.602258,0,0,0,0.165432,0,0.825684,0.621478,0.254355,0.00131537
2400,240,10,107,5,27,75,48,49,10,0,0,10,62.5,0.029845,0.116358,0.321078,1.06581,0,10,10,0.259133,0.224625,0.489793,0,0,0,0,0.23514,0.0445767,0.592455,0,0,0,0.279776,0,0.804251,0.61958,0.254878,0.00134673
2500,250,10.4167,113,5,27,81,50,49,14,0,0,10,62.5,0.0288526,0.139573,0.30123,1.09692,0,10,10,0.254228,0.26865,0.489793,0,0,0,0,0.218329,0.0442697,0.583647,0,0,0,0.427352,0,0.782818,0.617689,0.255359,0.00137681
2600,260,10.8333,120,5,25,90,51,51,18,0,0,10,62.5,0.0279355,0.160497,0.283678,1.12612,0,10,10,0.249239,0.31185,0.489784,0,0,0,0,0.202888,0.0436672,0.575735,0,0,0,0.607761,0,0.760937,0.615806,0.2558,0.00140581
2700,270,11.25,121,5,23,93,49,53,19,0,0,8,62.5,0.027089,0.179451,0.26668,1.1536,0,10,10,0.243513,0.355875,0.489632,0,0,0,0,0.187919,0.0428564,0.568628,0,0,0,0.799473,0,0.738491,0.613929,0.256203,0.00143384
2800,280,11.6667,126,5,20,101,49,57,19,1,0,10,66.6667,0.0263075,0.197788,0.25418,1.1797,0,10,10,0.238737,0.399675,0.489257,0,0,0,0,0.174821,0.0467593,0.561883,0,0,0,0.799457,0,0.71564,0.61206,0.256425,0.00146085
2900,290,12.0833,128,5,22,101,49,57,20,2,0,9,70.8333,0.0255852,0.229184,0.235285,1.20413,0,10,10,0.234308,0.449325,0.488698,0,0,0,0,0.162579,0.0460974,0.555475,0,0,0,0.799432,0,0.688541,0.610198,0.256486,0.00148676
3000,300,12.5,132,5,21,106,50,57,23,2,0,8,70.8333,0.0249172,0.257279,0.218603,1.22678,0,10,10,0.22886,0.498375,0.487986,0,0,0,0,0.150473,0.0453099,0.54975,0,0,0,0.799412,0,0.661148,0.608342,0.256553,0.00151153
3100,310,12.9167,132,5,21,106,50,54,21,7,0,8,75,0.0242988,0.290031,0.203223,1.2479,0,10,10,0.224323,0.54705,0.487148,0,0,0,0,0.139794,0.0448047,0.544542,0,0,0,0.799398,0,0.631567,0.606494,0.256587,0.00153515
3200,320,13.3333,137,5,22,110,51,56,21,9,0,7,79.1667,0.0237259,0.327106,0.187245,1.26742,0,10,10,0.21991,0.5952,0.4862,0,0,0,0,0.129881,0.0442251,0.539764,0,0,0,0.799387,0,0.599614,0.604652,0.256573,0.0015576
3300,330,13.75,137,5,23,109,50,58,20,9,0,7,79.1667,0.0231947,0.362874,0.171421,1.28532,0,10,10,0.21479,0.643275,0.485161,0,0,0,0,0.120219,0.0433887,0.5354,0,0,0,0.799377,0,0.566492,0.602817,0.256529,0.00157891
3400,340,14.1667,138,5,21,112,49,60,20,9,0,7,100,0.0227016,0.39881,0.157068,1.30179,0,10,10,0.210728,0.691575,0.48404,0,0,0,0,0.111822,0.0427665,0.531333,0,0,0,0.799369,0,0.532027,0.600989,0.256424,0.00159908
3500,350,14.5833,0,0,0,0,0,0,0,0,0,8,100,0.022275,0.44074,0.132087,1.31613,0,9,9,0.206867,0.73995,0.489335,0,0,0,0,0.104095,0.0522884,0.521895,0,0,0,0.79936,0,0.459357,0.599168,0.254009,0.00162252
3600,360,15,0,0,0,0,0,0,0,0,0,8,100,0.0219062,0.475062,0.114099,1.32835,0,9,9,0.202384,0.78855,0.489793,0,0,0,0,0.0965691,0.0669354,0.511873,0,0,0,0.79935,0,0.385877,0.597353,0.251214,0.00164865
3700,370,15.4167,0,0,0,0,0,0,0,0,0,8,100,0.0215666,0.503157,0.101839,1.33914,0,9,9,0.198872,0.836925,0.489793,0,0,0,0,0.0899165,0.0880286,0.500517,0,0,0,0.799341,0,0.312383,0.595545,0.247754,0.00167404
3800,380,15.8333,0,0,0,0,0,0,0,0,0,8,100,0.0212539,0.526154,0.0908444,1.34874,0,8,8,0.195516,0.88425,0.489792,0,0,0,0,0.0837115,0.106037,0.488142,0,0,0,0.799332,0,0.23889,0.593744,0.243767,0.00169873
3900,390,16.25,0,0,0,0,0,0,0,0,0,5,100,0.0209662,0.544979,0.0839705,1.35749,0,8,8,0.191529,0.930675,0.489792,0,0,0,0,0.077563,0.13287,0.480679,0,0,0,0.799322,0,0.180961,0.591947,0.241636,0.00172283
4000,400,16.6667,0,0,0,0,0,0,0,0,0,6,100,0.0207018,0.560389,0.0775185,1.36554,0,8,8,0.188467,0.9765,0.489792,0,0,0,0,0.0719903,0.157498,0.47713,0,0,0,0.799313,0,0.131967,0.590155,0.240973,0.00174638
4100,410,17.0833,0,0,0,0,0,0,0,0,0,5,100,0.0204587,0.573003,0.0711242,1.37295,0,6,6,0.185537,1.01453,0.489792,0,0,0,0,0.0666964,0.1778,0.473791,0,0,0,0.799319,0,0.082973,0.588367,0.240305,0.00176945
4200,420,17.5,0,0,0,0,0,0,0,0,0,5,100,0.0202354,0.583328,0.0572506,1.37937,0,6,6,0.196649,1.04715,0.489792,0,0,0,0,0.0653589,0.182598,0.470641,0,0,0,0.799334,0,0.0339798,0.586581,0.239632,0.00179206
4300,430,17.9167,0,0,0,0,0,0,0,0,0,3,100,0.0200303,0.59178,0.0506474,1.38479,0,6,6,0.205915,1.0794,0.489792,0,0,0,0,0.0637204,0.176799,0.467663,0,0,0,0.799351,0,9.04459e-07,0.584798,0.238955,0.00181425
4400,440,18.3333,0,0,0,0,0,0,0,0,0,3,100,0.0198419,0.598698,0.0507201,1.38987,0,5,5,0.199903,1.11008,0.489792,0,0,0,0,0.0579441,0.177585,0.464839,0,0,0,0.799367,0,9.04459e-07,0.583016,0.238275,0.00183604
4500,450,18.75,0,0,0,0,0,0,0,0,0,3,100,0.0196688,0.604361,0.0485728,1.39485,0,5,5,0.193697,1.13775,0.489792,0,0,0,0,0.05246,0.17759,0.462155,0,0,0,0.799386,0,9.04459e-07,0.581236,0.237591,0.00185745
4600,460,19.1667,0,0,0,0,0,0,0,0,0,3,100,0.0195097,0.608997,0.0456529,1.39957,0,5,5,0.188894,1.16543,0.489791,0,0,0,0,0.0476814,0.178389,0.459599,0,0,0,0.799404,0,9.04459e-07,0.579457,0.236904,0.00187848
