step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.257078,0.0136918,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.0293801,9.26675e-05,0.449184,0.0493383,0,2,0,0.130636,0,0.0219913,0,0,0,0,0.118418,0.0322602,0.358698,0,0,0,0.000616293,0,0.999754,0.990406,0.24252,6.16656e-06
300,30,1.25,13,5,6,2,11,2,0,0,6,10,8.33333,0.037503,0.00039619,0.58184,0.101432,0,2,0,0.146697,0,0.0499109,0,0,0,0,0.15321,0.118777,0.399392,0,0,0,0.000467404,0,0.998921,0.957143,0.255471,1.7775e-05
400,40,1.66667,14,5,5,4,10,4,0,0,8,10,12.5,0.0428088,0.000778823,0.671447,0.164645,0,4,0,0.159407,0,0.0919547,0,0,0,0,0.177678,0.190374,0.419443,0,0,0,1.69553e-05,0,0.997825,0.892483,0.257025,3.96704e-05
500,50,2.08333,15,5,6,4,11,4,0,0,8,10,12.5,0.0460614,0.00119283,0.641028,0.230231,0,4,0,0.221543,0,0.134928,0,0,0,0,0.199609,0.205792,0.425071,0,0,0,1.66296e-05,0,0.996575,0.810963,0.251125,7.22847e-05
600,60,2.5,18,5,7,6,12,6,0,0,9,10,16.6667,0.047817,0.00165879,0.599132,0.292354,0,4,0,0.272577,0,0.175751,0,0,0,0,0.21365,0.204788,0.422475,0,0,0,1.63626e-05,0,0.995117,0.727556,0.241746,0.000114175
700,70,2.91667,21,5,9,7,14,7,0,0,8,10,16.6667,0.0484877,0.00217078,0.59859,0.352335,0,6,0,0.29305,0,0.213094,0,0,0,0,0.220604,0.190223,0.41469,0,0,0,1.62519e-05,0,0.99342,0.652533,0.231129,0.000163203
800,80,3.33333,24,5,10,9,15,9,0,0,11,8,20.8333,0.0483793,0.00289576,0.582185,0.41135,0,6,0,0.308938,0,0.24629,0,0,0,0,0.223746,0.173297,0.407332,0,0,0,1.61809e-05,0,0.991153,0.650393,0.227972,0.000217144
900,90,3.75,27,5,11,11,17,10,0,0,8,10,25,0.0477194,0.00378352,0.575027,0.469673,0,6,0,0.312756,0,0.275152,0,0,0,0,0.220864,0.151042,0.40454,0,0,0,1.61523e-05,0,0.98828,0.64822,0.226638,0.000273973
1000,100,4.16667,31,5,14,12,19,12,0,0,6,9,25,0.0466773,0.00489564,0.565761,0.526649,0,10,0,0.317007,0,0.299811,0,0,0,0,0.216574,0.129445,0.490541,0,0,0,1.61275e-05,0,0.98466,0.646017,0.230956,0.000331993
1100,110,4.58333,37,5,17,15,23,14,0,0,4,9,25,0.0453793,0.00593601,0.558919,0.58288,0,10,0,0.313394,0,0.320614,0,0,0,0,0.209999,0.112419,0.607167,0,0,0,1.60952e-05,0,0.980762,0.6438,0.234599,0.000389862
