step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,9,5,4,0,9,0,0,0,3,0,0,0.0173349,0,0.253158,0.0135826,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.32362e-08
200,20,0.833333,11,5,6,0,11,0,0,0,6,10,0,0.0293801,0,0.438188,0.0484735,0,2,0,0.130599,0,0.0219913,0,0,0,0,0.296044,0.0495813,0.357852,0,0,0,0.000584779,0,1,0.986872,0.241828,1.5227e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.037539,0,0.565747,0.0992981,0,2,0,0.146416,0,0.0764057,0,0,0,0,0.38302,0.140111,0.397224,0,0,0,1.72498e-05,0,1,0.946657,0.253555,4.74151e-07
400,40,1.66667,12,5,7,0,12,0,0,0,9,10,0,0.0430491,0,0.65408,0.160757,0,4,0,0.158689,0,0.164607,0,0,0,0,0.444097,0.227207,0.416429,0,0,0,1.64203e-05,0,1,0.875654,0.254137,1.25379e-06
500,50,2.08333,12,5,4,3,9,3,0,0,11,10,8.33333,0.0466511,0.000291498,0.601196,0.223407,0,4,0,0.195194,0,0.249766,0,0,0,0,0.491242,0.261793,0.417777,0,0,0,1.62064e-05,0,0.999147,0.782682,0.245379,2.56094e-06
600,60,2.5,13,5,4,4,9,4,0,0,10,10,12.5,0.048849,0.000732449,0.561606,0.28107,0,4,0,0.251538,0,0.325171,0,0,0,0,0.525946,0.246484,0.408958,0,0,0,1.6138e-05,0,0.997343,0.684701,0.232053,4.35332e-06
700,70,2.91667,15,5,6,4,11,4,0,0,10,10,12.5,0.0500074,0.00114945,0.49872,0.334634,0,6,0,0.295514,0,0.388993,0,0,0,0,0.548727,0.217156,0.399413,0,0,0,1.61129e-05,0,0.995086,0.652739,0.225039,6.54316e-06
800,80,3.33333,16,5,6,5,11,5,0,0,13,10,16.6667,0.0503909,0.0016928,0.491236,0.384003,0,6,0,0.323151,0,0.439717,0,0,0,0,0.559402,0.183426,0.393157,0,0,0,1.60907e-05,0,0.991612,0.650747,0.222337,9.02026e-06
900,90,3.75,20,5,10,5,15,5,0,0,10,8,16.6667,0.0501925,0.00220259,0.467348,0.43237,0,6,0,0.34063,0,0.478602,0,0,0,0,0.557579,0.158752,0.405356,0,0,0,1.60801e-05,0,0.987757,0.64875,0.227018,1.16669e-05
1000,100,4.16667,25,5,14,6,19,6,0,0,8,7,16.6667,0.0495244,0.00267949,0.453987,0.47839,0,10,0,0.356242,0,0.489792,0,0,0,0,0.551604,0.145747,0.490835,0,0,0,1.60703e-05,0,0.983688,0.64675,0.231569,1.43091e-05
1100,110,4.58333,28,5,16,7,22,6,0,0,7,8,16.6667,0.0484487,0.00312563,0.457298,0.524023,0,10,0,0.353835,0,0.489792,0,0,0,0,0.534943,0.134024,0.595093,0,0,0,1.606e-05,0,0.979605,0.644749,0.235402,1.67388e-05
1200,120,5,31,5,19,7,24,7,0,0,6,6,16.6667,0.0470978,0.00354298,0.451605,0.569413,0,10,0,0.346238,0,0.489793,0,0,0,0,0.512719,0.11557,0.616011,0,0,0,1.6053e-05,0,0.975521,0.642747,0.238616,1.89377e-05
1300,130,5.41667,38,5,25,8,30,8,0,0,6,2,16.6667,0.0455768,0.00393341,0.455626,0.614663,0,10,0,0.327395,0,0.489793,0,0,0,0,0.48672,0.098984,0.625694,0,0,0,1.60473e-05,0,0.971438,0.640746,0.241299,2.09157e-05
1400,140,5.83333,45,5,28,12,33,12,0,0,5,8,25,0.0439634,0.00456149,0.465072,0.660783,0,10,0,0.307938,0,0.489793,0,0,0,0,0.458705,0.110008,0.6463,0,0,0,1.60431e-05,0,0.96664,0.638749,0.243478,2.26911e-05
1500,150,6.25,48,5,28,15,33,15,0,0,1,10,25,0.0423148,0.00562342,0.456358,0.706949,0,10,0,0.289653,0,0.489793,0,0,0,0,0.429137,0.11611,0.659749,0,0,0,1.6039e-05,0,0.960516,0.636755,0.245203,2.42858e-05
