step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.257398,0.0137187,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,10,8.33333,0.0293801,0.000122517,0.450281,0.0494521,0,2,0,0.130621,0,0.0219913,0,0,0,0,0.296044,0.045017,0.357883,0,0,0,0.000604079,0,0.999675,0.988671,0.24202,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.037539,0.000446404,0.577929,0.10148,0,2,0,0.146593,0,0.0764057,0,0,0,0,0.38302,0.102746,0.398563,0,0,0,0.000379873,0,0.998783,0.955793,0.255004,1.91835e-05
400,40,1.66667,13,5,5,3,10,3,0,0,8,10,12.5,0.0430491,0.000881856,0.663474,0.163999,0,4,0,0.159435,0,0.164607,0,0,0,0,0.444097,0.15243,0.422518,0,0,0,1.69587e-05,0,0.997533,0.901903,0.259197,5.07042e-05
500,50,2.08333,16,5,8,3,13,3,0,0,9,10,12.5,0.0466499,0.00128922,0.66077,0.230538,0,4,0,0.18421,0,0.249483,0,0,0,0,0.4883,0.172295,0.434097,0,0,0,1.66748e-05,0,0.99618,0.834965,0.257135,0.000103443
600,60,2.5,19,5,8,6,13,6,0,0,8,10,16.6667,0.0488445,0.0017934,0.594525,0.29366,0,4,0,0.22223,0,0.324537,0,0,0,0,0.518866,0.178809,0.436338,0,0,0,1.64106e-05,0,0.993878,0.763035,0.250839,0.000175563
700,70,2.91667,21,5,9,7,14,7,0,0,7,9,16.6667,0.0499929,0.0022967,0.526671,0.349705,0,6,0,0.265573,0,0.386982,0,0,0,0,0.542309,0.180476,0.432406,0,0,0,1.62847e-05,0,0.990897,0.690843,0.242047,0.00026313
800,80,3.33333,26,5,13,8,17,9,0,0,8,7,20.8333,0.0503584,0.00276753,0.521021,0.401142,0,6,0,0.309764,0,0.436725,0,0,0,0,0.55701,0.152479,0.426099,0,0,0,1.62114e-05,0,0.987456,0.650397,0.235479,0.000361465
900,90,3.75,30,5,13,12,19,11,0,0,8,7,25,0.05014,0.00371585,0.518866,0.453241,0,6,0,0.334396,0,0.475184,0,0,0,0,0.556913,0.128204,0.422588,0,0,0,1.61749e-05,0,0.982337,0.648164,0.233851,0.000466051
1000,100,4.16667,34,5,14,15,20,14,0,0,5,8,29.1667,0.0494741,0.00509293,0.52204,0.505374,0,10,0,0.343669,0,0.489792,0,0,0,0,0.54873,0.109475,0.496499,0,0,0,1.61468e-05,0,0.975545,0.645903,0.233328,0.000571703
1100,110,4.58333,38,5,17,16,22,16,0,0,3,10,33.3333,0.0484077,0.00685065,0.519009,0.557454,0,10,0,0.340876,0,0.489792,0,0,0,0,0.533309,0.097748,0.603283,0,0,0,1.61084e-05,0,0.967398,0.643633,0.234347,0.000669262
1200,120,5,41,5,18,18,23,18,0,0,2,10,33.3333,0.0470643,0.0085021,0.50642,0.608789,0,10,0,0.331966,0,0.489792,0,0,0,0,0.511103,0.0894625,0.628611,0,0,0,1.60852e-05,0,0.959232,0.641369,0.237252,0.000757402
1300,130,5.41667,47,5,22,20,27,20,0,0,1,10,33.3333,0.0455491,0.010047,0.489402,0.658869,0,10,0,0.322996,0,0.489792,0,0,0,0,0.48886,0.0788028,0.632578,0,0,0,1.60674e-05,0,0.951066,0.639119,0.239691,0.000836542
1400,140,5.83333,53,5,22,26,27,26,0,0,1,8,33.3333,0.0439404,0.0114923,0.493859,0.707927,0,10,0,0.306689,0,0.489793,0,0,0,0,0.462482,0.0796155,0.647017,0,0,0,1.60581e-05,0,0.942899,0.636889,0.241728,0.000907446
1500,150,6.25,57,5,22,30,27,30,0,0,0,10,37.5,0.0422956,0.0129772,0.490123,0.75719,0,10,1,0.290348,0,0.489793,0,0,0,0,0.433926,0.0709124,0.632567,0,0,0,1.60503e-05,0,0.934662,0.634684,0.243414,0.000971024
1600,160,6.66667,63,5,24,34,31,32,0,0,0,10,37.5,0.0406564,0.0160743,0.481515,0.80581,0,10,2,0.277281,0,0.489793,0,0,0,0,0.408225,0.0624296,0.619037,0,0,0,1.60442e-05,0,0.925475,0.632505,0.244739,0.00102821
1700,170,7.08333,65,5,20,40,31,34,0,0,0,9,45.8333,0.0390522,0.0201289,0.470082,0.853416,0,10,4,0.265964,0,0.489793,0,0,0,0,0.383359,0.0664256,0.606411,0,0,0,1.60394e-05,0,0.915655,0.630353,0.245767,0.00107992
1800,180,7.5,70,5,22,43,35,35,0,0,0,9,45.8333,0.0375037,0.0264465,0.448788,0.899313,0,10,5,0.255163,0,0.489793,0,0,0,0,0.357812,0.061591,0.594573,0,0,0,1.60354e-05,0,0.904427,0.628229,0.246513,0.00112696
1900,190,7.91667,75,5,22,48,37,38,0,0,0,10,45.8333,0.0360242,0.0323564,0.431082,0.943333,0,10,5,0.24666,0,0.489793,0,0,0,0,0.335041,0.0536343,0.583655,0,0,0,1.60319e-05,0,0.893199,0.626133,0.247089,0.00117008
2000,200,8.33333,79,5,23,51,38,39,2,0,0,9,50,0.0346224,0.0387657,0.413565,0.98555,0,10,9,0.239219,0,0.489793,0,0,0,0,0.313333,0.0469543,0.573673,0,0,0,1.60288e-05,0,0.88142,0.624062,0.247551,0.00120991
2100,210,8.75,83,5,26,52,39,42,2,0,0,9,50,0.0333026,0.0482838,0.39245,1.02582,0,10,10,0.231835,0,0.489793,0,0,0,0,0.291416,0.0413055,0.565036,0,0,0,1.6026e-05,0,0.867131,0.622016,0.24811,0.00124701
2200,220,9.16667,89,5,29,55,43,39,7,0,0,9,50,0.0320667,0.0579033,0.376009,1.06424,0,10,10,0.226199,0,0.489793,0,0,0,0,0.272032,0.0390596,0.557638,0,0,0,1.60234e-05,0,0.852045,0.619994,0.248765,0.00128185
2300,230,9.58333,94,5,28,61,43,43,8,0,0,10,58.3333,0.0309142,0.0687826,0.361571,1.10112,0,10,10,0.22141,0,0.489793,0,0,0,0,0.253883,0.0470854,0.550187,0,0,0,1.6021e-05,0,0.836184,0.617994,0.249039,0.0013148
2400,240,10,100,5,30,65,45,45,10,0,0,10,58.3333,0.0298433,0.090595,0.336447,1.13597,0,10,10,0.216522,0,0.489793,0,0,0,0,0.235941,0.0426824,0.542886,0,0,0,1.60186e-05,0,0.816793,0.616014,0.249045,0.0013462
2500,250,10.4167,103,5,32,66,47,44,12,0,0,10,62.5,0.0288512,0.117711,0.313664,1.16848,0,10,10,0.213424,0.0033,0.489793,0,0,0,0,0.220175,0.0387835,0.536589,0,0,0,1.6016e-05,0,0.794635,0.614054,0.249158,0.00137631
2600,260,10.8333,109,5,33,71,47,49,13,0,0,10,62.5,0.0279342,0.141971,0.295666,1.19885,0,10,10,0.210548,0.007125,0.489778,0,0,0,0,0.205331,0.0369241,0.531328,0,0,0,1.60129e-05,0,0.772183,0.612111,0.249417,0.00140534
2700,270,11.25,115,5,33,77,48,52,15,0,0,10,62.5,0.027088,0.16324,0.278358,1.22751,0,10,10,0.207077,0.0114,0.489672,0,0,0,0,0.190619,0.0330791,0.52672,0,0,0,1.60096e-05,0,0.749737,0.610184,0.249696,0.00143341
2800,280,11.6667,121,5,34,82,51,52,18,0,0,10,66.6667,0.0263075,0.18743,0.262253,1.25458,0,10,10,0.204469,0.016425,0.489444,0,0,0,0,0.177531,0.029993,0.522808,0,0,0,5.84296e-05,0,0.725735,0.608273,0.250035,0.00146056
2900,290,12.0833,126,5,32,89,53,51,22,0,0,10,66.6667,0.0255873,0.210179,0.247396,1.28001,0,10,10,0.20193,0.0225,0.489033,0,0,0,0,0.165236,0.0275945,0.519486,0,0,0,0.000166783,0,0.701296,0.606375,0.250412,0.00148675
3000,300,12.5,132,5,29,98,52,58,21,1,0,9,70.8333,0.0249222,0.233263,0.231771,1.30399,0,10,10,0.198639,0.028875,0.488455,0,0,0,0,0.153094,0.0255897,0.516612,0,0,0,0.00181831,0,0.676113,0.604491,0.250789,0.00151192
3100,310,12.9167,135,5,26,104,50,61,20,4,0,9,75,0.0243073,0.267096,0.215329,1.32638,0,10,10,0.196154,0.03525,0.487734,0,0,0,0,0.142362,0.0239493,0.514004,0,0,0,0.00797123,0,0.647279,0.602619,0.25111,0.00153601
3200,320,13.3333,141,5,29,107,52,62,23,4,0,9,75,0.0237381,0.301374,0.199975,1.3471,0,10,10,0.193873,0.04155,0.48689,0,0,0,0,0.132415,0.0224111,0.511664,0,0,0,0.0189465,0,0.616955,0.600758,0.251392,0.00155901
3300,330,13.75,147,5,30,112,53,65,21,8,0,8,75,0.0232107,0.330325,0.186342,1.36638,0,10,10,0.191109,0.0483,0.485942,0,0,0,0,0.122826,0.0209027,0.509596,0,0,0,0.0349,0,0.586743,0.598909,0.25165,0.00158089
3400,340,14.1667,150,5,29,116,53,64,22,11,0,8,79.1667,0.0227215,0.364924,0.172638,1.38433,0,10,10,0.189198,0.055275,0.48491,0,0,0,0,0.114399,0.0198343,0.507671,0,0,0,0.0560824,0,0.553986,0.597069,0.251846,0.00160167
3500,350,14.5833,152,5,28,119,53,66,22,11,0,8,79.1667,0.0222672,0.395064,0.161861,1.40103,0,10,10,0.187369,0.06165,0.483767,0,0,0,0,0.106548,0.0194806,0.505783,0,0,0,0.0823406,0,0.521044,0.59524,0.251948,0.00162135
3600,360,15,153,5,26,122,53,68,21,11,0,9,100,0.0218448,0.421203,0.152105,1.41672,0,10,10,0.184841,0.0678,0.482493,0,0,0,0,0.0988023,0.0187467,0.504001,0,0,0,0.113529,0,0.488049,0.59342,0.251995,0.00163996
