step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.25743,0.0137211,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,10,8.33333,0.0293801,5.07392e-05,0.457261,0.0498385,0,2,0,0.1306,0,0.0219913,0,0,0,0,0.118418,0.0540839,0.357451,0,0,0,0.000586001,0,0.999867,0.986549,0.241635,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.037503,0.000489157,0.579554,0.102242,0,2,0,0.14638,0,0.0499109,0,0,0,0,0.15321,0.135476,0.394264,0,0,0,0.000200341,0,0.998679,0.945278,0.252234,1.7775e-05
400,40,1.66667,12,5,4,3,9,3,0,0,8,10,12.5,0.0428088,0.00092185,0.671474,0.165241,0,4,0,0.158596,0,0.0919547,0,0,0,0,0.177678,0.22302,0.410963,0,0,0,1.66188e-05,0,0.997429,0.873175,0.251703,3.96704e-05
500,50,2.08333,14,5,5,4,10,4,0,0,8,10,16.6667,0.0460625,0.00147088,0.648916,0.230804,0,4,0,0.222171,0,0.135315,0,0,0,0,0.198713,0.24383,0.411617,0,0,0,1.63268e-05,0,0.995792,0.781953,0.242842,7.23425e-05
600,60,2.5,17,5,6,6,11,6,0,0,9,10,16.6667,0.0478234,0.00199499,0.613803,0.294362,0,4,0,0.265002,0,0.176626,0,0,0,0,0.21194,0.265815,0.401246,0,0,0,1.62104e-05,0,0.994125,0.680948,0.228593,0.000114512
700,70,2.91667,19,5,6,8,12,7,0,0,8,10,20.8333,0.0485012,0.0028253,0.589971,0.35507,0,6,0,0.291864,0,0.214266,0,0,0,0,0.219792,0.261695,0.385211,0,0,0,1.61572e-05,0,0.992028,0.652531,0.219337,0.00016399
800,80,3.33333,24,5,8,11,14,10,0,0,9,9,25,0.0484002,0.00366103,0.554156,0.411482,0,6,0,0.326919,0,0.24763,0,0,0,0,0.22502,0.22973,0.390497,0,0,0,1.61314e-05,0,0.989544,0.650281,0.221227,0.000218472
900,90,3.75,25,5,10,10,15,10,0,0,9,9,29.1667,0.0477472,0.00489796,0.54418,0.466335,0,6,0,0.32765,0,0.276598,0,0,0,0,0.222236,0.201224,0.403724,0,0,0,1.61114e-05,0,0.98605,0.647955,0.226285,0.000275884
1000,100,4.16667,28,5,11,12,16,12,0,0,9,9,29.1667,0.0467112,0.00630679,0.532563,0.520237,0,10,0,0.326375,0,0.301337,0,0,0,0,0.218191,0.170752,0.48948,0,0,0,1.60977e-05,0,0.981784,0.645587,0.230488,0.000334502
