step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173349,0,0.267315,0.0142151,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.32362e-08
200,20,0.833333,11,5,6,0,11,0,0,0,6,10,0,0.0293801,0,0.488611,0.052136,0,4,0,0.130552,0,0.0219913,0,0,0,0,0.118418,0.109589,0.322555,0,0,0,1.69395e-05,0,1,0.980955,0.227118,1.5227e-07
300,30,1.25,11,5,6,0,11,0,0,0,6,10,0,0.037503,0,0.64234,0.109007,0,4,0,0.145878,0,0.0499109,0,0,0,0,0.15321,0.27844,0.27672,0,0,0,1.62282e-05,0,1,0.922364,0.202924,4.39434e-07
400,40,1.66667,11,5,5,1,10,1,0,0,8,10,4.16667,0.0428088,1.59436e-05,0.76869,0.180367,0,8,0,0.156784,0,0.0919547,0,0,0,0,0.177678,0.474787,0.445202,0,0,0,1.60982e-05,0,0.999958,0.814886,0.204337,9.81608e-07
500,50,2.08333,12,5,6,1,11,1,0,0,8,10,4.16667,0.0460635,0.000169665,0.83326,0.260037,0,8,0,0.194223,0,0.135583,0,0,0,0,0.195333,0.604378,0.538892,0,0,0,1.60675e-05,0,0.999542,0.658893,0.199183,1.79285e-06
600,60,2.5,12,5,6,1,11,1,0,0,9,9,4.16667,0.047829,0.00031347,0.847006,0.344869,0,8,0,0.219507,0,0.177648,0,0,0,0,0.205108,0.720555,0.579625,0,0,0,1.60579e-05,0,0.999125,0.654676,0.207702,2.84597e-06
700,70,2.91667,12,5,4,3,9,3,0,0,6,10,12.5,0.0485194,0.000574154,0.824505,0.429603,0,12,0,0.253743,0,0.216513,0,0,0,0,0.213003,0.805358,0.60384,0,0,0,1.60547e-05,0,0.998341,0.652633,0.215087,4.09453e-06
800,80,3.33333,12,5,4,3,9,3,0,0,9,9,12.5,0.048438,0.00100136,0.660736,0.502964,0,12,0,0.361591,0,0.251138,0,0,0,0,0.224701,0.745725,0.623226,0,0,0,1.60515e-05,0,0.996843,0.65056,0.221327,5.48299e-06
900,90,3.75,13,5,4,4,9,4,0,0,8,8,12.5,0.0478105,0.00140101,0.542729,0.562199,0,12,0,0.42722,0,0.281211,0,0,0,0,0.229984,0.674705,0.638411,0,0,0,1.60483e-05,0,0.995139,0.648452,0.226563,6.96048e-06
