step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173675,0,0.267634,0.0142456,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.83273e-08
200,20,0.833333,11,5,6,0,11,0,0,0,6,10,0,0.029496,0,0.480483,0.0514889,0,4,0,0.130601,0,0.0267037,0,0,0,0,0.296015,0.0655906,0.337115,0,0,0,0.000585201,0,1,0.985972,0.233443,1.86436e-07
300,30,1.25,11,5,6,0,11,0,0,0,6,10,0,0.0377695,0,0.651559,0.109075,0,4,0,0.146115,0,0.0831024,0,0,0,0,0.382939,0.234522,0.276889,0,0,0,1.64522e-05,0,1,0.926798,0.203435,5.70684e-07
400,40,1.66667,12,5,7,0,12,0,0,0,8,10,0,0.0434103,0,0.787551,0.181696,0,8,0,0.157069,0,0.172636,0,0,0,0,0.443933,0.417857,0.430868,0,0,0,1.61341e-05,0,1,0.814464,0.204346,1.45102e-06
500,50,2.08333,12,5,5,2,10,2,0,0,9,10,8.33333,0.0471492,0.000169687,0.802428,0.261087,0,8,0,0.206555,0,0.25897,0,0,0,0,0.49471,0.519177,0.510565,0,0,0,1.60838e-05,0,0.999458,0.659243,0.199209,2.90023e-06
600,60,2.5,12,5,5,2,10,2,0,0,10,10,8.33333,0.0494841,0.000468241,0.722992,0.338873,0,8,0,0.269341,0,0.335132,0,0,0,0,0.533049,0.564423,0.551452,0,0,0,1.60658e-05,0,0.998195,0.654623,0.207628,4.87739e-06
700,70,2.91667,13,5,5,3,10,3,0,0,9,9,8.33333,0.0507694,0.000747533,0.626197,0.406367,0,12,0,0.342749,0,0.398532,0,0,0,0,0.564991,0.56685,0.58185,0,0,0,1.60547e-05,0,0.996642,0.652408,0.214821,7.28273e-06
800,80,3.33333,14,5,5,4,10,4,0,0,11,10,8.33333,0.0512662,0.00100881,0.568858,0.465374,0,12,0,0.398466,0,0.44926,0,0,0,0,0.58338,0.544294,0.608041,0,0,0,1.60515e-05,0,0.994851,0.650014,0.220694,9.99706e-06
900,90,3.75,17,5,6,6,12,5,0,0,8,10,8.33333,0.0511723,0.00125323,0.506129,0.519078,0,12,0,0.428351,0,0.488775,0,0,0,0,0.58541,0.515924,0.620461,0,0,0,1.60483e-05,0,0.992873,0.647473,0.225459,1.29039e-05
1000,100,4.16667,20,5,10,5,15,5,0,0,8,10,8.33333,0.0506407,0.00148188,0.477396,0.568392,0,17,0,0.462798,0,0.519072,0,0,0,0,0.586812,0.4691,0.634062,0,0,0,1.60451e-05,0,0.990749,0.644818,0.229307,1.59023e-05
1100,110,4.58333,21,5,10,6,15,6,0,0,7,9,8.33333,0.0497917,0.00169578,0.458509,0.614731,0,17,0,0.46984,0,0.542144,0,0,0,0,0.574647,0.428598,0.651115,0,0,0,1.60419e-05,0,0.988512,0.642079,0.232396,1.89123e-05
1200,120,5,23,5,12,6,17,6,0,0,4,10,8.33333,0.0487196,0.00189588,0.448808,0.660485,0,17,0,0.451897,0,0.559603,0,0,0,0,0.548176,0.389542,0.658163,0,0,0,1.60387e-05,0,0.986188,0.639282,0.234858,2.18744e-05
1300,130,5.41667,25,5,11,9,18,7,0,0,4,8,12.5,0.0474977,0.00223182,0.441183,0.704796,0,17,3,0.437303,0.001575,0.572691,0,0,0,0,0.524027,0.356033,0.662745,0,0,0,1.60355e-05,0,0.982654,0.636446,0.236798,2.47455e-05
1400,140,5.83333,29,5,16,8,21,8,0,0,2,9,12.5,0.0461827,0.00255209,0.435161,0.748853,0,17,3,0.425174,0.019075,0.582404,0,0,0,0,0.497183,0.327605,0.658676,0,0,0,6.01899e-05,0,0.978997,0.63359,0.238321,2.74962e-05
1500,150,6.25,33,5,19,9,24,9,0,0,2,8,12.5,0.0448129,0.0028517,0.432453,0.79214,0,17,3,0.411414,0.036575,0.588002,0,0,0,0,0.467564,0.301597,0.648495,0,0,0,0.000201373,0,0.975293,0.630729,0.239496,3.00951e-05
1600,160,6.66667,36,5,20,11,26,10,0,0,1,7,12.5,0.0434086,0.00313197,0.437193,0.83557,0,17,5,0.393359,0.05915,0.590558,0,0,0,0,0.438236,0.279372,0.631718,0,0,0,0.000429776,0,0.971575,0.627874,0.240386,3.24964e-05
1700,170,7.08333,44,5,26,13,31,13,0,0,0,6,12.5,0.0419991,0.00339417,0.441175,0.879486,0,17,7,0.374319,0.09415,0.592346,0,0,0,0,0.408609,0.259554,0.616207,0,0,0,0.000772411,0,0.967856,0.625035,0.241044,3.47016e-05
1800,180,7.5,53,5,31,17,36,17,0,0,0,8,16.6667,0.0406123,0.00371966,0.434268,0.923344,0,17,8,0.35501,0.12915,0.593645,0,0,0,0,0.379076,0.241666,0.601894,0,0,0,0.0011357,0,0.963506,0.622221,0.241503,3.6734e-05
1900,190,7.91667,57,5,29,23,37,20,0,0,0,9,20.8333,0.0392675,0.00418941,0.428709,0.966681,0,17,9,0.338367,0.16415,0.594553,0,0,0,0,0.353128,0.23332,0.588695,0,0,0,0.00169988,0,0.958252,0.619437,0.241796,3.86156e-05
2000,200,8.33333,66,5,33,28,42,24,0,0,0,10,25,0.0379779,0.005046,0.421346,1.00938,0,17,15,0.324812,0.205187,0.594739,0,0,0,0,0.32873,0.234458,0.576349,0,0,0,0.00561663,0,0.951597,0.61669,0.241877,4.03667e-05
2100,210,8.75,70,5,31,34,42,28,0,0,0,8,29.1667,0.0367517,0.00641668,0.404034,1.05059,0,17,16,0.311553,0.252437,0.594642,0,0,0,0,0.304318,0.234533,0.564731,0,0,0,0.0381431,0,0.943022,0.613983,0.241749,4.20044e-05
2200,220,9.16667,76,5,29,42,44,32,0,0,0,8,33.3333,0.0355922,0.00783697,0.388739,1.09032,0,17,16,0.299859,0.300037,0.594298,0,0,0,0,0.282596,0.229665,0.554031,0,0,0,0.106331,0,0.933996,0.61132,0.241537,4.35399e-05
2300,230,9.58333,79,5,25,49,44,35,0,0,0,9,33.3333,0.0344996,0.00942479,0.37416,1.12845,0,17,16,0.288625,0.347463,0.593657,0,0,0,0,0.262109,0.225817,0.544113,0,0,0,0.210275,0,0.924107,0.608702,0.241229,4.49798e-05
2400,240,10,82,5,24,53,43,39,0,0,0,10,33.3333,0.0334724,0.0109102,0.364836,1.16521,0,17,16,0.278078,0.402675,0.592747,0,0,0,0,0.24178,0.231857,0.535056,0,0,0,0.352083,0,0.914244,0.606129,0.240897,4.63288e-05
