step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,10,5,5,0,10,0,0,0,3,0,0,0.0173675,0,0.267047,0.0141705,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,6,1,11,1,0,0,6,10,4.16667,0.029496,8.33021e-05,0.523967,0.0531557,0,4,0,0.130548,0,0.0267037,0,0,0,0,0.296015,0.111787,0.317072,0,0,0,0.00054036,0,0.999779,0.979279,0.224757,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.0377695,0.000235875,0.71552,0.116006,0,4,0,0.145517,0,0.0831024,0,0,0,0,0.382939,0.261832,0.276619,0,0,0,1.7026e-05,0,0.999354,0.901739,0.200822,2.30885e-05
400,40,1.66667,12,5,4,3,9,3,0,0,9,10,8.33333,0.0434103,0.000530159,0.851339,0.195055,0,8,0,0.155267,0,0.172636,0,0,0,0,0.443933,0.412013,0.445174,0,0,0,1.63859e-05,0,0.998521,0.765824,0.19942,5.86742e-05
500,50,2.08333,13,5,5,3,10,3,0,0,8,10,8.33333,0.047147,0.000805457,0.841525,0.279462,0,8,0,0.218448,0,0.258508,0,0,0,0,0.499539,0.495898,0.536261,0,0,0,1.61277e-05,0,0.997591,0.656695,0.198955,0.00011709
600,60,2.5,17,5,8,4,13,4,0,0,8,9,12.5,0.0494779,0.00117392,0.806548,0.36219,0,8,0,0.271465,0,0.334515,0,0,0,0,0.534869,0.566103,0.57252,0,0,0,1.60762e-05,0,0.995877,0.654657,0.207663,0.000196584
700,70,2.91667,21,5,10,6,15,6,0,0,7,10,12.5,0.0507593,0.00156244,0.840038,0.4448,0,12,0,0.296032,0,0.397863,0,0,0,0,0.551955,0.675717,0.596466,0,0,0,1.60556e-05,0,0.993565,0.652541,0.214976,0.000293174
800,80,3.33333,23,5,10,8,15,8,0,0,10,10,20.8333,0.0512521,0.00231115,0.85964,0.529149,0,12,0,0.31009,0,0.448393,0,0,0,0,0.555842,0.764447,0.613829,0,0,0,1.60515e-05,0,0.989841,0.650354,0.220948,0.000402008
900,90,3.75,26,5,11,10,16,10,0,0,7,10,25,0.0511523,0.0033444,0.809292,0.614226,0,12,0,0.340881,0,0.487444,0,0,0,0,0.554226,0.8242,0.622659,0,0,0,1.60483e-05,0,0.984417,0.648102,0.225859,0.000518239
1000,100,4.16667,30,5,15,10,20,10,0,0,5,9,29.1667,0.0506112,0.00475997,0.717989,0.690746,0,17,0,0.377853,0,0.517062,0,0,0,0,0.551959,0.833887,0.633954,0,0,0,1.60451e-05,0,0.97732,0.645789,0.229794,0.000637624
1100,110,4.58333,35,5,18,12,23,12,0,0,5,10,29.1667,0.0497485,0.0061777,0.655856,0.758955,0,17,0,0.40049,0,0.539337,0,0,0,0,0.542231,0.821521,0.639492,0,0,0,1.60419e-05,0,0.969574,0.643421,0.233008,0.000756834
1200,120,5,39,5,17,17,25,14,0,0,3,9,29.1667,0.0486591,0.00750396,0.619185,0.822376,0,17,0,0.403724,0,0.556028,0,0,0,0,0.522178,0.786244,0.652799,0,0,0,1.60387e-05,0,0.961535,0.641,0.235626,0.000873467
1300,130,5.41667,45,5,21,19,29,16,0,0,3,10,33.3333,0.0474178,0.00888392,0.638065,0.885068,0,17,2,0.379128,0.001575,0.568457,0,0,0,0,0.49352,0.75707,0.662493,0,0,0,1.60355e-05,0,0.952841,0.638534,0.237695,0.000985887
1400,140,5.83333,51,5,23,23,32,19,0,0,2,10,33.3333,0.0460823,0.0104042,0.642788,0.948999,0,17,2,0.357489,0.019075,0.577585,0,0,0,0,0.463981,0.717987,0.656465,0,0,0,6.08541e-05,0,0.943229,0.636026,0.239278,0.00109302
1500,150,6.25,59,5,30,24,36,23,0,0,1,10,33.3333,0.0446967,0.0118264,0.641934,1.01342,0,17,2,0.336408,0.036575,0.584109,0,0,0,0,0.433262,0.699094,0.647157,0,0,0,0.000259533,0,0.933484,0.633483,0.240497,0.00119423
1600,160,6.66667,64,5,32,27,37,27,0,0,0,10,33.3333,0.0432902,0.0131569,0.629769,1.0772,0,17,4,0.319522,0.0566125,0.587746,0,0,0,0,0.405818,0.652876,0.630652,0,0,0,0.000502544,0,0.923663,0.630911,0.241403,0.00128873
1700,170,7.08333,70,5,32,33,41,29,0,0,0,10,33.3333,0.0418855,0.0144015,0.613551,1.13927,0,17,5,0.305759,0.0828625,0.590067,0,0,0,0,0.379407,0.596731,0.6153,0,0,0,0.000803488,0,0.913815,0.628312,0.24204,0.0013761
1800,180,7.5,78,5,34,39,43,35,0,0,0,7,41.6667,0.0405056,0.0164523,0.596216,1.19975,0,17,6,0.291508,0.109113,0.591591,0,0,0,0,0.352412,0.54859,0.600948,0,0,0,0.00109059,0,0.903378,0.625689,0.242405,0.00145688
1900,190,7.91667,83,5,30,48,43,40,0,0,0,10,45.8333,0.0391674,0.0227207,0.575483,1.2584,0,17,6,0.279299,0.135363,0.592502,0,0,0,0,0.328296,0.511572,0.58717,0,0,0,0.00138238,0,0.890016,0.623045,0.242392,0.00153169
2000,200,8.33333,90,5,28,57,45,45,0,0,0,10,45.8333,0.0378821,0.0288711,0.557356,1.31499,0,17,9,0.269829,0.16765,0.592765,0,0,0,0,0.305328,0.474801,0.574367,0,0,0,0.00177488,0,0.876461,0.620384,0.242217,0.00160109
2100,210,8.75,95,5,20,70,46,48,1,0,0,10,45.8333,0.0366557,0.0346246,0.539355,1.3698,0,17,13,0.261941,0.207812,0.592306,0,0,0,0,0.28222,0.441141,0.56249,0,0,0,0.00288688,0,0.862928,0.617708,0.241916,0.00166549
2200,220,9.16667,96,5,21,70,46,45,5,0,0,10,50,0.0354912,0.0443757,0.520396,1.4228,0,17,13,0.258779,0.263112,0.591414,0,0,0,0,0.261741,0.414402,0.551262,0,0,0,0.0258774,0,0.846002,0.615022,0.241425,0.0017252
2300,230,9.58333,102,5,25,72,49,46,7,0,0,10,50,0.0343897,0.0547486,0.502962,1.4739,0,17,14,0.254249,0.317975,0.590237,0,0,0,0,0.242451,0.391478,0.540851,0,0,0,0.0877214,0,0.827661,0.612331,0.240853,0.00178054
