step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.26671,0.0141438,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,6,1,11,1,0,0,6,10,4.16667,0.029496,0.000104819,0.493558,0.051649,0,4,0,0.130629,0,0.0267037,0,0,0,0,0.296015,0.0655293,0.341938,0,0,0,0.000610242,0,0.999721,0.98786,0.235561,7.55031e-06
300,30,1.25,12,5,6,1,11,1,0,0,6,10,4.16667,0.0377695,0.000252807,0.699449,0.112152,0,4,0,0.146168,0,0.0831024,0,0,0,0,0.382939,0.231922,0.276688,0,0,0,2.54783e-05,0,0.999304,0.925088,0.203184,2.30885e-05
400,40,1.66667,13,5,5,3,10,3,0,0,9,10,12.5,0.0434103,0.000568032,0.851262,0.190401,0,8,0,0.156862,0,0.172636,0,0,0,0,0.443933,0.394205,0.445196,0,0,0,1.64502e-05,0,0.998417,0.800328,0.202879,5.86742e-05
500,50,2.08333,13,5,4,4,9,4,0,0,8,10,16.6667,0.0471469,0.00113688,0.648738,0.263798,0,8,0,0.238654,0,0.258464,0,0,0,0,0.504085,0.369794,0.53885,0,0,0,1.61325e-05,0,0.996596,0.656726,0.19895,0.000117083
600,60,2.5,19,5,9,5,14,5,0,0,9,9,16.6667,0.0494807,0.00168254,0.597871,0.324527,0,8,0,0.303113,0,0.335279,0,0,0,0,0.542217,0.356389,0.579646,0,0,0,1.60764e-05,0,0.994086,0.654705,0.207713,0.00019675
700,70,2.91667,20,5,8,7,13,7,0,0,8,8,16.6667,0.0507707,0.00219299,0.613143,0.385152,0,12,0,0.338839,0,0.399269,0,0,0,0,0.563422,0.330169,0.603744,0,0,0,1.60557e-05,0,0.990987,0.652694,0.21515,0.00029393
800,80,3.33333,24,5,11,8,16,8,0,0,10,7,20.8333,0.0512747,0.00303198,0.612827,0.446264,0,12,0,0.352978,0,0.450275,0,0,0,0,0.568899,0.307114,0.622383,0,0,0,1.60515e-05,0,0.986539,0.650668,0.221307,0.000403687
900,90,3.75,28,5,13,10,18,10,0,0,9,7,25,0.0511871,0.0038733,0.607115,0.507325,0,12,0,0.357302,0,0.489701,0,0,0,0,0.562461,0.310975,0.638034,0,0,0,1.60483e-05,0,0.981474,0.648625,0.226491,0.000521112
1000,100,4.16667,32,5,16,11,21,11,0,0,8,5,29.1667,0.0506593,0.00533753,0.575635,0.566911,0,17,0,0.362066,0,0.519855,0,0,0,0,0.553183,0.290835,0.650826,0,0,0,1.60451e-05,0,0.97407,0.646562,0.230656,0.00064198
1100,110,4.58333,39,5,20,14,25,14,0,0,8,3,29.1667,0.0498106,0.006718,0.566869,0.62378,0,17,0,0.35174,0,0.542381,0,0,0,0,0.534834,0.268719,0.655679,0,0,0,1.60419e-05,0,0.966245,0.644481,0.234155,0.00076292
1200,120,5,44,5,21,18,26,18,0,0,3,9,33.3333,0.0487329,0.00814867,0.567979,0.680647,0,17,0,0.334282,0,0.558998,0,0,0,0,0.50738,0.270933,0.663056,0,0,0,1.60387e-05,0,0.9577,0.642381,0.237042,0.000881268
1300,130,5.41667,49,5,23,21,28,21,0,0,2,10,33.3333,0.0474992,0.00971638,0.551888,0.736867,0,17,4,0.325692,0.0023625,0.571119,0,0,0,0,0.483319,0.275701,0.667803,0,0,0,1.60355e-05,0,0.948189,0.640264,0.239386,0.000995154
1400,140,5.83333,56,5,29,22,34,22,0,0,1,10,33.3333,0.0461639,0.011183,0.5384,0.791336,0,17,4,0.327563,0.0286125,0.579066,0,0,0,0,0.460008,0.257865,0.660231,0,0,0,0.000136934,0,0.938516,0.638132,0.241313,0.00110309
1500,150,6.25,64,5,31,28,38,26,0,0,1,10,37.5,0.0447689,0.012593,0.521699,0.844343,0,17,5,0.327675,0.061775,0.584641,0,0,0,0,0.434661,0.243148,0.645271,0,0,0,0.000473314,0,0.928724,0.635987,0.242876,0.00120403
1600,160,6.66667,70,5,28,37,38,32,0,0,1,10,37.5,0.0433528,0.0157149,0.502576,0.895573,0,17,7,0.330985,0.11235,0.588643,0,0,0,0,0.411776,0.232461,0.630023,0,0,0,0.00100452,0,0.917652,0.633831,0.244063,0.00129806
