step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.258891,0.0139024,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,10,8.33333,0.029496,0.000180129,0.509784,0.051725,0,4,0,0.130579,0,0.0267037,0,0,0,0,0.296015,0.0974778,0.325233,0,0,0,0.00056749,0,0.999521,0.982283,0.228321,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.0377695,0.000478009,0.695388,0.112925,0,4,0,0.145738,0,0.0831024,0,0,0,0,0.382939,0.249014,0.276625,0,0,0,1.70455e-05,0,0.998688,0.909564,0.201606,2.30885e-05
400,40,1.66667,12,5,5,2,10,2,0,0,9,10,8.33333,0.0434103,0.000756671,0.832277,0.189917,0,8,0,0.155793,0,0.172636,0,0,0,0,0.443933,0.417164,0.434538,0,0,0,1.64098e-05,0,0.997854,0.775559,0.200379,5.86742e-05
500,50,2.08333,13,5,4,4,9,4,0,0,9,10,12.5,0.0471468,0.00104914,0.695939,0.26529,0,8,0,0.219074,0,0.258412,0,0,0,0,0.499907,0.438348,0.508615,0,0,0,1.61361e-05,0,0.996819,0.656683,0.19893,0.000117081
600,60,2.5,17,5,6,6,11,6,0,0,10,10,16.6667,0.0494766,0.00157638,0.615832,0.330077,0,8,0,0.269987,0,0.334548,0,0,0,0,0.532732,0.418265,0.537205,0,0,0,1.60756e-05,0,0.994406,0.65465,0.207648,0.000196509
700,70,2.91667,19,5,6,8,11,8,0,0,7,7,20.8333,0.0507653,0.00210511,0.573365,0.38982,0,12,0,0.310315,0,0.399587,0,0,0,0,0.553049,0.377298,0.561137,0,0,0,1.60609e-05,0,0.991287,0.652589,0.215024,0.000293558
800,80,3.33333,23,5,9,9,14,9,0,0,10,6,25,0.0512773,0.0029569,0.556869,0.445398,0,12,0,0.324345,0,0.451469,0,0,0,0,0.558576,0.345041,0.605713,0,0,0,1.60533e-05,0,0.986775,0.650501,0.221113,0.000403804
900,90,3.75,26,5,10,11,16,10,0,0,10,6,29.1667,0.0512008,0.00427646,0.557331,0.501369,0,12,0,0.316267,0,0.491271,0,0,0,0,0.548014,0.314586,0.625449,0,0,0,1.60483e-05,0,0.980375,0.648388,0.226073,0.000522096
1000,100,4.16667,29,5,11,13,16,13,0,0,9,5,29.1667,0.0506819,0.00572538,0.532798,0.556218,0,17,0,0.312272,0,0.521125,0,0,0,0,0.536393,0.289549,0.642764,0,0,0,1.60451e-05,0,0.972889,0.646254,0.230188,0.000643839
1100,110,4.58333,33,5,14,14,19,14,0,0,6,7,29.1667,0.0498367,0.00708083,0.51657,0.608821,0,17,0,0.315355,0,0.543202,0,0,0,0,0.522977,0.26746,0.653431,0,0,0,1.60419e-05,0,0.965026,0.644101,0.233642,0.000765341
1200,120,5,38,5,15,18,20,18,0,0,4,9,29.1667,0.0487583,0.00834883,0.501666,0.6597,0,17,0,0.319273,0,0.55942,0,0,0,0,0.50416,0.24768,0.66159,0,0,0,1.60387e-05,0,0.956887,0.641934,0.236526,0.000883908
1300,130,5.41667,42,5,15,22,22,20,0,0,1,10,29.1667,0.0475215,0.00953503,0.494503,0.709374,0,17,3,0.314855,0.000675,0.571306,0,0,0,0,0.483685,0.229987,0.667718,0,0,0,1.60355e-05,0,0.948547,0.639756,0.23892,0.000997761
1400,140,5.83333,45,5,16,24,21,24,0,0,1,9,33.3333,0.0461857,0.011004,0.49104,0.758699,0,17,3,0.307738,0.008175,0.579942,0,0,0,0,0.461069,0.214162,0.668077,0,0,0,1.60323e-05,0,0.93983,0.637571,0.240875,0.00110585
1500,150,6.25,52,5,19,28,24,28,0,0,1,9,33.3333,0.0447938,0.0138598,0.461274,0.806988,0,17,3,0.301472,0.015675,0.585565,0,0,0,0,0.437817,0.204304,0.667019,0,0,0,3.74537e-05,0,0.930033,0.635383,0.242414,0.0012073
1600,160,6.66667,55,5,17,33,24,31,0,0,1,9,37.5,0.04338,0.0168462,0.435573,0.851711,0,17,4,0.299132,0.023175,0.589306,0,0,0,0,0.418989,0.195567,0.663394,0,0,0,9.40447e-05,0,0.91913,0.633194,0.243596,0.00130178
1700,170,7.08333,57,5,15,37,22,35,0,0,0,10,41.6667,0.04197,0.0202776,0.4134,0.894207,0,17,7,0.297628,0.0348,0.59165,0,0,0,0,0.399899,0.195341,0.653532,0,0,0,0.000228444,0,0.907623,0.631008,0.244501,0.0013892
1800,180,7.5,64,5,19,40,27,37,0,0,0,9,45.8333,0.0405863,0.0252726,0.378097,0.933234,0,17,9,0.297389,0.0498,0.593252,0,0,0,0,0.380027,0.183572,0.636812,0,0,0,0.000413307,0,0.894895,0.628828,0.245137,0.0014701
1900,190,7.91667,65,5,19,41,27,38,0,0,0,9,45.8333,0.039246,0.0312583,0.370409,0.970632,0,17,10,0.290539,0.063675,0.594278,0,0,0,0,0.357722,0.173632,0.62117,0,0,0,0.000594259,0,0.881266,0.626655,0.24556,0.00154512
2000,200,8.33333,67,5,17,45,26,40,1,0,0,9,45.8333,0.0379602,0.0374776,0.370407,1.0076,0,17,15,0.284175,0.0861,0.594643,0,0,0,0,0.332872,0.164523,0.606818,0,0,0,0.000968549,0,0.867015,0.624492,0.245843,0.00161489
2100,210,8.75,71,5,17,49,28,42,1,0,0,9,45.8333,0.0367363,0.0437789,0.356229,1.04435,0,17,15,0.277256,0.109275,0.594503,0,0,0,0,0.308729,0.154916,0.593649,0,0,0,0.00136163,0,0.852149,0.62234,0.246007,0.00168
2200,220,9.16667,73,5,16,52,27,41,5,0,0,9,50,0.0355786,0.0525372,0.338743,1.07901,0,17,15,0.273547,0.1302,0.594213,0,0,0,0,0.290817,0.152071,0.581423,0,0,0,0.00171889,0,0.834932,0.620201,0.246012,0.00174097
2300,230,9.58333,78,5,19,54,30,42,6,0,0,7,50,0.0344886,0.0618745,0.325146,1.11216,0,17,16,0.26912,0.15015,0.593823,0,0,0,0,0.27369,0.143658,0.570195,0,0,0,0.00372343,0,0.816383,0.618077,0.245931,0.00179826
2400,240,10,80,5,20,55,32,42,6,0,0,9,54.1667,0.0334665,0.0757408,0.299536,1.1428,0,17,16,0.263615,0.16995,0.593342,0,0,0,0,0.256976,0.142599,0.55983,0,0,0,0.0190842,0,0.795964,0.615967,0.245757,0.00185227
2500,250,10.4167,85,5,20,60,34,44,7,0,0,9,58.3333,0.0325107,0.0961889,0.297862,1.17283,0,17,17,0.256035,0.190125,0.592668,0,0,0,0,0.237338,0.140066,0.55023,0,0,0,0.0514275,0,0.772714,0.613873,0.245493,0.00190331
2600,260,10.8333,89,5,19,65,35,42,12,0,0,10,62.5,0.0316181,0.119606,0.290502,1.20228,0,17,17,0.248727,0.2094,0.591729,0,0,0,0,0.219203,0.136177,0.541362,0,0,0,0.100687,0,0.747664,0.611794,0.245163,0.00195154
2700,270,11.25,92,5,21,66,36,43,13,0,0,8,62.5,0.0307851,0.143598,0.279148,1.23074,0,17,17,0.241459,0.23475,0.590517,0,0,0,0,0.201585,0.132301,0.533197,0,0,0,0.167095,0,0.720722,0.609732,0.244789,0.00199707
2800,280,11.6667,99,5,28,66,42,43,14,0,0,9,62.5,0.0300078,0.164667,0.27252,1.25836,0,17,17,0.2356,0.2646,0.589054,0,0,0,0,0.186112,0.133836,0.525696,0,0,0,0.253994,0,0.693844,0.607685,0.244388,0.00203997
2900,290,12.0833,102,5,27,70,42,45,15,0,0,10,62.5,0.0292824,0.183142,0.267342,1.28537,0,17,17,0.229814,0.2946,0.587365,0,0,0,0,0.17169,0.136082,0.518796,0,0,0,0.3622,0,0.667082,0.605653,0.243962,0.00208031
3000,300,12.5,105,5,26,74,41,48,16,0,0,8,62.5,0.0286052,0.199343,0.259766,1.31172,0,17,17,0.223279,0.3246,0.585476,0,0,0,0,0.157557,0.134472,0.512441,0,0,0,0.492013,0,0.640452,0.603637,0.243514,0.00211818
3100,310,12.9167,112,5,32,75,46,48,18,0,0,8,66.6667,0.0279724,0.220307,0.251774,1.33724,0,17,17,0.217878,0.3552,0.583411,0,0,0,0,0.145057,0.137502,0.5065,0,0,0,0.64385,0,0.611706,0.601636,0.243015,0.00215363
3200,320,13.3333,119,5,32,82,49,50,20,0,0,7,66.6667,0.0273808,0.239015,0.240584,1.36181,0,17,17,0.212791,0.3852,0.581191,0,0,0,0,0.133513,0.136088,0.501011,0,0,0,0.798607,0,0.58301,0.599648,0.2425,0.00218675
3300,330,13.75,124,5,30,89,49,52,21,2,0,8,75,0.0268272,0.266206,0.227056,1.38527,0,17,17,0.20726,0.4152,0.578839,0,0,0,0,0.122398,0.136301,0.495848,0,0,0,0.798591,0,0.551246,0.597674,0.241938,0.00221761
3400,340,14.1667,128,5,31,92,49,53,23,3,0,9,75,0.0263087,0.301116,0.214192,1.40727,0,17,17,0.20293,0.4452,0.576379,0,0,0,0,0.112709,0.136627,0.490969,0,0,0,0.798579,0,0.515813,0.595713,0.241329,0.00224631
3500,350,14.5833,131,5,31,95,49,56,20,6,0,9,79.1667,0.0258225,0.338634,0.201862,1.42813,0,17,17,0.198863,0.4776,0.573832,0,0,0,0,0.103747,0.138097,0.48637,0,0,0,0.798558,0,0.478146,0.593764,0.240687,0.00227292
3600,360,15,136,5,30,101,50,57,22,7,0,7,79.1667,0.0253662,0.373221,0.188245,1.44761,0,17,17,0.194374,0.5151,0.571214,0,0,0,0,0.0951528,0.138512,0.482065,0,0,0,0.798518,0,0.439686,0.591827,0.24003,0.00229757
