step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,11,5,6,0,11,0,0,0,3,0,0,0.0173675,0,0.265083,0.014067,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,6,1,11,1,0,0,6,10,4.16667,0.029496,7.24679e-05,0.507349,0.0523116,0,4,0,0.130569,0,0.0267037,0,0,0,0,0.296015,0.0830428,0.32711,0,0,0,0.000558787,0,0.999808,0.982673,0.229111,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000342357,0.674859,0.112261,0,4,0,0.145991,0,0.0831024,0,0,0,0,0.382939,0.189739,0.276614,0,0,0,1.70904e-05,0,0.999075,0.926879,0.203334,2.30885e-05
400,40,1.66667,13,5,5,3,10,3,0,0,8,10,12.5,0.0434103,0.000784521,0.807185,0.187189,0,8,0,0.157081,0,0.172636,0,0,0,0,0.443933,0.334863,0.445227,0,0,0,1.64624e-05,0,0.997825,0.820587,0.204917,5.86742e-05
500,50,2.08333,15,5,6,4,11,4,0,0,8,10,16.6667,0.0471468,0.00120295,0.791554,0.26679,0,8,0,0.212842,0,0.258398,0,0,0,0,0.497508,0.386857,0.538863,0,0,0,1.6137e-05,0,0.996415,0.678272,0.20111,0.000117079
600,60,2.5,18,5,8,5,13,5,0,0,9,10,16.6667,0.0494776,0.00174435,0.774021,0.345573,0,8,0,0.255103,0,0.334667,0,0,0,0,0.529145,0.432405,0.575294,0,0,0,1.60788e-05,0,0.993911,0.654685,0.207688,0.000196563
700,70,2.91667,18,5,7,6,12,6,0,0,8,10,16.6667,0.0507614,0.00225081,0.797401,0.424054,0,12,0,0.272396,0,0.398238,0,0,0,0,0.544734,0.494021,0.600528,0,0,0,1.60585e-05,0,0.990826,0.652606,0.215043,0.000293306
800,80,3.33333,21,5,8,8,13,8,0,0,9,10,20.8333,0.051257,0.00290461,0.765806,0.502182,0,12,0,0.29387,0,0.448805,0,0,0,0,0.552299,0.509069,0.619168,0,0,0,1.60521e-05,0,0.986831,0.650472,0.221145,0.000402366
900,90,3.75,24,5,10,9,15,9,0,0,8,10,20.8333,0.0511594,0.00370482,0.729415,0.576853,0,12,0,0.305429,0,0.48782,0,0,0,0,0.546416,0.514867,0.629925,0,0,0,1.60483e-05,0,0.981928,0.648288,0.226186,0.000518819
