step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,7,5,2,0,7,0,0,0,3,0,0,0.0173675,0,0.261999,0.0140757,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.83273e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,10,0,0.029496,0,0.477752,0.0510453,0,4,0,0.130581,0,0.0267037,0,0,0,0,0.296015,0.0627978,0.334429,0,0,0,0.000113691,0,1,0.985008,0.232273,1.86436e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.0377695,0,0.63217,0.107412,0,4,0,0.146347,0,0.0831024,0,0,0,0,0.382939,0.190863,0.294531,0,0,0,1.62893e-05,0,1,0.948046,0.212617,5.70684e-07
400,40,1.66667,12,5,7,0,12,0,0,0,9,10,0,0.0434103,0,0.754593,0.177276,0,8,0,0.158928,0,0.172636,0,0,0,0,0.443933,0.313931,0.445602,0,0,0,1.61252e-05,0,1,0.892999,0.212308,1.45102e-06
500,50,2.08333,12,5,7,0,12,0,0,0,8,10,0,0.0471534,0,0.653934,0.246365,0,8,0,0.23627,0,0.260264,0,0,0,0,0.498018,0.299336,0.533219,0,0,0,1.60797e-05,0,1,0.829655,0.216388,2.90577e-06
600,60,2.5,13,5,5,3,10,3,0,0,9,10,12.5,0.0495045,0.000264911,0.62437,0.311561,0,8,0,0.289402,0,0.337801,0,0,0,0,0.533414,0.300321,0.571586,0,0,0,1.60635e-05,0,0.998867,0.764012,0.218722,4.90758e-06
700,70,2.91667,13,5,4,4,9,4,0,0,8,10,12.5,0.0508107,0.000712072,0.545566,0.370252,0,12,0,0.336574,0,0.401946,0,0,0,0,0.557998,0.298465,0.599063,0,0,0,1.60547e-05,0,0.996496,0.699629,0.219924,7.35279e-06
800,80,3.33333,13,5,4,4,9,4,0,0,11,8,12.5,0.0513292,0.00113038,0.502104,0.422085,0,12,0,0.369969,0,0.453217,0,0,0,0,0.57071,0.276453,0.619959,0,0,0,1.60515e-05,0,0.993761,0.650753,0.221549,1.01175e-05
900,90,3.75,17,5,7,5,12,5,0,0,9,8,16.6667,0.0512545,0.00154242,0.485497,0.471337,0,12,0,0.387856,0,0.492752,0,0,0,0,0.570428,0.25614,0.635365,0,0,0,1.60483e-05,0,0.990609,0.648757,0.22689,1.30792e-05
