step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.265304,0.0140871,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,6,1,11,1,0,0,6,10,4.16667,0.029496,1.4354e-05,0.517149,0.0528666,0,4,0,0.130563,0,0.0267037,0,0,0,0,0.296015,0.0973797,0.32292,0,0,0,0.000553218,0,0.999962,0.981146,0.227282,7.55031e-06
300,30,1.25,12,5,6,1,11,1,0,0,6,10,4.16667,0.0377695,0.000168178,0.710865,0.114817,0,4,0,0.14564,0,0.0831024,0,0,0,0,0.382939,0.292536,0.276652,0,0,0,1.72127e-05,0,0.999546,0.902673,0.200928,2.30885e-05
400,40,1.66667,13,5,4,4,9,4,0,0,9,10,16.6667,0.0434103,0.000624178,0.845239,0.193499,0,8,0,0.155116,0,0.172636,0,0,0,0,0.443933,0.496186,0.426668,0,0,0,1.62371e-05,0,0.998296,0.748211,0.197616,5.86742e-05
500,50,2.08333,14,5,5,4,10,4,0,0,8,10,16.6667,0.0471475,0.00120291,0.725878,0.271589,0,8,0,0.210662,0,0.258565,0,0,0,0,0.497729,0.55792,0.483488,0,0,0,1.61106e-05,0,0.996436,0.656629,0.198858,0.000117116
600,60,2.5,18,5,8,5,12,6,0,0,8,10,16.6667,0.0494814,0.00174431,0.555948,0.337848,0,8,0,0.278197,0,0.335498,0,0,0,0,0.53372,0.564781,0.517637,0,0,0,1.60796e-05,0,0.993926,0.65444,0.207394,0.000196794
700,70,2.91667,20,5,7,8,12,8,0,0,6,8,20.8333,0.0507781,0.00250045,0.546396,0.392308,0,12,0,0.313703,0,0.400569,0,0,0,0,0.55416,0.519268,0.552375,0,0,0,1.60641e-05,0,0.990276,0.652103,0.214352,0.000294414
800,80,3.33333,26,5,12,9,17,9,0,0,9,6,20.8333,0.0512937,0.00332674,0.561755,0.447773,0,12,0,0.329114,0,0.45209,0,0,0,0,0.56048,0.46836,0.58747,0,0,0,1.60568e-05,0,0.985767,0.649648,0.220058,0.000405073
900,90,3.75,30,5,12,13,19,11,0,0,8,6,25,0.0512175,0.00430917,0.547252,0.503424,0,12,0,0.33004,0,0.49164,0,0,0,0,0.552764,0.421203,0.607085,0,0,0,1.60522e-05,0,0.980221,0.647103,0.224687,0.000523593
