step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.267204,0.0142325,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,7,0,12,0,0,0,6,10,0,0.029496,0,0.512297,0.0528235,0,4,0,0.130555,0,0.0267037,0,0,0,0,0.296015,0.0945903,0.322799,0,0,0,0.000546602,0,1,0.981047,0.227224,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.0377695,0.000224275,0.697221,0.11414,0,4,0,0.145684,0,0.0831024,0,0,0,0,0.382939,0.266167,0.276622,0,0,0,1.70409e-05,0,0.9994,0.907688,0.201418,2.30885e-05
400,40,1.66667,12,5,5,2,10,2,0,0,8,10,8.33333,0.0434103,0.000519307,0.823285,0.190972,0,8,0,0.155497,0,0.172636,0,0,0,0,0.443933,0.454063,0.445127,0,0,0,1.63921e-05,0,0.998567,0.762013,0.19902,5.86742e-05
500,50,2.08333,13,5,5,3,10,3,0,0,10,10,8.33333,0.0471468,0.000795305,0.859976,0.275206,0,8,0,0.185603,0,0.258381,0,0,0,0,0.490997,0.58001,0.536254,0,0,0,1.61274e-05,0,0.997638,0.656648,0.198896,0.000117077
600,60,2.5,17,5,7,5,12,5,0,0,11,10,12.5,0.0494752,0.00109158,0.851705,0.361239,0,8,0,0.215053,0,0.334052,0,0,0,0,0.519817,0.686368,0.565229,0,0,0,1.60761e-05,0,0.996223,0.654485,0.207456,0.000196426
700,70,2.91667,19,5,8,6,13,6,0,0,10,10,16.6667,0.0507516,0.00160978,0.847656,0.446327,0,12,0,0.241913,0,0.396983,0,0,0,0,0.537916,0.78537,0.594895,0,0,0,1.60558e-05,0,0.993652,0.652138,0.214449,0.000292664
800,80,3.33333,19,5,7,7,12,7,0,0,12,10,16.6667,0.0512371,0.00233878,0.824085,0.529044,0,12,0,0.272419,0,0.447102,0,0,0,0,0.547096,0.828444,0.606593,0,0,0,1.60515e-05,0,0.990112,0.649561,0.219992,0.000400891
900,90,3.75,20,5,7,8,12,8,0,0,9,9,25,0.0511285,0.00360332,0.802707,0.610872,0,12,0,0.286739,0,0.485826,0,0,0,0,0.542238,0.870825,0.615332,0,0,0,1.60483e-05,0,0.984663,0.646718,0.224124,0.000516284
