step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.266479,0.0141329,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.0293801,2.70855e-05,0.524708,0.0526421,0,4,0,0.130561,0,0.0219913,0,0,0,0,0.118418,0.120088,0.319305,0,0,0,0.000551682,0,0.999929,0.979965,0.225718,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.037503,0.000488092,0.708603,0.115329,0,4,0,0.145365,0,0.0499109,0,0,0,0,0.15321,0.319177,0.276554,0,0,0,1.69822e-05,0,0.998683,0.888622,0.199484,1.7775e-05
400,40,1.66667,12,5,4,3,9,3,0,0,9,10,12.5,0.0428088,0.000920854,0.837569,0.193437,0,8,0,0.15431,0,0.0919547,0,0,0,0,0.177678,0.517721,0.445081,0,0,0,1.61059e-05,0,0.997433,0.731783,0.195978,3.96704e-05
500,50,2.08333,13,5,5,3,10,3,0,0,9,10,12.5,0.0460623,0.0013257,0.818589,0.276133,0,8,0,0.21659,0,0.135211,0,0,0,0,0.199574,0.559258,0.538845,0,0,0,1.60688e-05,0,0.996183,0.656692,0.198944,7.23321e-05
600,60,2.5,15,5,3,7,8,7,0,0,9,10,16.6667,0.0478218,0.00174251,0.774045,0.35658,0,8,0,0.276934,0,0.176473,0,0,0,0,0.214473,0.583973,0.579536,0,0,0,1.60599e-05,0,0.994833,0.654665,0.207665,0.000114431
700,70,2.91667,15,5,3,7,8,7,0,0,8,10,16.6667,0.0484992,0.00224909,0.732948,0.431716,0,12,0,0.326562,0,0.214223,0,0,0,0,0.224855,0.568624,0.603334,0,0,0,1.60547e-05,0,0.993128,0.652545,0.214972,0.000163869
800,80,3.33333,18,5,6,7,11,7,0,0,11,10,20.8333,0.0483989,0.00301261,0.728203,0.504595,0,12,0,0.362149,0,0.247739,0,0,0,0,0.230211,0.568361,0.620015,0,0,0,1.60515e-05,0,0.990776,0.650278,0.220873,0.000218374
900,90,3.75,22,5,8,9,13,9,0,0,8,10,20.8333,0.0477479,0.00380586,0.675366,0.57545,0,12,0,0.392551,0,0.276896,0,0,0,0,0.231435,0.564961,0.632002,0,0,0,1.60483e-05,0,0.987998,0.647817,0.225598,0.000275891
1000,100,4.16667,23,5,7,11,12,11,0,0,7,9,25,0.0467153,0.00455555,0.603335,0.639214,0,17,0,0.419016,0,0.301894,0,0,0,0,0.231025,0.539124,0.643554,0,0,0,1.60451e-05,0,0.984928,0.645176,0.22934,0.000334721
1100,110,4.58333,25,5,6,14,14,11,0,0,6,9,25,0.0454277,0.00561786,0.618703,0.700036,0,17,0,0.401781,0,0.323091,0,0,0,0,0.222442,0.523965,0.641091,0,0,0,1.60419e-05,0,0.980971,0.642398,0.23218,0.000393548
1200,120,5,31,5,12,14,19,12,0,0,2,9,25,0.0439792,0.00661164,0.593441,0.761068,0,17,0,0.390878,0,0.340871,0,0,0,0,0.212603,0.478944,0.636246,0,0,0,1.60387e-05,0,0.976773,0.63952,0.234386,0.000451384
1300,130,5.41667,35,5,14,16,20,15,0,0,1,8,25,0.0424394,0.00754131,0.573538,0.819278,0,17,3,0.381512,0.00045,0.355675,0,0,0,0,0.203239,0.434264,0.632517,0,0,0,1.60355e-05,0,0.972374,0.636571,0.236077,0.000507513
1400,140,5.83333,37,5,14,18,20,17,0,0,1,8,25,0.0408599,0.008411,0.566288,0.876182,0,17,3,0.369821,0.00545,0.367939,0,0,0,0,0.192732,0.391524,0.617272,0,0,0,1.60323e-05,0,0.96781,0.633578,0.237349,0.000561459
1500,150,6.25,41,5,16,20,21,20,0,0,1,8,29.1667,0.0392784,0.00947061,0.543125,0.931838,0,17,4,0.359758,0.01045,0.378055,0,0,0,0,0.182304,0.352421,0.602855,0,0,0,1.60291e-05,0,0.962591,0.63056,0.23822,0.000612932
1600,160,6.66667,47,5,20,22,25,22,0,0,0,6,33.3333,0.0377222,0.0106375,0.519102,0.985233,0,17,6,0.351729,0.01545,0.38638,0,0,0,0,0.173164,0.318804,0.589324,0,0,0,3.61422e-05,0,0.956868,0.627537,0.238784,0.00066179
