step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.260739,0.0139822,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,6,1,11,1,0,0,6,9,4.16667,0.0293801,4.28048e-05,0.511427,0.0520213,0,4,0,0.13057,0,0.0219913,0,0,0,0,0.296044,0.0978601,0.324606,0,0,0,0.000559614,0,0.999888,0.981787,0.228021,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.037539,0.000269316,0.720517,0.114692,0,4,0,0.145625,0,0.0764057,0,0,0,0,0.38302,0.292537,0.276574,0,0,0,1.7036e-05,0,0.999275,0.901123,0.200742,1.91835e-05
400,40,1.66667,13,5,5,3,10,3,0,0,9,10,12.5,0.0430491,0.000716193,0.866203,0.194817,0,8,0,0.155059,0,0.164607,0,0,0,0,0.444097,0.472641,0.445111,0,0,0,1.63804e-05,0,0.998025,0.747221,0.197534,5.07042e-05
500,50,2.08333,14,5,5,4,10,4,0,0,8,10,16.6667,0.04665,0.00128599,0.659427,0.269318,0,8,0,0.229627,0,0.24953,0,0,0,0,0.503425,0.503775,0.538794,0,0,0,1.61251e-05,0,0.996229,0.656682,0.198923,0.000103449
600,60,2.5,18,5,8,5,13,5,0,0,10,9,16.6667,0.0488459,0.00182203,0.578481,0.330417,0,8,0,0.266264,0,0.324819,0,0,0,0,0.534415,0.527423,0.579216,0,0,0,1.60743e-05,0,0.99381,0.654553,0.207526,0.000175641
700,70,2.91667,23,5,11,7,16,7,0,0,9,9,16.6667,0.0499978,0.00232349,0.598698,0.389435,0,12,0,0.287082,0,0.387629,0,0,0,0,0.551243,0.533218,0.5991,0,0,0,1.60549e-05,0,0.990822,0.652206,0.214567,0.000263445
800,80,3.33333,26,5,11,10,17,9,0,0,12,7,20.8333,0.0503691,0.00312184,0.62088,0.450336,0,12,0,0.302194,0,0.437708,0,0,0,0,0.556417,0.490385,0.613077,0,0,0,1.60515e-05,0,0.986594,0.649615,0.220092,0.000362222
900,90,3.75,32,5,15,12,21,11,0,0,12,7,25,0.0501573,0.00397622,0.61856,0.512147,0,12,0,0.310174,0,0.476337,0,0,0,0,0.550612,0.448771,0.624583,0,0,0,1.60483e-05,0,0.98164,0.646809,0.224441,0.000467402
