step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.261712,0.0140834,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,8,8.33333,0.0293801,0.000125982,0.499624,0.0519591,0,4,0,0.130546,0,0.0219913,0,0,0,0,0.296044,0.108199,0.318235,0,0,0,0.000494327,0,0.999667,0.979753,0.225269,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,12.5,0.037539,0.000490496,0.678254,0.111742,0,4,0,0.14555,0,0.0764057,0,0,0,0,0.38302,0.291028,0.276576,0,0,0,1.63785e-05,0,0.998667,0.902569,0.200887,1.91835e-05
400,40,1.66667,12,5,4,3,9,3,0,0,8,10,12.5,0.0430491,0.000923104,0.816863,0.18719,0,8,0,0.155275,0,0.164607,0,0,0,0,0.444097,0.498133,0.44513,0,0,0,1.61274e-05,0,0.997417,0.761129,0.198932,5.07042e-05
500,50,2.08333,14,5,5,4,11,3,0,0,8,9,12.5,0.0466514,0.0013278,0.652835,0.258191,0,8,0,0.236897,0,0.250015,0,0,0,0,0.503833,0.509963,0.528087,0,0,0,1.6079e-05,0,0.996062,0.656696,0.198951,0.000103517
600,60,2.5,19,5,9,5,13,6,0,0,9,10,16.6667,0.0488538,0.00173975,0.591557,0.320159,0,8,0,0.297149,0,0.325942,0,0,0,0,0.542063,0.519336,0.559802,0,0,0,1.60631e-05,0,0.9941,0.654686,0.20769,0.0001761
700,70,2.91667,20,5,8,7,14,6,0,0,7,10,20.8333,0.0500153,0.00237833,0.605631,0.379979,0,12,0,0.332613,0,0.389215,0,0,0,0,0.563018,0.50418,0.576504,0,0,0,1.60547e-05,0,0.990814,0.6526,0.21498,0.00026459
800,80,3.33333,23,5,8,10,14,9,0,0,8,10,20.8333,0.0503974,0.0032125,0.621496,0.44122,0,12,0,0.355566,0,0.43967,0,0,0,0,0.571949,0.468,0.587168,0,0,0,1.60515e-05,0,0.986469,0.650406,0.220946,0.000364299
900,90,3.75,28,5,12,11,18,10,0,0,7,10,25,0.0501971,0.00426435,0.604326,0.502652,0,12,0,0.373429,0,0.478505,0,0,0,0,0.570653,0.429935,0.59652,0,0,0,1.60483e-05,0,0.980936,0.648079,0.22574,0.000470626
1000,100,4.16667,29,5,13,11,18,11,0,0,7,9,29.1667,0.0495269,0.00566751,0.591477,0.562319,0,17,0,0.389996,0,0.489792,0,0,0,0,0.565905,0.386882,0.610516,0,0,0,1.60451e-05,0,0.973951,0.645617,0.229487,0.000576562
1100,110,4.58333,33,5,15,13,20,13,0,0,6,9,33.3333,0.0484508,0.00712116,0.554922,0.6195,0,17,0,0.403192,0,0.489792,0,0,0,0,0.556304,0.350173,0.628187,0,0,0,1.60419e-05,0,0.96655,0.643052,0.23246,0.000673848
1200,120,5,40,5,17,18,23,17,0,0,3,10,33.3333,0.0470996,0.00875516,0.518317,0.673193,0,17,0,0.39535,0,0.489793,0,0,0,0,0.532986,0.318205,0.63794,0,0,0,1.60387e-05,0,0.958384,0.640414,0.23476,0.000761689
1300,130,5.41667,45,5,21,19,26,19,0,0,3,10,33.3333,0.0455783,0.0102838,0.506444,0.724328,0,17,3,0.381882,0.000675,0.489793,0,0,0,0,0.508048,0.288571,0.643812,0,0,0,1.60355e-05,0,0.950217,0.637726,0.236577,0.000840529
1400,140,5.83333,50,5,22,23,28,22,0,0,1,10,33.3333,0.0439647,0.0117137,0.498515,0.774428,0,17,3,0.369887,0.008175,0.489793,0,0,0,0,0.482212,0.266973,0.638698,0,0,0,1.60323e-05,0,0.942051,0.635009,0.237995,0.000911143
1500,150,6.25,52,5,22,25,27,25,0,0,1,9,33.3333,0.042316,0.0130514,0.484942,0.823675,0,17,3,0.356759,0.015675,0.489793,0,0,0,0,0.454704,0.245933,0.632974,0,0,0,3.74542e-05,0,0.933885,0.632278,0.239087,0.000974448
1600,160,6.66667,62,5,27,30,33,29,0,0,1,10,33.3333,0.0406735,0.0143029,0.472554,0.871585,0,17,5,0.345352,0.023175,0.489793,0,0,0,0,0.429968,0.2262,0.625754,0,0,0,0.000101886,0,0.925719,0.629548,0.23991,0.00103138
1700,170,7.08333,66,5,25,36,32,34,0,0,1,9,41.6667,0.0390667,0.0163757,0.470112,0.918759,0,17,8,0.330469,0.04185,0.489793,0,0,0,0,0.402334,0.208997,0.611131,0,0,0,0.000284574,0,0.917062,0.626828,0.240468,0.00108286
1800,180,7.5,70,5,24,41,34,36,0,0,1,9,50,0.037516,0.0232975,0.450864,0.964922,0,17,8,0.316859,0.06915,0.489793,0,0,0,0,0.374062,0.198668,0.596322,0,0,0,0.000568383,0,0.90564,0.624128,0.240619,0.00112969
1900,190,7.91667,78,5,28,45,40,38,0,0,0,9,50,0.0360348,0.0312516,0.436059,1.00915,0,17,10,0.304941,0.097425,0.489793,0,0,0,0,0.348904,0.197215,0.582557,0,0,0,0.00112461,0,0.893391,0.621457,0.240587,0.00117262
2000,200,8.33333,85,5,26,54,42,43,0,0,0,9,50,0.0346315,0.0386925,0.42221,1.05206,0,17,15,0.295552,0.1323,0.489793,0,0,0,0,0.324981,0.196091,0.569935,0,0,0,0.00188691,0,0.881143,0.618821,0.240469,0.00121228
2100,210,8.75,91,5,27,59,44,45,2,0,0,9,50,0.0333106,0.04603,0.406533,1.09355,0,17,17,0.285731,0.169275,0.489793,0,0,0,0,0.300891,0.191364,0.558371,0,0,0,0.011494,0,0.868629,0.616221,0.240283,0.00124923
2200,220,9.16667,93,5,21,67,41,47,5,0,0,10,50,0.0320737,0.0539757,0.393749,1.1336,0,17,17,0.276946,0.204675,0.489793,0,0,0,0,0.279478,0.186609,0.547781,0,0,0,0.044813,0,0.855238,0.61366,0.240044,0.00128392
2300,230,9.58333,100,5,28,67,47,47,6,0,0,10,50,0.0309203,0.0622789,0.380471,1.17219,0,17,17,0.268175,0.234675,0.489793,0,0,0,0,0.259407,0.181237,0.538089,0,0,0,0.101074,0,0.840948,0.61114,0.239763,0.00131675
2400,240,10,103,5,25,73,45,49,9,0,0,8,58.3333,0.0298488,0.0748537,0.362188,1.2094,0,17,17,0.2589,0.264675,0.489793,0,0,0,0,0.239593,0.17393,0.529163,0,0,0,0.179521,0,0.825251,0.608662,0.239427,0.00134804
2500,250,10.4167,104,5,24,75,42,49,13,0,0,8,58.3333,0.028856,0.0962149,0.342381,1.24465,0,17,17,0.251079,0.294675,0.489793,0,0,0,0,0.22211,0.167883,0.520902,0,0,0,0.280337,0,0.805859,0.606226,0.239029,0.00137804
2600,260,10.8333,110,5,27,78,46,51,13,0,0,9,58.3333,0.0279385,0.11608,0.330487,1.27805,0,17,17,0.243858,0.324675,0.489781,0,0,0,0,0.205919,0.172623,0.513352,0,0,0,0.403677,0,0.785448,0.603831,0.238621,0.00140698
2700,270,11.25,114,5,23,86,44,55,15,0,0,9,62.5,0.027092,0.136091,0.313506,1.31044,0,17,17,0.23627,0.354675,0.48969,0,0,0,0,0.190117,0.174058,0.506419,0,0,0,0.549562,0,0.764325,0.601476,0.238191,0.00143497
2800,280,11.6667,119,5,27,87,48,54,17,0,0,9,66.6667,0.026311,0.158137,0.293943,1.34081,0,17,17,0.230197,0.387675,0.48942,0,0,0,0,0.176327,0.168437,0.500024,0,0,0,0.71864,0,0.741891,0.599161,0.237736,0.00146204
2900,290,12.0833,120,5,24,91,46,52,22,0,0,10,66.6667,0.02559,0.18455,0.275949,1.36938,0,17,17,0.224545,0.42015,0.48893,0,0,0,0,0.163573,0.169269,0.494088,0,0,0,0.798756,0,0.717458,0.596882,0.237245,0.00148809
3000,300,12.5,125,5,23,97,47,56,22,0,0,10,66.6667,0.0249234,0.207696,0.255921,1.39594,0,17,17,0.218459,0.45225,0.488252,0,0,0,0,0.151151,0.163427,0.488645,0,0,0,0.798741,0,0.693084,0.594639,0.236755,0.00151304
3100,310,12.9167,128,5,21,102,48,56,22,2,0,10,70.8333,0.0243063,0.235326,0.237773,1.42066,0,17,17,0.21381,0.488175,0.487422,0,0,0,0,0.140354,0.159445,0.483591,0,0,0,0.798715,0,0.666869,0.59243,0.236241,0.00153682
3200,320,13.3333,132,5,21,106,50,57,21,4,0,8,75,0.0237345,0.272612,0.218504,1.44343,0,17,17,0.209631,0.5265,0.486471,0,0,0,0,0.130474,0.156284,0.478836,0,0,0,0.798681,0,0.637082,0.590252,0.235686,0.00155942
3300,330,13.75,136,5,23,108,50,58,23,5,0,7,75,0.0232041,0.305815,0.201635,1.46439,0,17,17,0.205025,0.567975,0.485425,0,0,0,0,0.120863,0.153529,0.474442,0,0,0,0.798637,0,0.606934,0.588105,0.235129,0.00158085
3400,340,14.1667,138,5,22,111,46,61,24,7,0,8,75,0.0227116,0.3339,0.197159,1.4842,0,17,17,0.201493,0.612225,0.484302,0,0,0,0,0.112362,0.16908,0.470385,0,0,0,0.798589,0,0.576921,0.585987,0.234575,0.00160112
3500,350,14.5833,138,5,22,111,46,60,22,10,0,9,79.1667,0.0222539,0.361297,0.200983,1.50415,0,16,16,0.198164,0.657,0.483058,0,0,0,0,0.104449,0.210413,0.466598,0,0,0,0.79854,0,0.54616,0.583896,0.23401,0.00162026
3600,360,15,139,5,22,112,48,60,22,9,0,9,79.1667,0.0218281,0.392054,0.190947,1.52369,0,16,16,0.194144,0.7023,0.48169,0,0,0,0,0.0966355,0.230085,0.463015,0,0,0,0.798489,0,0.513477,0.581831,0.233419,0.00163831
3700,370,15.4167,140,5,23,112,46,62,23,9,0,8,100,0.0214315,0.420277,0.184052,1.54269,0,16,16,0.191042,0.74835,0.480211,0,0,0,0,0.089756,0.257146,0.459625,0,0,0,0.79844,0,0.480379,0.579789,0.232807,0.00165529
3800,380,15.8333,0,0,0,0,0,0,0,0,0,8,100,0.0210893,0.458312,0.159848,1.55963,0,16,16,0.188157,0.79545,0.485438,0,0,0,0,0.083414,0.278804,0.456389,0,0,0,0.798389,0,0.408892,0.577769,0.23217,0.00167525
3900,390,16.25,0,0,0,0,0,0,0,0,0,8,100,0.0208099,0.489446,0.146522,1.57496,0,16,16,0.184753,0.843525,0.488255,0,0,0,0,0.0772827,0.315894,0.453381,0,0,0,0.798337,0,0.33623,0.575774,0.231544,0.00169989
4000,400,16.6667,0,0,0,0,0,0,0,0,0,7,100,0.0205659,0.514931,0.132992,1.58894,0,16,16,0.182288,0.89235,0.489255,0,0,0,0,0.0718833,0.349893,0.45056,0,0,0,0.798286,0,0.263045,0.573799,0.230921,0.00172583
4100,410,17.0833,0,0,0,0,0,0,0,0,0,7,100,0.0203453,0.535792,0.121801,1.60167,0,11,11,0.179978,0.9363,0.489698,0,0,0,0,0.0668797,0.404249,0.447898,0,0,0,0.798255,0,0.205391,0.57184,0.230296,0.00175167
4200,420,17.5,0,0,0,0,0,0,0,0,0,5,100,0.0201418,0.552869,0.0718343,1.61195,0,11,11,0.193754,0.98205,0.489792,0,0,0,0,0.0676882,0.427596,0.445356,0,0,0,0.798219,0,0.156403,0.56989,0.22966,0.00177677
4300,430,17.9167,0,0,0,0,0,0,0,0,0,0,100,0.0199528,0.566847,0.063777,1.61866,0,11,11,0.205834,1.03095,0.489792,0,0,0,0,0.0671538,0.395701,0.442915,0,0,0,0.798182,0,0.10741,0.567945,0.22901,0.001801
4400,440,18.3333,0,0,0,0,0,0,0,0,0,0,100,0.0197773,0.578289,0.0587892,1.62478,0,9,9,0.199675,1.0758,0.489792,0,0,0,0,0.0612265,0.366055,0.440562,0,0,0,0.798167,0,0.0584169,0.566004,0.228346,0.00182444
4500,450,18.75,0,0,0,0,0,0,0,0,0,1,100,0.0196147,0.587655,0.0592314,1.63051,0,9,9,0.193296,1.1133,0.489792,0,0,0,0,0.0555204,0.3468,0.438287,0,0,0,0.798183,0,0.00942404,0.564066,0.227668,0.0018472
