step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.265747,0.0141259,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,6,1,11,1,0,0,6,7,4.16667,0.0293801,5.53403e-05,0.491509,0.0520597,0,4,0,0.130612,0,0.0219913,0,0,0,0,0.118418,0.0511995,0.342059,0,0,0,0.000595689,0,0.999854,0.98776,0.2356,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,5,10,8.33333,0.037503,0.000258733,0.678561,0.111574,0,4,0,0.146282,0,0.0499109,0,0,0,0,0.15321,0.220686,0.276809,0,0,0,1.67947e-05,0,0.9993,0.93336,0.20406,1.7775e-05
400,40,1.66667,14,5,6,3,11,3,0,0,8,10,12.5,0.0428088,0.000592775,0.806483,0.186578,0,8,0,0.157439,0,0.0919547,0,0,0,0,0.177678,0.380359,0.437711,0,0,0,1.61607e-05,0,0.998358,0.822315,0.205077,3.96704e-05
500,50,2.08333,16,5,7,4,12,4,0,0,8,10,16.6667,0.0460624,0.00106943,0.800174,0.266851,0,8,0,0.209678,0,0.135215,0,0,0,0,0.198217,0.41852,0.506719,0,0,0,1.60831e-05,0,0.996975,0.691709,0.202437,7.23334e-05
600,60,2.5,19,5,7,7,14,5,0,0,9,10,16.6667,0.0478214,0.00161944,0.772916,0.345575,0,8,0,0.245463,0,0.176296,0,0,0,0,0.210942,0.463751,0.549633,0,0,0,1.60609e-05,0,0.995308,0.654655,0.207658,0.000114407
700,70,2.91667,20,5,7,8,12,8,0,0,7,10,20.8333,0.0484962,0.00243441,0.757696,0.422664,0,12,0,0.28,0,0.213842,0,0,0,0,0.218803,0.483942,0.579398,0,0,0,1.60547e-05,0,0.993256,0.652604,0.214922,0.000163704
800,80,3.33333,21,5,8,8,13,8,0,0,10,9,20.8333,0.048395,0.00326496,0.715463,0.495789,0,12,0,0.319068,0,0.24774,0,0,0,0,0.223615,0.455975,0.59293,0,0,0,1.60515e-05,0,0.990803,0.650529,0.221043,0.000218127
900,90,3.75,27,5,13,9,17,10,0,0,8,10,20.8333,0.0477461,0.00404193,0.702794,0.566739,0,12,0,0.332886,0,0.277159,0,0,0,0,0.222107,0.457332,0.601308,0,0,0,1.60483e-05,0,0.988018,0.648429,0.226203,0.000275739
1000,100,4.16667,29,5,13,11,19,10,0,0,6,10,25,0.046718,0.00501845,0.650742,0.635494,0,17,0,0.355603,0,0.302662,0,0,0,0,0.220045,0.437848,0.622487,0,0,0,1.60451e-05,0,0.984532,0.646304,0.230459,0.000334836
1100,110,4.58333,34,5,17,12,22,12,0,0,6,8,25,0.0454377,0.0060509,0.599379,0.69722,0,17,0,0.375971,0,0.3242,0,0,0,0,0.217217,0.398498,0.642739,0,0,0,1.60419e-05,0,0.980557,0.644156,0.233985,0.00039416
1200,120,5,38,5,18,15,23,15,0,0,5,7,25,0.0439967,0.00701674,0.570932,0.755707,0,17,0,0.380427,0,0.342117,0,0,0,0,0.210289,0.362809,0.656064,0,0,0,1.60387e-05,0,0.976339,0.641987,0.237047,0.00045258
