step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,9,5,4,0,9,0,0,0,3,0,0,0.0173349,0,0.266916,0.0142431,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0.000998434,0.334956,0,0,0,3.55853e-05,0,1,0.996974,0.218841,2.32362e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,10,0,0.0293801,0,0.494811,0.0516177,0,4,0,0.13056,0,0.0219913,0,0,0,0,0.296044,0.0999151,0.411299,0,0,0,1.74756e-05,0,1,0.981637,0.227971,1.5227e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.037539,0,0.671401,0.110857,0,4,0,0.145715,0,0.0764057,0,0,0,0,0.38302,0.275726,0.39677,0,0,0,1.62677e-05,0,1,0.909747,0.201655,4.74151e-07
400,40,1.66667,12,5,6,1,10,2,0,0,9,10,4.16667,0.0430491,2.86221e-05,0.801386,0.185422,0,8,0,0.155812,0,0.164607,0,0,0,0,0.444097,0.492187,0.506048,0,0,0,1.6075e-05,0,0.999925,0.779334,0.200765,1.25379e-06
500,50,2.08333,12,5,4,3,9,3,0,0,9,9,8.33333,0.0466589,0.000203817,0.788663,0.263756,0,8,0,0.211555,0,0.252385,0,0,0,0,0.489444,0.552105,0.555391,0,0,0,1.60611e-05,0,0.999398,0.656679,0.198936,2.57086e-06
600,60,2.5,12,5,3,4,8,4,0,0,9,10,12.5,0.048895,0.000636889,0.635698,0.33822,0,8,0,0.26854,0,0.331745,0,0,0,0,0.525713,0.609681,0.58398,0,0,0,1.60579e-05,0,0.997593,0.654635,0.207637,4.41908e-06
700,70,2.91667,13,5,3,5,8,5,0,0,9,8,12.5,0.0501058,0.00106005,0.564895,0.397716,0,12,0,0.335057,0,0.397448,0,0,0,0,0.554308,0.553846,0.604966,0,0,0,1.60547e-05,0,0.995259,0.652556,0.214998,6.70297e-06
800,80,3.33333,14,5,4,5,9,5,0,0,12,8,12.5,0.0505417,0.00145591,0.554747,0.453541,0,12,0,0.372593,0,0.449112,0,0,0,0,0.567457,0.506449,0.626357,0,0,0,1.60515e-05,0,0.992558,0.650442,0.221198,9.29646e-06
900,90,3.75,17,5,7,5,12,5,0,0,10,8,12.5,0.0503795,0.00182624,0.533572,0.507964,0,12,0,0.392031,0,0.483178,0,0,0,0,0.566288,0.463907,0.641783,0,0,0,1.60483e-05,0,0.989582,0.648296,0.226398,1.20504e-05
1000,100,4.16667,18,5,6,7,12,6,0,0,9,8,12.5,0.0496826,0.00217267,0.512824,0.560358,0,17,0,0.401633,0,0.489793,0,0,0,0,0.559824,0.429862,0.655281,0,0,0,1.60451e-05,0,0.98652,0.646121,0.230742,1.46882e-05
1100,110,4.58333,19,5,7,7,12,7,0,0,8,7,12.5,0.0485781,0.00249676,0.49024,0.610219,0,17,1,0.408519,0.008225,0.489793,0,0,0,0,0.547144,0.400469,0.662614,0,0,0,1.60419e-05,0,0.983458,0.64392,0.234351,1.70972e-05
1200,120,5,22,5,10,7,15,7,0,0,5,7,12.5,0.0472043,0.00279993,0.468077,0.658574,0,17,1,0.395022,0.016975,0.489793,0,0,0,0,0.523657,0.372519,0.666552,0,0,0,4.64298e-05,0,0.980395,0.641698,0.237332,1.92736e-05
1300,130,5.41667,24,5,12,7,17,7,0,0,2,9,12.5,0.0456649,0.00308355,0.467395,0.705543,0,17,5,0.379903,0.0280875,0.489793,0,0,0,0,0.498435,0.362344,0.666594,0,0,0,0.000122884,0,0.977333,0.639459,0.239777,2.12289e-05
1400,140,5.83333,27,5,15,7,20,7,0,0,1,8,12.5,0.0440368,0.00334887,0.488369,0.753752,0,17,5,0.37338,0.0630875,0.489793,0,0,0,0,0.470251,0.403482,0.651353,0,0,0,0.000448518,0,0.974271,0.637208,0.241764,2.29823e-05
1500,150,6.25,31,5,18,8,23,8,0,0,0,10,12.5,0.0423764,0.00359707,0.473863,0.80134,0,17,7,0.372134,0.104563,0.489793,0,0,0,0,0.443317,0.450824,0.636284,0,0,0,0.000840704,0,0.971208,0.634947,0.243362,2.45562e-05
1600,160,6.66667,38,5,23,10,30,8,0,0,0,8,12.5,0.0407244,0.00382926,0.492913,0.85019,0,17,7,0.360074,0.165812,0.489793,0,0,0,0,0.415381,0.490686,0.622201,0,0,0,0.00144745,0,0.968146,0.632662,0.244604,2.59736e-05
1700,170,7.08333,41,5,23,13,29,12,0,0,0,9,16.6667,0.0391099,0.00418771,0.500186,0.899784,0,17,11,0.349328,0.233975,0.489793,0,0,0,0,0.388535,0.531448,0.608805,0,0,0,0.0024655,0,0.964155,0.630274,0.245435,2.72566e-05
1800,180,7.5,48,5,29,14,34,14,0,0,0,9,25,0.0375529,0.00497311,0.494025,0.949528,0,17,11,0.339879,0.31675,0.489793,0,0,0,0,0.361123,0.565536,0.595622,0,0,0,0.0106319,0,0.958877,0.627675,0.245718,2.84252e-05
1900,190,7.91667,51,5,27,19,32,19,0,0,0,10,29.1667,0.0360664,0.00632335,0.490492,0.998852,0,17,11,0.330741,0.402325,0.489793,0,0,0,0,0.336643,0.629807,0.582479,0,0,0,0.0673481,0,0.951885,0.624829,0.245439,2.94975e-05
2000,200,8.33333,57,5,29,23,38,19,0,0,0,10,29.1667,0.0346588,0.00764022,0.478919,1.04731,0,17,16,0.322763,0.496125,0.489793,0,0,0,0,0.313312,0.692339,0.569568,0,0,0,0.183791,0,0.944741,0.621718,0.244725,3.04891e-05
2100,210,8.75,62,5,23,34,38,24,0,0,0,10,29.1667,0.0333342,0.00887213,0.458526,1.0942,0,17,17,0.315752,0.602263,0.489793,0,0,0,0,0.289842,0.748296,0.556565,0,0,0,0.368386,0,0.937596,0.618229,0.243484,3.14134e-05
2200,220,9.16667,69,5,19,45,41,28,0,0,0,7,29.1667,0.0320943,0.0100246,0.436217,1.13904,0,17,17,0.310527,0.709538,0.489793,0,0,0,0,0.269604,0.789132,0.528086,0,0,0,0.625999,0,0.930451,0.609006,0.235068,3.22818e-05
2300,230,9.58333,74,5,15,54,44,30,0,0,0,9,29.1667,0.0309384,0.0111027,0.417486,1.1817,0,17,17,0.301839,0.816725,0.489793,0,0,0,0,0.250071,0.792202,0.498565,0,0,0,0.796947,0,0.923307,0.598485,0.225735,3.31038e-05
2400,240,10,75,5,13,57,41,34,0,0,0,10,33.3333,0.0298647,0.0127881,0.404834,1.22289,0,17,17,0.291257,0.925225,0.489793,0,0,0,0,0.230747,0.810878,0.473028,0,0,0,0.796839,0,0.915795,0.588534,0.217717,3.38875e-05
2500,250,10.4167,78,5,16,57,42,36,0,0,0,10,33.3333,0.0288701,0.0155288,0.363206,1.26198,0,17,17,0.288871,1.03513,0.489793,0,0,0,0,0.21575,0.817302,0.450836,0,0,0,0.796735,0,0.90763,0.579141,0.210789,3.46394e-05
2600,260,10.8333,80,5,14,61,41,39,0,0,0,9,33.3333,0.0279508,0.0180927,0.315663,1.29551,0,17,17,0.301932,1.14818,0.489716,0,0,0,0,0.206175,0.791112,0.431877,0,0,0,0.796628,0,0.899467,0.570285,0.204933,3.53642e-05
2700,270,11.25,82,5,15,62,42,40,0,0,0,8,33.3333,0.0271019,0.0204912,0.295054,1.3259,0,17,17,0.308214,1.26123,0.489488,0,0,0,0,0.195471,0.757559,0.415759,0,0,0,0.796534,0,0.891307,0.561938,0.200016,3.6063e-05
2800,280,11.6667,84,5,16,63,41,42,1,0,0,8,33.3333,0.026318,0.0232553,0.285506,1.35495,0,17,17,0.316766,1.37454,0.489145,0,0,0,0,0.186934,0.705042,0.402129,0,0,0,0.796462,0,0.882779,0.554076,0.195917,3.67441e-05
2900,290,12.0833,86,5,16,65,41,41,4,0,0,8,41.6667,0.0255944,0.0270415,0.274557,1.38298,0,17,17,0.320825,1.48733,0.488689,0,0,0,0,0.178468,0.658264,0.390152,0,0,0,0.796402,0,0.872941,0.546676,0.192323,3.73963e-05
3000,300,12.5,89,5,19,65,43,42,4,0,0,7,41.6667,0.0249263,0.0338795,0.235124,1.40801,0,16,16,0.319383,1.59828,0.488121,0,0,0,0,0.169211,0.614022,0.378984,0,0,0,0.796359,0,0.860769,0.539723,0.188912,3.80271e-05
3100,310,12.9167,91,5,17,69,43,42,6,0,0,10,45.8333,0.0243094,0.0410499,0.239235,1.43179,0,16,16,0.310008,1.70065,0.487517,0,0,0,0,0.158094,0.606353,0.369617,0,0,0,0.796354,0,0.84833,0.533194,0.186097,3.86289e-05
3200,320,13.3333,94,5,16,73,44,41,9,0,0,10,50,0.02374,0.054756,0.231704,1.45537,0,16,16,0.30065,1.8018,0.486909,0,0,0,0,0.148141,0.593388,0.361042,0,0,0,0.796357,0,0.833451,0.527064,0.183488,3.92089e-05
3300,330,13.75,97,5,15,77,44,44,9,0,0,10,50,0.0232149,0.0673205,0.224435,1.47802,0,16,16,0.290216,1.90199,0.486293,0,0,0,0,0.13858,0.588786,0.35371,0,0,0,0.796376,0,0.818374,0.521306,0.181277,3.97695e-05
3400,340,14.1667,97,5,15,77,44,42,11,0,0,8,50,0.0227303,0.0784723,0.195229,1.49896,0,16,16,0.28109,2.00051,0.485619,0,0,0,0,0.130428,0.578879,0.347651,0,0,0,0.796408,0,0.803347,0.515895,0.179487,4.03116e-05
3500,350,14.5833,98,5,14,79,42,43,13,0,0,6,50,0.0222829,0.0883778,0.185628,1.5181,0,16,16,0.284913,2.09816,0.48488,0,0,0,0,0.126338,0.542919,0.342694,0,0,0,0.796447,0,0.788373,0.510804,0.178057,4.08353e-05
3600,360,15,98,5,12,81,40,45,13,0,0,6,50,0.0218697,0.0971832,0.179719,1.53637,0,16,16,0.279525,2.1952,0.484082,0,0,0,0,0.118165,0.507102,0.338684,0,0,0,0.796492,0,0.773452,0.506009,0.176935,4.13415e-05
3700,370,15.4167,101,5,15,81,42,44,15,0,0,5,50,0.0214877,0.105017,0.175396,1.55414,0,16,16,0.274258,2.29119,0.483204,0,0,0,0,0.111148,0.476168,0.335486,0,0,0,0.796545,0,0.758585,0.501488,0.176073,4.18308e-05
3800,380,15.8333,102,5,15,82,42,44,16,0,0,5,54.1667,0.0211343,0.118412,0.168094,1.57129,0,16,16,0.268244,2.3856,0.482234,0,0,0,0,0.104699,0.447886,0.332898,0,0,0,0.796595,0,0.742,0.49722,0.175398,4.23035e-05
3900,390,16.25,106,5,19,82,44,43,19,0,0,4,54.1667,0.0208068,0.131251,0.160624,1.58771,0,16,16,0.260638,2.47879,0.481173,0,0,0,0,0.0983071,0.420739,0.330903,0,0,0,0.796645,0,0.724978,0.493186,0.174909,4.27713e-05
4000,400,16.6667,109,5,19,85,45,44,20,0,0,4,54.1667,0.0205026,0.143281,0.147675,1.60321,0,16,16,0.253776,2.57171,0.480026,0,0,0,0,0.0927538,0.39746,0.329422,0,0,0,0.796699,0,0.707312,0.48937,0.17458,4.3209e-05
4100,410,17.0833,112,5,20,87,46,45,19,2,0,4,54.1667,0.0202195,0.15384,0.144588,1.61783,0,12,12,0.246682,2.64994,0.478798,0,0,0,0,0.0875952,0.373396,0.328377,0,0,0,0.796778,0,0.689718,0.485757,0.174383,4.36286e-05
4200,420,17.5,114,5,19,90,47,45,19,3,0,4,54.1667,0.0199556,0.163111,0.142836,1.6322,0,12,12,0.238533,2.71801,0.477496,0,0,0,0,0.0824733,0.34859,0.327695,0,0,0,0.79687,0,0.672196,0.482331,0.174295,4.40299e-05
4300,430,17.9167,117,5,16,96,45,50,18,4,0,4,54.1667,0.0197089,0.171251,0.141735,1.64645,0,12,12,0.231454,2.78679,0.476129,0,0,0,0,0.0780981,0.327455,0.327315,0,0,0,0.796956,0,0.654752,0.479078,0.174295,4.44125e-05
4400,440,18.3333,117,5,16,96,44,48,20,5,0,5,58.3333,0.0194779,0.179228,0.142711,1.66062,0,8,8,0.224498,2.84331,0.474704,0,0,0,0,0.0740787,0.311023,0.327167,0,0,0,0.797065,0,0.637166,0.475983,0.174358,4.4777e-05
4500,450,18.75,119,5,17,97,44,48,21,6,0,4,62.5,0.019261,0.193957,0.134804,1.67443,0,8,8,0.215403,2.87954,0.473231,0,0,0,0,0.0689703,0.286201,0.326339,0,0,0,0.797222,0,0.617109,0.473037,0.174123,4.51229e-05
4600,460,19.1667,118,5,17,96,44,47,22,5,0,5,70.8333,0.019057,0.222851,0.138327,1.68809,0,8,8,0.204392,2.9169,0.471696,0,0,0,0,0.0619023,0.286419,0.325417,0,0,0,0.797364,0,0.593135,0.470228,0.173827,4.54504e-05
4700,470,19.5833,120,5,16,99,45,48,22,5,0,5,70.8333,0.0188643,0.254361,0.143114,1.70203,0,3,3,0.194641,2.94954,0.470063,0,0,0,0,0.0556855,0.30162,0.324665,0,0,0,0.797504,0,0.567472,0.467545,0.173578,4.57586e-05
4800,480,20,122,5,20,97,47,48,21,6,0,4,75,0.0186813,0.290114,0.133631,1.71588,0,3,3,0.185221,2.95829,0.468319,0,0,0,0,0.0500375,0.29867,0.324014,0,0,0,0.79773,0,0.53963,0.464978,0.173351,4.60459e-05
4900,490,20.4167,121,5,20,96,46,48,21,6,0,4,75,0.0185067,0.322156,0.126209,1.72888,0,3,3,0.177595,2.96704,0.466468,0,0,0,0,0.045262,0.296927,0.323512,0,0,0,0.797934,0,0.511364,0.462517,0.173166,4.63108e-05
5000,500,20.8333,124,5,22,97,48,48,22,6,0,5,79.1667,0.0183393,0.356467,0.118381,1.7411,0,3,3,0.170818,2.97579,0.464522,0,0,0,0,0.0409582,0.296768,0.323058,0,0,0,0.79811,0,0.481407,0.460152,0.172985,4.65522e-05
