step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.259119,0.0139147,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,6,1,11,1,0,0,6,10,4.16667,0.0293801,8.48457e-05,0.511694,0.052046,0,4,0,0.130512,0,0.0219913,0,0,0,0,0.296044,0.132983,0.306841,0,0,0,0.000509469,0,0.999775,0.97576,0.220312,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.037539,0.000507538,0.695706,0.113227,0,4,0,0.145024,0,0.0764057,0,0,0,0,0.38302,0.371763,0.276528,0,0,0,1.69836e-05,0,0.998625,0.872859,0.197897,1.91835e-05
400,40,1.66667,12,5,4,3,9,3,0,0,8,10,12.5,0.0430491,0.000939046,0.83404,0.19021,0,8,0,0.152909,0,0.164607,0,0,0,0,0.444097,0.580172,0.445036,0,0,0,1.63219e-05,0,0.997375,0.680943,0.190877,5.07042e-05
500,50,2.08333,15,5,6,4,11,4,0,0,8,10,16.6667,0.0466501,0.00145365,0.615504,0.259912,0,8,0,0.248577,0,0.249546,0,0,0,0,0.509325,0.580622,0.51632,0,0,0,1.6119e-05,0,0.995691,0.656681,0.198922,0.000103451
600,60,2.5,18,5,7,6,13,5,0,0,8,7,16.6667,0.0488465,0.00197887,0.556624,0.319646,0,8,0,0.323943,0,0.324957,0,0,0,0,0.551311,0.543465,0.543953,0,0,0,1.60758e-05,0,0.993271,0.654655,0.207654,0.000175674
700,70,2.91667,19,5,7,7,12,7,0,0,8,7,16.6667,0.0500006,0.0024702,0.535523,0.37382,0,12,0,0.362442,0,0.388096,0,0,0,0,0.572978,0.489573,0.581451,0,0,0,1.60588e-05,0,0.990278,0.652599,0.215042,0.000263626
800,80,3.33333,23,5,9,9,14,9,0,0,9,7,16.6667,0.0503773,0.00292984,0.546408,0.427853,0,12,0,0.380715,0,0.438684,0,0,0,0,0.580027,0.442182,0.603412,0,0,0,1.60515e-05,0,0.986813,0.65051,0.221267,0.000362793
900,90,3.75,27,5,11,11,17,10,0,0,7,10,20.8333,0.0501743,0.00368189,0.555454,0.483327,0,12,0,0.378521,0,0.477912,0,0,0,0,0.570554,0.42403,0.617521,0,0,0,1.60483e-05,0,0.982131,0.648388,0.226383,0.000468698
