step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.265193,0.0140771,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,4,3,9,3,0,0,6,10,16.6667,0.0293801,0.000231707,0.499213,0.0521297,0,4,0,0.13059,0,0.0219913,0,0,0,0,0.118418,0.089956,0.329006,0,0,0,0.000576476,0,0.999388,0.983684,0.229971,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,16.6667,0.037503,0.00083576,0.672612,0.111708,0,4,0,0.14579,0,0.0499109,0,0,0,0,0.15321,0.267363,0.276549,0,0,0,1.69624e-05,0,0.997721,0.909235,0.201543,1.7775e-05
400,40,1.66667,13,5,5,3,10,3,0,0,8,10,16.6667,0.0428088,0.00140084,0.791131,0.18541,0,8,0,0.155748,0,0.0919547,0,0,0,0,0.177678,0.477889,0.445107,0,0,0,1.61637e-05,0,0.996054,0.769702,0.199781,3.96704e-05
500,50,2.08333,15,5,5,5,11,4,0,0,8,10,16.6667,0.0460614,0.00192947,0.685903,0.258399,0,8,0,0.250889,0,0.134943,0,0,0,0,0.20371,0.492836,0.53884,0,0,0,1.60858e-05,0,0.994388,0.656698,0.198943,7.22865e-05
600,60,2.5,16,5,5,6,11,5,0,0,9,9,16.6667,0.0478174,0.00242399,0.606316,0.322825,0,8,0,0.324232,0,0.175839,0,0,0,0,0.220617,0.483243,0.573587,0,0,0,1.6066e-05,0,0.992721,0.654696,0.207702,0.000114197
700,70,2.91667,20,5,8,7,13,7,0,0,9,6,20.8333,0.0484894,0.00293216,0.60078,0.383,0,12,0,0.354727,0,0.213346,0,0,0,0,0.2286,0.461698,0.590814,0,0,0,1.60547e-05,0,0.990969,0.652677,0.21511,0.000163299
800,80,3.33333,22,5,8,9,13,9,0,0,8,9,20.8333,0.0483835,0.0037306,0.604249,0.443436,0,12,0,0.365014,0,0.246739,0,0,0,0,0.230406,0.444538,0.605796,0,0,0,1.60515e-05,0,0.988537,0.65064,0.221256,0.0002174
900,90,3.75,24,5,8,11,13,11,0,0,7,10,25,0.0477273,0.00480678,0.54254,0.500448,0,12,0,0.400055,0,0.275816,0,0,0,0,0.231428,0.427756,0.618572,0,0,0,1.60483e-05,0,0.985292,0.648583,0.226338,0.000274482
1000,100,4.16667,26,5,9,12,14,12,0,0,7,10,29.1667,0.0466901,0.00589842,0.511417,0.553103,0,17,0,0.422953,0,0.300766,0,0,0,0,0.230286,0.414816,0.639074,0,0,0,1.60451e-05,0,0.981582,0.646509,0.230597,0.000332868
1100,110,4.58333,30,5,10,15,16,14,0,0,7,9,33.3333,0.0453987,0.00743745,0.492716,0.603313,0,17,0,0.427099,0,0.32195,0,0,0,0,0.225314,0.403711,0.649624,0,0,0,1.60419e-05,0,0.976661,0.644418,0.234037,0.00039126
1200,120,5,31,5,9,17,15,16,0,0,5,10,33.3333,0.0439473,0.00905105,0.452366,0.650638,0,17,0,0.436527,0,0.339799,0,0,0,0,0.219262,0.395051,0.656646,0,0,0,1.60387e-05,0,0.971106,0.642314,0.236875,0.000448702
