step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,9,5,4,0,9,0,0,0,3,0,0,0.0173675,0,0.267527,0.0142355,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.83273e-08
200,20,0.833333,11,5,6,0,11,0,0,0,6,9,0,0.029496,0,0.474709,0.0513082,0,2,0,0.130603,0,0.0267037,0,0,0,0,0.296015,0.0691351,0.339215,0,0,0,2.17379e-05,0,1,0.986677,0.234354,1.86436e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.0377695,0,0.63309,0.107332,0,2,0,0.146362,0,0.0831024,0,0,0,0,0.382939,0.233874,0.278557,0,0,0,1.62392e-05,0,1,0.942595,0.205682,5.70684e-07
400,40,1.66667,12,5,6,1,11,1,0,0,9,10,4.16667,0.0434103,5.84638e-05,0.758411,0.177696,0,4,0,0.158246,0,0.172636,0,0,0,0,0.443933,0.454426,0.307278,0,0,0,1.6078e-05,0,0.999846,0.854388,0.20835,1.45102e-06
500,50,2.08333,12,5,6,1,11,1,0,0,9,10,4.16667,0.0471537,0.000209442,0.783156,0.254297,0,4,0,0.226314,0,0.260429,0,0,0,0,0.494714,0.53591,0.333356,0,0,0,1.60611e-05,0,0.999381,0.731617,0.206504,2.90626e-06
600,60,2.5,14,5,7,2,12,2,0,0,9,9,4.16667,0.0495129,0.000350681,0.741393,0.331745,0,4,0,0.294717,0,0.340007,0,0,0,0,0.530144,0.565544,0.355699,0,0,0,1.60579e-05,0,0.998752,0.654717,0.207751,4.92e-06
700,70,2.91667,15,5,6,4,12,3,0,0,7,10,8.33333,0.0508507,0.000589156,0.664857,0.402547,0,6,0,0.367812,0,0.407748,0,0,0,0,0.559757,0.578652,0.37629,0,0,0,1.60547e-05,0,0.997427,0.652716,0.215189,7.41818e-06
800,80,3.33333,18,5,9,4,14,4,0,0,10,9,8.33333,0.0514234,0.000860648,0.613517,0.465184,0,6,0,0.426474,0,0.462789,0,0,0,0,0.57467,0.566898,0.504639,0,0,0,1.60515e-05,0,0.99561,0.6507,0.22149,1.02898e-05
900,90,3.75,20,5,9,6,14,6,0,0,8,10,8.33333,0.0514248,0.00111462,0.564266,0.524353,0,6,0,0.464643,0,0.506462,0,0,0,0,0.576369,0.572882,0.569642,0,0,0,1.60483e-05,0,0.99357,0.648665,0.2268,1.34234e-05
1000,100,4.16667,21,5,10,6,15,6,0,0,7,7,8.33333,0.0509966,0.00135222,0.510929,0.578039,0,10,0,0.475923,0,0.539296,0,0,0,0,0.571187,0.550093,0.623551,0,0,0,1.60451e-05,0,0.991349,0.64661,0.231252,1.6704e-05
1100,110,4.58333,25,5,13,7,19,6,0,0,7,7,8.33333,0.0502399,0.00157448,0.48022,0.627467,0,10,0,0.470764,0,0.562676,0,0,0,0,0.558104,0.528385,0.656549,0,0,0,1.60419e-05,0,0.988998,0.644531,0.234964,2.00127e-05
