step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.266488,0.0141231,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,6,1,12,0,0,0,6,10,0,0.029496,0,0.50662,0.0524364,0,2,0,0.130574,0,0.0267037,0,0,0,0,0.296015,0.0775187,0.329497,0,0,0,0.00056343,0,1,0.983344,0.230133,7.55031e-06
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.0377695,0,0.695126,0.113172,0,2,0,0.146038,0,0.0831024,0,0,0,0,0.382939,0.186318,0.276739,0,0,0,1.81667e-05,0,1,0.929082,0.203604,2.30885e-05
400,40,1.66667,12,5,6,1,11,1,0,0,9,10,4.16667,0.0434103,1.27633e-05,0.861604,0.191783,0,4,0,0.157253,0,0.172636,0,0,0,0,0.443933,0.371144,0.307228,0,0,0,1.63752e-05,0,0.999967,0.824264,0.205318,5.86742e-05
500,50,2.08333,14,5,5,4,10,4,0,0,9,9,12.5,0.047147,0.000435597,0.895202,0.279291,0,4,0,0.202169,0,0.258604,0,0,0,0,0.492361,0.465808,0.333231,0,0,0,1.61944e-05,0,0.998685,0.668246,0.200117,0.000117091
600,60,2.5,19,5,8,6,13,6,0,0,9,10,16.6667,0.0494854,0.000903527,0.856111,0.368757,0,4,0,0.259365,0,0.336369,0,0,0,0,0.526423,0.491854,0.355596,0,0,0,1.61215e-05,0,0.996654,0.654702,0.207708,0.000197027
700,70,2.91667,19,5,8,6,13,6,0,0,7,10,16.6667,0.0507876,0.00146424,0.796748,0.451649,0,6,0,0.311475,0,0.401231,0,0,0,0,0.552648,0.501624,0.374612,0,0,0,1.60891e-05,0,0.99353,0.652663,0.215111,0.00029505
800,80,3.33333,23,5,11,7,17,6,0,0,9,9,16.6667,0.0513056,0.00198878,0.717618,0.52621,0,6,0,0.365485,0,0.452555,0,0,0,0,0.569731,0.47611,0.390714,0,0,0,1.6066e-05,0,0.989919,0.650586,0.221344,0.000405993
900,90,3.75,26,5,14,7,19,7,0,0,7,8,16.6667,0.0512304,0.00247947,0.687209,0.596225,0,6,0,0.378945,0,0.492056,0,0,0,0,0.56573,0.45211,0.404307,0,0,0,1.60585e-05,0,0.985929,0.648472,0.22657,0.000524724
