step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.266935,0.0141611,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,6,1,11,1,0,0,6,10,4.16667,0.029496,8.94703e-05,0.531747,0.0533284,0,2,0,0.130533,0,0.0267037,0,0,0,0,0.296015,0.120174,0.313285,0,0,0,0.00052776,0,0.999763,0.977982,0.223112,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.0377695,0.000252803,0.722482,0.11722,0,2,0,0.145376,0,0.0831024,0,0,0,0,0.382939,0.291903,0.276602,0,0,0,1.65115e-05,0,0.999308,0.895806,0.200222,2.30885e-05
400,40,1.66667,13,5,4,4,9,4,0,0,9,10,16.6667,0.0434103,0.000667464,0.846439,0.196448,0,4,0,0.154954,0,0.172636,0,0,0,0,0.443933,0.451797,0.307019,0,0,0,1.61474e-05,0,0.998154,0.762709,0.199079,5.86742e-05
500,50,2.08333,15,5,5,5,10,5,0,0,8,10,16.6667,0.0471497,0.0012434,0.797876,0.278148,0,4,0,0.198751,0,0.259371,0,0,0,0,0.491671,0.535757,0.333179,0,0,0,1.60912e-05,0,0.996291,0.656695,0.198941,0.000117234
600,60,2.5,19,5,8,6,13,6,0,0,8,8,20.8333,0.0494923,0.00194371,0.667938,0.353035,0,4,0,0.25019,0,0.336664,0,0,0,0,0.524836,0.56253,0.355349,0,0,0,1.60715e-05,0,0.993461,0.654684,0.207608,0.000197449
700,70,2.91667,21,5,7,9,13,8,0,0,6,10,20.8333,0.0507972,0.00280591,0.672397,0.4197,0,6,0,0.266431,0,0.402037,0,0,0,0,0.538416,0.557253,0.373961,0,0,0,1.60594e-05,0,0.989522,0.652629,0.214847,0.000295742
800,80,3.33333,24,5,9,10,15,9,0,0,8,10,20.8333,0.0513211,0.0036125,0.632087,0.483463,0,6,0,0.286048,0,0.453602,0,0,0,0,0.545484,0.543333,0.389684,0,0,0,1.60532e-05,0,0.984964,0.65051,0.220925,0.000407222
900,90,3.75,30,5,14,11,19,11,0,0,6,10,25,0.0512514,0.00466389,0.60536,0.545812,0,6,0,0.294934,0,0.493178,0,0,0,0,0.539383,0.545846,0.402662,0,0,0,1.60483e-05,0,0.979123,0.648327,0.225897,0.000526553
1000,100,4.16667,32,5,14,13,18,14,0,0,4,10,29.1667,0.0507364,0.00586961,0.547992,0.604405,0,10,0,0.309278,0,0.522799,0,0,0,0,0.532993,0.535818,0.486469,0,0,0,1.60451e-05,0,0.972225,0.64609,0.229969,0.000649192
1100,110,4.58333,38,5,19,14,24,14,0,0,3,10,29.1667,0.0498924,0.00721575,0.555707,0.658665,0,10,0,0.309672,0,0.544624,0,0,0,0,0.518693,0.537861,0.591527,0,0,0,1.60419e-05,0,0.96433,0.643808,0.233281,0.000771384
1200,120,5,42,5,15,22,24,18,0,0,3,8,33.3333,0.0488131,0.00857326,0.560641,0.71477,0,10,0,0.300464,0,0.56059,0,0,0,0,0.497099,0.52631,0.610831,0,0,0,1.60387e-05,0,0.955862,0.641487,0.235981,0.00089043
1300,130,5.41667,49,5,24,20,29,20,0,0,2,10,33.3333,0.0475736,0.0101136,0.559514,0.770715,0,10,0,0.293241,0,0.572196,0,0,0,0,0.476455,0.516678,0.609806,0,0,0,1.60355e-05,0,0.946317,0.639136,0.238119,0.00100453
1400,140,5.83333,55,5,25,25,32,23,0,0,2,10,33.3333,0.0462334,0.0115545,0.555923,0.826453,0,10,0,0.281209,0,0.58058,0,0,0,0,0.451938,0.475533,0.59812,0,0,0,1.60323e-05,0,0.936611,0.636759,0.239842,0.00111263
1500,150,6.25,61,5,29,27,35,26,0,0,2,10,37.5,0.0448389,0.0130165,0.546773,0.881577,0,10,1,0.267798,0,0.586463,0,0,0,0,0.424422,0.426365,0.587108,0,0,0,1.60291e-05,0,0.926719,0.634362,0.241201,0.00121418
1600,160,6.66667,69,5,29,35,38,31,0,0,2,10,37.5,0.0434219,0.0161111,0.535927,0.935775,0,10,1,0.257137,0,0.589857,0,0,0,0,0.399539,0.385086,0.576586,0,0,0,1.60259e-05,0,0.915602,0.631947,0.242183,0.00130863
1700,170,7.08333,75,5,29,41,40,35,0,0,2,10,37.5,0.0420078,0.019006,0.533287,0.989017,0,10,5,0.247792,0,0.591979,0,0,0,0,0.37521,0.361763,0.566722,0,0,0,1.60227e-05,0,0.904461,0.629517,0.242909,0.00139586
1800,180,7.5,79,5,29,45,40,39,0,0,2,8,45.8333,0.0406188,0.0232704,0.514552,1.04151,0,10,5,0.238747,0,0.59333,0,0,0,0,0.349991,0.326418,0.557316,0,0,0,1.60195e-05,0,0.892286,0.627073,0.24335,0.00147634
1900,190,7.91667,84,5,27,52,40,44,0,0,0,10,50,0.0392726,0.0304862,0.496767,1.09218,0,10,5,0.231654,0,0.59418,0,0,0,0,0.327345,0.302362,0.550007,0,0,0,1.60163e-05,0,0.877929,0.624617,0.243478,0.00155082
