step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.265083,0.014067,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,11,1,0,0,6,9,4.16667,0.029496,9.56222e-05,0.513104,0.0524456,0,2,0,0.130557,0,0.0267037,0,0,0,0,0.296015,0.0990742,0.321651,0,0,0,0.000547945,0,0.999746,0.980855,0.226746,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.0377695,0.000318222,0.713389,0.114941,0,2,0,0.145621,0,0.0831024,0,0,0,0,0.382939,0.271214,0.276616,0,0,0,1.70237e-05,0,0.999133,0.903903,0.201037,2.30885e-05
400,40,1.66667,12,5,4,3,9,3,0,0,7,10,12.5,0.0434103,0.000635815,0.849447,0.193818,0,4,0,0.15534,0,0.172636,0,0,0,0,0.443933,0.451412,0.307026,0,0,0,1.63125e-05,0,0.998225,0.761224,0.198933,5.86742e-05
500,50,2.08333,15,5,7,3,12,3,0,0,8,10,12.5,0.0471468,0.00105905,0.76992,0.274246,0,4,0,0.199886,0,0.258394,0,0,0,0,0.49494,0.535747,0.333136,0,0,0,1.61395e-05,0,0.996831,0.656676,0.198922,0.000117078
600,60,2.5,17,5,7,5,12,5,0,0,9,9,16.6667,0.0494756,0.00152899,0.637479,0.34584,0,4,0,0.248301,0,0.334137,0,0,0,0,0.529195,0.562614,0.355216,0,0,0,1.60844e-05,0,0.994643,0.654566,0.207543,0.000196449
700,70,2.91667,20,5,9,6,14,6,0,0,5,8,16.6667,0.0507533,0.00204935,0.603863,0.406659,0,6,0,0.287629,0,0.397232,0,0,0,0,0.551309,0.509245,0.37363,0,0,0,1.60675e-05,0,0.991571,0.6523,0.214682,0.000292772
800,80,3.33333,25,5,11,9,17,8,0,0,7,5,16.6667,0.0512415,0.00253614,0.616347,0.467126,0,6,0,0.297037,0,0.447614,0,0,0,0,0.554963,0.455817,0.388884,0,0,0,1.60597e-05,0,0.988031,0.649885,0.220542,0.000401213
900,90,3.75,28,5,14,9,19,9,0,0,6,10,25,0.0511373,0.0033413,0.618661,0.529169,0,6,0,0.289349,0,0.48659,0,0,0,0,0.543703,0.444236,0.401189,0,0,0,1.6052e-05,0,0.983196,0.647353,0.225211,0.000516985
