step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.258221,0.0138492,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,10,8.33333,0.029496,0.000173232,0.487077,0.0508909,0,2,0,0.130569,0,0.0267037,0,0,0,0,0.296015,0.0810252,0.327392,0,0,0,0.000558354,0,0.999538,0.982957,0.229252,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000489089,0.665529,0.109412,0,2,0,0.145906,0,0.0831024,0,0,0,0,0.382939,0.235957,0.276733,0,0,0,1.69241e-05,0,0.998658,0.920163,0.202709,2.30885e-05
400,40,1.66667,13,5,5,3,10,3,0,0,8,10,16.6667,0.0434103,0.000961448,0.80933,0.183899,0,4,0,0.156562,0,0.172636,0,0,0,0,0.443933,0.418298,0.307077,0,0,0,1.62957e-05,0,0.997304,0.801161,0.202947,5.86742e-05
500,50,2.08333,13,5,4,4,9,4,0,0,8,10,16.6667,0.0471469,0.00151842,0.729773,0.260235,0,4,0,0.240808,0,0.258426,0,0,0,0,0.505327,0.436429,0.333202,0,0,0,1.61367e-05,0,0.995446,0.659056,0.199186,0.000117082
600,60,2.5,17,5,8,4,13,4,0,0,10,10,16.6667,0.0494766,0.00203946,0.669299,0.330341,0,4,0,0.299005,0,0.334347,0,0,0,0,0.542646,0.4443,0.355612,0,0,0,1.60848e-05,0,0.992944,0.654704,0.207715,0.000196507
700,70,2.91667,19,5,9,5,14,5,0,0,8,10,16.6667,0.0507571,0.00252689,0.631939,0.395331,0,6,0,0.340897,0,0.397758,0,0,0,0,0.565854,0.467908,0.37471,0,0,0,1.60566e-05,0,0.989866,0.652695,0.215154,0.000293023
800,80,3.33333,21,5,8,8,13,8,0,0,10,10,20.8333,0.0512505,0.00320698,0.585802,0.455886,0,6,0,0.378788,0,0.448553,0,0,0,0,0.578679,0.471726,0.390742,0,0,0,1.60515e-05,0,0.985769,0.650672,0.221364,0.000401873
900,90,3.75,24,5,10,9,15,9,0,0,10,10,20.8333,0.0511544,0.00398769,0.543711,0.512372,0,6,0,0.3931,0,0.488103,0,0,0,0,0.575205,0.473501,0.404252,0,0,0,1.60483e-05,0,0.98086,0.648634,0.226564,0.000518362
1000,100,4.16667,28,5,11,12,17,11,0,0,9,8,25,0.0506208,0.00482373,0.535647,0.565934,0,10,0,0.391711,0,0.518306,0,0,0,0,0.563099,0.461389,0.490296,0,0,0,1.60451e-05,0,0.975285,0.646582,0.230914,0.000638373
1100,110,4.58333,31,5,11,15,18,13,0,0,7,7,25,0.0497683,0.00586875,0.526371,0.618884,0,10,0,0.387996,0,0.541047,0,0,0,0,0.545128,0.444985,0.600478,0,0,0,1.60419e-05,0,0.968627,0.644518,0.234498,0.000758565
1200,120,5,39,5,17,17,24,15,0,0,6,6,25,0.04869,0.00684634,0.515496,0.671135,0,10,0,0.380687,0,0.558012,0,0,0,0,0.52262,0.42844,0.639984,0,0,0,1.60387e-05,0,0.961714,0.642443,0.237496,0.000876405
