step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173675,0,0.267315,0.0142151,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.83273e-08
200,20,0.833333,10,5,5,0,10,0,0,0,6,9,0,0.029496,0,0.477682,0.0515075,0,2,0,0.130593,0,0.0267037,0,0,0,0,0.296015,0.0732261,0.335771,0,0,0,2.3795e-05,0,1,0.985497,0.232858,1.86436e-07
300,30,1.25,10,5,5,0,10,0,0,0,6,10,0,0.0377695,0,0.626131,0.107098,0,2,0,0.146275,0,0.0831024,0,0,0,0,0.382939,0.203683,0.276819,0,0,0,1.64859e-05,0,1,0.939097,0.204637,5.70684e-07
400,40,1.66667,12,5,7,0,12,0,0,0,9,10,0,0.0434103,0,0.751803,0.176658,0,4,0,0.157931,0,0.172636,0,0,0,0,0.443933,0.392166,0.307296,0,0,0,1.62275e-05,0,1,0.842637,0.207182,1.45102e-06
500,50,2.08333,12,5,6,1,11,1,0,0,8,9,4.16667,0.0471528,3.33591e-05,0.706028,0.248142,0,4,0,0.223798,0,0.260461,0,0,0,0,0.492363,0.425197,0.333321,0,0,0,1.61173e-05,0,0.999887,0.711117,0.20444,2.90505e-06
600,60,2.5,14,5,8,1,13,1,0,0,8,10,4.16667,0.0495171,0.000185957,0.672388,0.318117,0,4,0,0.257233,0,0.34076,0,0,0,0,0.52027,0.442556,0.355691,0,0,0,1.6083e-05,0,0.999235,0.654714,0.207748,4.92589e-06
700,70,2.91667,15,5,8,2,13,2,0,0,6,10,4.16667,0.0508549,0.000328711,0.673512,0.384353,0,6,0,0.270197,0,0.407144,0,0,0,0,0.533958,0.467061,0.39063,0,0,0,1.60649e-05,0,0.998423,0.65271,0.215193,7.4252e-06
800,80,3.33333,17,5,9,3,14,3,0,0,9,9,4.16667,0.0514104,0.000462255,0.59904,0.447116,0,6,0,0.29588,0,0.459165,0,0,0,0,0.543113,0.457785,0.463583,0,0,0,1.60571e-05,0,0.997485,0.650691,0.221491,1.02678e-05
900,90,3.75,18,5,7,6,13,5,0,0,7,9,12.5,0.0513663,0.000653597,0.558686,0.504863,0,6,0,0.323684,0,0.498482,0,0,0,0,0.544385,0.420961,0.515313,0,0,0,1.60518e-05,0,0.996004,0.648652,0.226782,1.33114e-05
