step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.258556,0.0138762,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,10,8.33333,0.029496,0.000217169,0.486044,0.0506928,0,2,0,0.130591,0,0.0267037,0,0,0,0,0.296015,0.0752049,0.332623,0,0,0,0.000577245,0,0.999421,0.984846,0.231534,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.0377695,0.000512659,0.674291,0.109714,0,2,0,0.145995,0,0.0831024,0,0,0,0,0.382939,0.22675,0.276769,0,0,0,1.82866e-05,0,0.998588,0.92122,0.202829,2.30885e-05
400,40,1.66667,12,5,5,2,10,2,0,0,8,10,8.33333,0.0434103,0.000789086,0.814612,0.184657,0,4,0,0.156648,0,0.172636,0,0,0,0,0.443933,0.416388,0.307151,0,0,0,1.63681e-05,0,0.997754,0.799774,0.202838,5.86742e-05
500,50,2.08333,15,5,4,6,9,6,0,0,9,10,16.6667,0.0471494,0.0012297,0.790774,0.264978,0,4,0,0.194419,0,0.259147,0,0,0,0,0.491035,0.517754,0.3332,0,0,0,1.61917e-05,0,0.996246,0.656701,0.19895,0.000117217
600,60,2.5,18,5,7,6,12,6,0,0,11,10,16.6667,0.0494896,0.00176936,0.736845,0.342644,0,4,0,0.22912,0,0.336453,0,0,0,0,0.518205,0.574276,0.355539,0,0,0,1.61226e-05,0,0.993722,0.65468,0.207683,0.000197286
700,70,2.91667,20,5,8,7,13,7,0,0,9,9,16.6667,0.0507912,0.00227422,0.678889,0.413532,0,6,0,0.263324,0,0.401231,0,0,0,0,0.538923,0.597629,0.374144,0,0,0,1.60876e-05,0,0.990597,0.652497,0.214907,0.000295332
800,80,3.33333,22,5,9,8,14,8,0,0,9,6,20.8333,0.0513075,0.00297061,0.594313,0.475248,0,6,0,0.308368,0,0.452322,0,0,0,0,0.553511,0.534804,0.389107,0,0,0,1.6073e-05,0,0.986446,0.650076,0.22065,0.000406206
900,90,3.75,29,5,13,11,19,10,0,0,9,5,25,0.0512286,0.00377418,0.594181,0.534474,0,6,0,0.317015,0,0.491487,0,0,0,0,0.547598,0.477076,0.401131,0,0,0,1.60607e-05,0,0.981468,0.647457,0.225198,0.000524686
1000,100,4.16667,33,5,16,12,21,12,0,0,9,4,25,0.0507036,0.0048869,0.589759,0.593595,0,10,0,0.314717,0,0.520912,0,0,0,0,0.535523,0.429331,0.485255,0,0,0,1.60528e-05,0,0.975086,0.644689,0.228709,0.000646264
1100,110,4.58333,40,5,21,14,26,14,0,0,7,4,29.1667,0.049851,0.00598848,0.588695,0.652597,0,10,0,0.305276,0,0.542699,0,0,0,0,0.517627,0.389787,0.587341,0,0,0,1.60461e-05,0,0.96821,0.641812,0.231467,0.000767362
1200,120,5,47,5,25,17,30,17,0,0,7,2,29.1667,0.0487647,0.00732695,0.571505,0.710616,0,10,0,0.295085,0,0.558662,0,0,0,0,0.495114,0.351726,0.618466,0,0,0,1.60407e-05,0,0.96014,0.638861,0.233544,0.000885348
1300,130,5.41667,53,5,25,23,30,23,0,0,6,6,29.1667,0.0475196,0.00857908,0.573339,0.767873,0,10,0,0.280995,0,0.570258,0,0,0,0,0.47046,0.327444,0.642736,0,0,0,1.60355e-05,0,0.951873,0.635863,0.235152,0.000998445
1400,140,5.83333,59,5,29,25,34,25,0,0,2,8,33.3333,0.0461731,0.0100869,0.548139,0.82361,0,10,0,0.272926,0,0.578029,0,0,0,0,0.446467,0.301955,0.653495,0,0,0,1.60323e-05,0,0.942342,0.632843,0.236289,0.00110541
1500,150,6.25,63,5,30,28,35,28,0,0,1,9,37.5,0.0447669,0.0119639,0.541892,0.878347,0,10,0,0.259606,0,0.583253,0,0,0,0,0.419273,0.284857,0.658908,0,0,0,1.60291e-05,0,0.932339,0.62982,0.237099,0.00120521
1600,160,6.66667,72,5,33,34,41,31,0,0,1,10,37.5,0.0433391,0.0151264,0.538379,0.932462,0,10,2,0.250898,0.004275,0.586898,0,0,0,0,0.394836,0.285487,0.657762,0,0,0,1.60259e-05,0,0.921353,0.62681,0.237603,0.0012979
1700,170,7.08333,77,5,27,45,38,39,0,0,0,9,45.8333,0.0419187,0.0201933,0.516603,0.985232,0,10,4,0.244462,0.01245,0.589247,0,0,0,0,0.371043,0.263135,0.652051,0,0,0,1.60227e-05,0,0.908935,0.623826,0.237813,0.00138377
1800,180,7.5,83,5,28,50,43,40,0,0,0,9,45.8333,0.040526,0.0265067,0.496053,1.03584,0,10,5,0.239707,0.02745,0.590694,0,0,0,0,0.346281,0.250007,0.638187,0,0,0,0.000150343,0,0.895429,0.620877,0.237813,0.00146315
1900,190,7.91667,89,5,28,56,45,43,1,0,0,10,45.8333,0.0391771,0.0327689,0.478303,1.08456,0,10,6,0.235542,0.04245,0.591524,0,0,0,0,0.324031,0.233095,0.621118,0,0,0,0.000337319,0,0.881615,0.617972,0.237721,0.00153666
2000,200,8.33333,96,5,29,62,46,46,4,0,0,10,45.8333,0.0378827,0.0406412,0.465294,1.1318,0,10,10,0.233082,0.062625,0.591609,0,0,0,0,0.302639,0.22237,0.604174,0,0,0,0.000587712,0,0.865985,0.615115,0.237559,0.00160483
2100,210,8.75,101,5,28,68,45,51,5,0,0,10,54.1667,0.0366487,0.0513192,0.443658,1.1772,0,10,10,0.231785,0.09135,0.591156,0,0,0,0,0.280995,0.214856,0.588503,0,0,0,0.000946456,0,0.847687,0.612312,0.237255,0.00166807
2200,220,9.16667,104,5,26,73,47,50,7,0,0,9,54.1667,0.0354781,0.0678287,0.418138,1.22027,0,10,10,0.231057,0.124125,0.590361,0,0,0,0,0.261943,0.204878,0.574113,0,0,0,0.00168819,0,0.826931,0.609565,0.236876,0.00172676
2300,230,9.58333,109,5,26,78,49,50,10,0,0,9,62.5,0.0343721,0.0948681,0.389022,1.26058,0,10,10,0.229515,0.159075,0.589292,0,0,0,0,0.243981,0.196707,0.560875,0,0,0,0.00980909,0,0.801989,0.606876,0.236425,0.00178125
2400,240,10,114,5,29,80,50,51,13,0,0,9,62.5,0.0333307,0.120421,0.365315,1.29814,0,10,10,0.226331,0.1938,0.587992,0,0,0,0,0.226115,0.195258,0.548823,0,0,0,0.0405658,0,0.776513,0.604243,0.235967,0.0018319
2500,250,10.4167,120,5,31,84,51,54,15,0,0,7,62.5,0.0323527,0.143721,0.344021,1.3336,0,10,10,0.223461,0.2283,0.586466,0,0,0,0,0.210324,0.188096,0.537865,0,0,0,0.0951918,0,0.750431,0.601666,0.235512,0.00187903
2600,260,10.8333,120,5,26,89,47,56,17,0,0,9,62.5,0.0314362,0.164692,0.332811,1.36732,0,10,10,0.220025,0.2607,0.584752,0,0,0,0,0.195434,0.194377,0.527903,0,0,0,0.173795,0,0.723979,0.599144,0.235063,0.00192292
2700,270,11.25,125,5,27,93,50,54,21,0,0,10,62.5,0.0305786,0.183085,0.315254,1.3998,0,10,10,0.215538,0.2916,0.58288,0,0,0,0,0.180722,0.192192,0.518841,0,0,0,0.275597,0,0.697663,0.596674,0.234618,0.00196385
2800,280,11.6667,129,5,26,98,50,56,22,1,0,10,70.8333,0.0297771,0.211281,0.29454,1.43037,0,10,10,0.211914,0.3222,0.580875,0,0,0,0,0.167798,0.184707,0.510481,0,0,0,0.400553,0,0.667699,0.594254,0.234134,0.00200205
2900,290,12.0833,132,5,25,102,47,59,23,3,0,10,79.1667,0.0290288,0.2459,0.271773,1.45869,0,10,10,0.20841,0.352425,0.578761,0,0,0,0,0.155812,0.178173,0.502782,0,0,0,0.548644,0,0.634612,0.591881,0.233623,0.00203772
3000,300,12.5,136,5,27,104,50,59,23,4,0,10,79.1667,0.0283305,0.293906,0.244893,1.48446,0,10,10,0.204356,0.382875,0.576558,0,0,0,0,0.144166,0.172202,0.49562,0,0,0,0.720028,0,0.59583,0.589554,0.233064,0.00207106
3100,310,12.9167,138,5,25,108,48,59,25,6,0,10,79.1667,0.027679,0.334255,0.224073,1.5079,0,10,10,0.20153,0.412875,0.574286,0,0,0,0,0.13419,0.167021,0.48908,0,0,0,0.798505,0,0.557285,0.587269,0.232517,0.00210224
3200,320,13.3333,141,5,25,111,50,58,23,10,0,10,100,0.0270714,0.369558,0.20558,1.52936,0,10,10,0.199184,0.4425,0.571967,0,0,0,0,0.125213,0.164151,0.483058,0,0,0,0.798497,0,0.518592,0.585025,0.231962,0.00213142
3300,330,13.75,0,0,0,0,0,0,0,0,0,7,100,0.0265309,0.416795,0.171237,1.54808,0,10,10,0.196413,0.47145,0.577158,0,0,0,0,0.116603,0.158723,0.477479,0,0,0,0.798493,0,0.434559,0.582822,0.231391,0.00216289
3400,340,14.1667,0,0,0,0,0,0,0,0,0,10,100,0.0260685,0.455461,0.173658,1.5647,0,10,10,0.194429,0.498675,0.581259,0,0,0,0,0.108994,0.208553,0.472396,0,0,0,0.798499,0,0.349436,0.580663,0.230844,0.00219922
3500,350,14.5833,0,0,0,0,0,0,0,0,0,10,100,0.0256678,0.487112,0.186563,1.58287,0,10,10,0.192465,0.5265,0.584538,0,0,0,0,0.101807,0.304802,0.467741,0,0,0,0.798489,0,0.263433,0.578545,0.23031,0.00223869
3600,360,15,0,0,0,0,0,0,0,0,0,9,100,0.0253169,0.513021,0.165038,1.60085,0,10,10,0.19056,0.5538,0.587109,0,0,0,0,0.0965556,0.388297,0.463462,0,0,0,0.798469,0,0.188854,0.576461,0.229784,0.00228011
3700,370,15.4167,0,0,0,0,0,0,0,0,0,9,100,0.0250071,0.534229,0.144516,1.6167,0,10,10,0.192205,0.5805,0.589236,0,0,0,0,0.0932623,0.480158,0.459482,0,0,0,0.798446,0,0.130641,0.574398,0.229246,0.00232266
3800,380,15.8333,0,0,0,0,0,0,0,0,0,8,100,0.0247327,0.551589,0.124944,1.62998,0,10,10,0.209638,0.60525,0.591149,0,0,0,0,0.0930067,0.544037,0.455753,0,0,0,0.798423,0,0.0720601,0.572348,0.22869,0.00236599
3900,390,16.25,0,0,0,0,0,0,0,0,0,4,100,0.0244901,0.565799,0.112784,1.6419,0,10,10,0.207916,0.6294,0.592783,0,0,0,0,0.086356,0.572876,0.452241,0,0,0,0.798402,0,0.01312,0.570307,0.228114,0.00240993
4000,400,16.6667,0,0,0,0,0,0,0,0,0,4,100,0.0242724,0.577431,0.104301,1.65275,0,8,8,0.202354,0.6513,0.593675,0,0,0,0,0.0789795,0.573433,0.448914,0,0,0,0.798397,0,9.19733e-07,0.568271,0.227513,0.00245373
4100,410,17.0833,0,0,0,0,0,0,0,0,0,4,100,0.0240706,0.586953,0.0779437,1.66235,0,6,6,0.203655,0.667425,0.594017,0,0,0,0,0.0739386,0.561853,0.445745,0,0,0,0.798424,0,9.19733e-07,0.566237,0.226887,0.0024962
4200,420,17.5,0,0,0,0,0,0,0,0,0,1,100,0.0238825,0.594747,0.0720124,1.66982,0,6,6,0.200555,0.68025,0.594249,0,0,0,0,0.0680156,0.51214,0.442713,0,0,0,0.798468,0,9.19733e-07,0.564201,0.226235,0.00253723
4300,430,17.9167,0,0,0,0,0,0,0,0,0,2,100,0.0237073,0.601127,0.0722391,1.67687,0,6,6,0.194989,0.693225,0.594312,0,0,0,0,0.0619631,0.474959,0.4398,0,0,0,0.798516,0,9.19733e-07,0.562164,0.225558,0.00257692
4400,440,18.3333,0,0,0,0,0,0,0,0,0,2,100,0.0235428,0.606349,0.0750828,1.68428,0,5,5,0.189936,0.70695,0.594077,0,0,0,0,0.056476,0.456479,0.436996,0,0,0,0.798557,0,9.19733e-07,0.560124,0.224858,0.00261513
4500,450,18.75,0,0,0,0,0,0,0,0,0,1,100,0.0233867,0.610624,0.0729738,1.69171,0,5,5,0.184574,0.721425,0.593508,0,0,0,0,0.0512476,0.43822,0.43429,0,0,0,0.798593,0,9.19733e-07,0.558082,0.224138,0.00265166
