step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.260352,0.0140048,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,6,1,11,1,0,0,6,10,4.16667,0.029496,9.40857e-05,0.499652,0.0515914,0,2,0,0.130578,0,0.0267037,0,0,0,0,0.296015,0.0796678,0.329697,0,0,0,0.000566319,0,0.99975,0.983602,0.230239,7.55031e-06
300,30,1.25,12,5,6,1,11,1,0,0,6,10,4.16667,0.0377695,0.000242766,0.693084,0.112126,0,2,0,0.145933,0,0.0831024,0,0,0,0,0.382939,0.22408,0.276679,0,0,0,1.70711e-05,0,0.999333,0.919925,0.202664,2.30885e-05
400,40,1.66667,13,5,5,3,10,3,0,0,8,10,16.6667,0.0434103,0.000689266,0.814563,0.18853,0,4,0,0.156493,0,0.172636,0,0,0,0,0.443933,0.392199,0.307068,0,0,0,1.66828e-05,0,0.998096,0.795253,0.202352,5.86742e-05
500,50,2.08333,16,5,8,3,13,3,0,0,7,10,16.6667,0.0471469,0.0012638,0.733319,0.265451,0,4,0,0.243703,0,0.258429,0,0,0,0,0.506312,0.383602,0.33319,0,0,0,1.62832e-05,0,0.996238,0.656701,0.198946,0.000117083
600,60,2.5,19,5,8,6,13,6,0,0,9,9,16.6667,0.0494767,0.00180127,0.651507,0.334869,0,4,0,0.302825,0,0.334361,0,0,0,0,0.544015,0.351887,0.355599,0,0,0,1.61623e-05,0,0.993735,0.654702,0.20771,0.000196511
700,70,2.91667,21,5,9,7,14,7,0,0,8,9,20.8333,0.0507574,0.00256102,0.594793,0.396741,0,6,0,0.352253,0,0.397821,0,0,0,0,0.56943,0.315891,0.374415,0,0,0,1.61108e-05,0,0.990113,0.652689,0.215035,0.000293046
800,80,3.33333,23,5,8,10,14,9,0,0,9,10,25,0.0512517,0.00373058,0.580278,0.455499,0,6,0,0.38091,0,0.448705,0,0,0,0,0.579189,0.288998,0.39001,0,0,0,1.60863e-05,0,0.984839,0.650659,0.22107,0.000401957
900,90,3.75,28,5,12,11,17,11,0,0,8,9,25,0.0511569,0.00484611,0.554026,0.512188,0,6,0,0.403564,0,0.488334,0,0,0,0,0.57794,0.268209,0.403283,0,0,0,1.60705e-05,0,0.978952,0.648611,0.226174,0.000518559
1000,100,4.16667,31,5,11,15,18,13,0,0,8,10,29.1667,0.0506251,0.00621174,0.532108,0.566349,0,10,0,0.415583,0,0.51864,0,0,0,0,0.570458,0.253873,0.488978,0,0,0,1.60569e-05,0,0.971697,0.646545,0.230384,0.000638741
1100,110,4.58333,35,5,14,16,21,14,0,0,6,8,33.3333,0.0497751,0.00784348,0.528599,0.619374,0,10,0,0.398727,0,0.541559,0,0,0,0,0.549577,0.237243,0.611858,0,0,0,1.60486e-05,0,0.962978,0.644461,0.233828,0.000759198
1200,120,5,39,5,13,21,20,19,0,0,3,8,33.3333,0.0487003,0.00943088,0.484923,0.669935,0,10,0,0.399585,0,0.558723,0,0,0,0,0.529892,0.220949,0.646816,0,0,0,1.60409e-05,0,0.953725,0.642362,0.236699,0.000877434
1300,130,5.41667,45,5,17,23,24,21,0,0,3,8,33.3333,0.0474739,0.0109159,0.463006,0.717058,0,10,0,0.396129,0,0.571543,0,0,0,0,0.510044,0.202612,0.65389,0,0,0,1.60355e-05,0,0.944209,0.64025,0.239089,0.000991695
1400,140,5.83333,48,5,18,25,25,23,0,0,2,8,33.3333,0.046153,0.0123051,0.450808,0.762862,0,10,0,0.384813,0,0.580729,0,0,0,0,0.487288,0.186374,0.658451,0,0,0,1.60323e-05,0,0.934497,0.638127,0.241063,0.00110084
1500,150,6.25,55,5,20,30,28,27,0,0,2,8,37.5,0.0447742,0.0143001,0.437245,0.807359,0,10,1,0.370753,0,0.586258,0,0,0,0,0.46165,0.172017,0.66208,0,0,0,1.60291e-05,0,0.924214,0.635997,0.242649,0.0012034
1600,160,6.66667,57,5,19,33,27,30,0,0,1,10,45.8333,0.0433663,0.0176534,0.434893,0.851131,0,10,1,0.358825,0,0.589422,0,0,0,0,0.435276,0.166287,0.656837,0,0,0,1.60259e-05,0,0.912879,0.633863,0.243875,0.00129843
1700,170,7.08333,64,5,21,38,30,34,0,0,1,10,45.8333,0.0419577,0.0241306,0.410361,0.893405,0,10,5,0.351484,0,0.591553,0,0,0,0,0.410702,0.152134,0.653587,0,0,0,1.60227e-05,0,0.899273,0.631727,0.244731,0.00138599
1800,180,7.5,66,5,21,40,31,35,0,0,0,10,50,0.0405736,0.0309226,0.388136,0.933293,0,10,6,0.341139,0,0.593054,0,0,0,0,0.384734,0.139306,0.650914,0,0,0,1.60195e-05,0,0.885178,0.629593,0.24536,0.00146683
1900,190,7.91667,72,5,24,43,34,38,0,0,0,9,50,0.039232,0.0383848,0.375336,0.97149,0,10,6,0.322819,0,0.594009,0,0,0,0,0.358631,0.127455,0.639856,0,0,0,1.60163e-05,0,0.870328,0.627463,0.245783,0.00154171
2000,200,8.33333,75,5,21,49,33,40,2,0,0,9,50,0.0379453,0.0466521,0.368824,1.00869,0,10,10,0.306413,0.0039,0.594249,0,0,0,0,0.332822,0.117588,0.62509,0,0,0,1.60131e-05,0,0.854274,0.625338,0.246065,0.00161135
