step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,11,5,6,0,11,0,0,0,3,0,0,0.0173349,0,0.267834,0.0142319,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,7,0,12,0,0,0,6,9,0,0.0293801,0,0.506384,0.0525917,0,2,0,0.130589,0,0.0219913,0,0,0,0,0.118418,0.0788211,0.331618,0,0,0,0.000576147,0,1,0.984099,0.231057,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.037503,0.000209602,0.697203,0.113681,0,2,0,0.145932,0,0.0499109,0,0,0,0,0.15321,0.258338,0.276782,0,0,0,1.82396e-05,0,0.999442,0.916138,0.202326,1.7775e-05
400,40,1.66667,13,5,6,2,11,2,0,0,8,10,8.33333,0.0428088,0.00050558,0.84544,0.191378,0,4,0,0.156103,0,0.0919547,0,0,0,0,0.177678,0.432824,0.307155,0,0,0,1.70829e-05,0,0.998608,0.776739,0.200536,3.96704e-05
500,50,2.08333,14,5,5,4,10,4,0,0,8,10,12.5,0.0460615,0.000934219,0.877938,0.277161,0,4,0,0.199945,0,0.135022,0,0,0,0,0.197405,0.544192,0.333174,0,0,0,1.64068e-05,0,0.997367,0.656685,0.198938,7.22915e-05
600,60,2.5,17,5,7,5,12,5,0,0,10,10,16.6667,0.0478199,0.0013684,0.87441,0.365293,0,4,0,0.233527,0,0.17629,0,0,0,0,0.209498,0.607022,0.355295,0,0,0,1.62211e-05,0,0.996038,0.654591,0.207577,0.000114327
700,70,2.91667,20,5,9,6,14,6,0,0,7,10,16.6667,0.0484956,0.00189912,0.863952,0.452654,0,6,0,0.271114,0,0.213887,0,0,0,0,0.218341,0.679154,0.373741,0,0,0,1.61519e-05,0,0.994335,0.65234,0.21473,0.000163655
800,80,3.33333,22,5,10,7,15,7,0,0,10,10,16.6667,0.0483925,0.0023956,0.81174,0.536005,0,6,0,0.321829,0,0.247201,0,0,0,0,0.224633,0.686616,0.388898,0,0,0,1.61106e-05,0,0.992382,0.649898,0.220549,0.000217969
900,90,3.75,22,5,10,7,15,7,0,0,8,8,16.6667,0.0477375,0.00286006,0.738613,0.613528,0,6,0,0.362141,0,0.276127,0,0,0,0,0.226201,0.658896,0.401199,0,0,0,1.60873e-05,0,0.990174,0.647259,0.225206,0.000275197
1000,100,4.16667,28,5,13,10,19,9,0,0,5,9,16.6667,0.0466998,0.00329454,0.710273,0.686792,0,10,0,0.385841,0,0.300866,0,0,0,0,0.224384,0.657086,0.485205,0,0,0,1.60685e-05,0,0.987746,0.644441,0.228875,0.000333629
