step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.260057,0.0139397,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,6,1,11,1,0,0,6,8,4.16667,0.0293801,0.000106348,0.486606,0.0509708,0,2,0,0.130609,0,0.0219913,0,0,0,0,0.296044,0.0643426,0.338409,0,0,0,0.000593044,0,0.999717,0.986624,0.234026,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.037539,0.000381889,0.675609,0.110158,0,2,0,0.14614,0,0.0764057,0,0,0,0,0.38302,0.219084,0.276749,0,0,0,1.68637e-05,0,0.998958,0.927225,0.203422,1.91835e-05
400,40,1.66667,12,5,5,2,10,2,0,0,9,10,8.33333,0.0430491,0.000666753,0.812954,0.185306,0,4,0,0.15717,0,0.164607,0,0,0,0,0.444097,0.363571,0.307184,0,0,0,1.62518e-05,0,0.998125,0.819958,0.204869,5.07042e-05
500,50,2.08333,14,5,4,5,9,5,0,0,9,10,12.5,0.0466536,0.00108649,0.735689,0.262434,0,4,0,0.210621,0,0.250467,0,0,0,0,0.495017,0.410988,0.333243,0,0,0,1.61092e-05,0,0.996774,0.682169,0.201514,0.00010363
600,60,2.5,19,5,8,6,13,6,0,0,9,10,16.6667,0.0488597,0.00153755,0.620104,0.330674,0,4,0,0.261449,0,0.326452,0,0,0,0,0.530309,0.407907,0.355618,0,0,0,1.60798e-05,0,0.994712,0.654709,0.207718,0.000176447
700,70,2.91667,22,5,9,8,14,8,0,0,7,10,20.8333,0.0500235,0.00240453,0.567761,0.390347,0,6,0,0.313866,0,0.389592,0,0,0,0,0.55601,0.390437,0.374348,0,0,0,1.6066e-05,0,0.990988,0.652701,0.215009,0.000265154
800,80,3.33333,23,5,8,10,13,10,0,0,9,9,20.8333,0.0504095,0.00323701,0.569224,0.446943,0,6,0,0.345872,0,0.440761,0,0,0,0,0.564482,0.350212,0.390298,0,0,0,1.60574e-05,0,0.98663,0.650678,0.221187,0.000365216
900,90,3.75,27,5,11,11,16,11,0,0,9,7,29.1667,0.0502183,0.00430396,0.560361,0.503813,0,6,0,0.345677,0,0.480304,0,0,0,0,0.556573,0.313192,0.403619,0,0,0,1.60493e-05,0,0.981031,0.648636,0.226311,0.000472334
