step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,6,1,11,1,0,0,3,0,4.16667,0.0173349,1.59914e-06,0.262865,0.0140839,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.29784,0,0,0,0.000319894,0,0.999996,0.996975,0.218833,9.42187e-07
200,20,0.833333,12,5,6,1,11,1,0,0,6,10,4.16667,0.0293801,0.000156246,0.494452,0.0511134,0,2,0,0.130585,0,0.0219913,0,0,0,0,0.296044,0.101003,0.327448,0,0,0,0.000572332,0,0.999579,0.982984,0.229278,6.16656e-06
300,30,1.25,12,5,6,1,11,1,0,0,6,10,4.16667,0.037539,0.000300917,0.695849,0.111612,0,2,0,0.145596,0,0.0764057,0,0,0,0,0.38302,0.314269,0.276642,0,0,0,1.70337e-05,0,0.999163,0.896326,0.200289,1.91835e-05
400,40,1.66667,14,5,6,3,11,3,0,0,9,10,12.5,0.0430491,0.00052759,0.83972,0.189146,0,4,0,0.154702,0,0.164607,0,0,0,0,0.444097,0.49757,0.307015,0,0,0,1.64202e-05,0,0.998504,0.732529,0.196059,5.07042e-05
500,50,2.08333,16,5,6,5,11,5,0,0,9,10,16.6667,0.0466502,0.000994316,0.835546,0.272305,0,4,0,0.184035,0,0.249705,0,0,0,0,0.489451,0.606141,0.333172,0,0,0,1.61792e-05,0,0.997034,0.656694,0.198938,0.00010346
600,60,2.5,18,5,8,5,13,5,0,0,9,9,16.6667,0.0488542,0.00154917,0.769932,0.353921,0,4,0,0.227157,0,0.32693,0,0,0,0,0.517016,0.661049,0.355501,0,0,0,1.61097e-05,0,0.9946,0.654667,0.207667,0.000176113
700,70,2.91667,21,5,10,6,15,6,0,0,8,7,16.6667,0.0500355,0.00206823,0.726832,0.429135,0,6,0,0.265612,0,0.392789,0,0,0,0,0.537406,0.638985,0.411904,0,0,0,1.60765e-05,0,0.991551,0.652561,0.214991,0.00026584
800,80,3.33333,24,5,11,8,16,8,0,0,10,7,20.8333,0.0504487,0.00282892,0.620461,0.496174,0,6,0,0.30332,0,0.444474,0,0,0,0,0.549969,0.579214,0.516589,0,0,0,1.60608e-05,0,0.987336,0.650376,0.220999,0.000367876
900,90,3.75,27,5,13,9,18,9,0,0,8,6,20.8333,0.0502732,0.00363402,0.592681,0.556194,0,6,0,0.312169,0,0.4814,0,0,0,0,0.544732,0.520059,0.573783,0,0,0,1.60504e-05,0,0.982434,0.64812,0.225965,0.000476585
1000,100,4.16667,29,5,12,12,19,10,0,0,8,9,29.1667,0.049593,0.0047162,0.594803,0.615113,0,10,0,0.307559,0,0.489793,0,0,0,0,0.532453,0.494603,0.622662,0,0,0,1.60451e-05,0,0.97644,0.645801,0.229973,0.00058258
1100,110,4.58333,35,5,17,13,25,10,0,0,6,10,29.1667,0.0485047,0.00613675,0.606892,0.675869,0,10,0,0.297959,0,0.489793,0,0,0,0,0.514188,0.501591,0.64788,0,0,0,1.60419e-05,0,0.969294,0.64343,0.233162,0.000679519
1200,120,5,39,5,16,18,26,13,0,0,3,7,33.3333,0.0471438,0.00775526,0.565581,0.734702,0,10,0,0.292141,0,0.489793,0,0,0,0,0.492113,0.460719,0.654377,0,0,0,1.60387e-05,0,0.961352,0.641015,0.235693,0.000766986
1300,130,5.41667,43,5,16,22,27,16,0,0,1,7,33.3333,0.0456147,0.00934836,0.563083,0.791267,0,10,0,0.277931,0,0.489793,0,0,0,0,0.468348,0.420713,0.659903,0,0,0,1.60355e-05,0,0.953186,0.638565,0.237723,0.00084545
1400,140,5.83333,53,5,25,23,35,18,0,0,1,9,33.3333,0.0439949,0.0108387,0.565648,0.847548,0,10,0,0.26585,0,0.489793,0,0,0,0,0.444306,0.402893,0.664514,0,0,0,1.60323e-05,0,0.945019,0.636089,0.239343,0.000915701
1500,150,6.25,57,5,25,27,34,23,0,0,0,10,33.3333,0.0423412,0.0122329,0.55396,0.903649,0,10,0,0.254375,0,0.489793,0,0,0,0,0.418257,0.372017,0.669619,0,0,0,1.60291e-05,0,0.936853,0.633593,0.240616,0.000978664
1600,160,6.66667,62,5,26,31,36,26,0,0,0,9,37.5,0.0406947,0.0138023,0.539764,0.958454,0,10,1,0.245255,0,0.489793,0,0,0,0,0.394466,0.342579,0.675371,0,0,0,1.60259e-05,0,0.928544,0.631086,0.241581,0.00103528
1700,170,7.08333,70,5,32,33,42,28,0,0,0,9,37.5,0.0390846,0.0168462,0.524933,1.01162,0,10,6,0.24193,0.01275,0.489793,0,0,0,0,0.371138,0.324732,0.66833,0,0,0,1.64822e-05,0,0.919358,0.628573,0.242235,0.00108647
1800,180,7.5,74,5,30,39,39,35,0,0,0,9,37.5,0.0375312,0.0196937,0.509446,1.06331,0,10,6,0.237808,0.02775,0.489793,0,0,0,0,0.346722,0.303229,0.655997,0,0,0,0.000151827,0,0.910171,0.626061,0.242689,0.00113303
1900,190,7.91667,79,5,29,45,41,38,0,0,0,10,45.8333,0.0360478,0.0254121,0.492276,1.11349,0,10,6,0.23403,0.04275,0.489793,0,0,0,0,0.324634,0.28418,0.639049,0,0,0,0.0003376,0,0.899301,0.623554,0.242848,0.00117572
2000,200,8.33333,85,5,22,58,43,41,1,0,0,10,45.8333,0.0346426,0.0314609,0.477,1.16188,0,10,9,0.234239,0.0696,0.489793,0,0,0,0,0.303281,0.267126,0.621823,0,0,0,0.000668633,0,0.888022,0.621059,0.242858,0.00121517
2100,210,8.75,92,5,20,67,46,45,1,0,0,9,45.8333,0.0333201,0.0383506,0.46047,1.20876,0,10,10,0.233988,0.10305,0.489793,0,0,0,0,0.281507,0.252596,0.606042,0,0,0,0.00122603,0,0.875774,0.618579,0.242767,0.00125192
2200,220,9.16667,92,5,20,67,44,44,4,0,0,10,45.8333,0.0320819,0.0464394,0.445357,1.25408,0,10,10,0.233339,0.1374,0.489793,0,0,0,0,0.262209,0.241112,0.591588,0,0,0,0.00187848,0,0.862251,0.616117,0.242593,0.00128644
2300,230,9.58333,97,5,22,70,45,46,6,0,0,10,50,0.0309275,0.0554071,0.429378,1.29781,0,10,10,0.231579,0.17175,0.489793,0,0,0,0,0.244054,0.23085,0.578263,0,0,0,0.00693131,0,0.847533,0.613676,0.242315,0.00131911
2400,240,10,102,5,23,74,48,48,6,0,0,10,62.5,0.029855,0.073963,0.404895,1.33953,0,10,10,0.228377,0.209175,0.489793,0,0,0,0,0.226013,0.225398,0.56584,0,0,0,0.0345699,0,0.82951,0.611258,0.241896,0.00135025
