step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.266279,0.014174,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,11,1,0,0,6,8,8.33333,0.0293801,0.000150905,0.50092,0.0521626,0,2,0,0.130584,0,0.0219913,0,0,0,0,0.118418,0.0829408,0.32989,0,0,0,0.000571752,0,0.9996,0.983798,0.230336,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,12.5,0.037503,0.000543218,0.675732,0.111774,0,2,0,0.145957,0,0.0499109,0,0,0,0,0.15321,0.219566,0.276734,0,0,0,1.80471e-05,0,0.998521,0.921185,0.202812,1.7775e-05
400,40,1.66667,12,5,4,3,9,3,0,0,9,10,16.6667,0.0428088,0.00100578,0.821774,0.187224,0,4,0,0.156643,0,0.0919547,0,0,0,0,0.177678,0.385068,0.307078,0,0,0,1.68721e-05,0,0.997183,0.80146,0.202977,3.96704e-05
500,50,2.08333,14,5,5,4,10,4,0,0,9,10,16.6667,0.0460613,0.0015599,0.849036,0.27101,0,4,0,0.188853,0,0.134923,0,0,0,0,0.196632,0.515332,0.333198,0,0,0,1.63003e-05,0,0.995517,0.6567,0.198949,7.22838e-05
600,60,2.5,16,5,5,6,11,5,0,0,9,10,16.6667,0.0478174,0.00207826,0.825992,0.355229,0,4,0,0.222599,0,0.175847,0,0,0,0,0.20875,0.572372,0.355535,0,0,0,1.61498e-05,0,0.99385,0.654678,0.207682,0.000114198
700,70,2.91667,16,5,4,7,9,7,0,0,8,9,16.6667,0.0484888,0.00256319,0.81146,0.438247,0,6,0,0.253019,0,0.213185,0,0,0,0,0.216845,0.596297,0.37425,0,0,0,1.60894e-05,0,0.992153,0.652533,0.214953,0.00016327
800,80,3.33333,19,5,7,7,12,7,0,0,10,10,20.8333,0.0483818,0.00331728,0.725901,0.514825,0,6,0,0.317237,0,0.246629,0,0,0,0,0.224442,0.55805,0.389528,0,0,0,1.60689e-05,0,0.98981,0.650252,0.220836,0.000217296
900,90,3.75,22,5,8,9,13,9,0,0,9,10,20.8333,0.0477254,0.00409087,0.646014,0.582837,0,6,0,0.368588,0,0.275772,0,0,0,0,0.227963,0.507386,0.402161,0,0,0,1.60617e-05,0,0.987051,0.647859,0.22565,0.000274352
1000,100,4.16667,23,5,8,10,14,9,0,0,8,10,25,0.0466883,0.00496867,0.614019,0.646053,0,10,0,0.375521,0,0.300727,0,0,0,0,0.224929,0.45888,0.492823,0,0,0,1.60536e-05,0,0.983757,0.645377,0.22954,0.000332731
1100,110,4.58333,27,5,12,10,17,10,0,0,6,10,25,0.0453967,0.00600433,0.586053,0.706332,0,10,0,0.373768,0,0.321841,0,0,0,0,0.219267,0.448272,0.624357,0,0,0,1.60465e-05,0,0.979823,0.642826,0.232644,0.000391099
1200,120,5,31,5,13,13,18,13,0,0,4,10,25,0.0439443,0.00697317,0.564151,0.76382,0,10,0,0.364809,0,0.339549,0,0,0,0,0.210361,0.434893,0.653575,0,0,0,1.60391e-05,0,0.975646,0.640223,0.235151,0.00044846
1300,130,5.41667,34,5,14,15,19,15,0,0,3,10,29.1667,0.0424009,0.00791749,0.54061,0.819145,0,10,0,0.35689,0,0.35431,0,0,0,0,0.201957,0.423468,0.662976,0,0,0,1.60355e-05,0,0.971195,0.637583,0.237146,0.000504113
1400,140,5.83333,38,5,15,18,22,16,0,0,3,10,29.1667,0.0408183,0.00913152,0.5133,0.871719,0,10,0,0.348545,0,0.366564,0,0,0,0,0.193225,0.412578,0.667084,0,0,0,1.60323e-05,0,0.965903,0.634918,0.238645,0.0005576
1500,150,6.25,43,5,18,20,24,19,0,0,1,9,33.3333,0.0392344,0.010484,0.496024,0.92193,0,10,0,0.345532,0,0.376717,0,0,0,0,0.183672,0.38808,0.670232,0,0,0,1.60291e-05,0,0.960005,0.632239,0.239754,0.000608654
1600,160,6.66667,48,5,21,22,27,21,0,0,1,10,33.3333,0.0376768,0.0119011,0.485779,0.971099,0,10,1,0.337463,0,0.385115,0,0,0,0,0.173287,0.356434,0.672962,0,0,0,1.60259e-05,0,0.953639,0.629556,0.240556,0.000657158
1700,170,7.08333,53,5,19,29,27,26,0,0,1,10,33.3333,0.0361648,0.0132267,0.474867,1.01903,0,10,4,0.329318,0,0.392037,0,0,0,0,0.163254,0.330689,0.672659,0,0,0,1.60227e-05,0,0.947153,0.626875,0.241133,0.000703091
1800,180,7.5,58,5,22,31,31,27,0,0,1,10,33.3333,0.0347117,0.0144668,0.46011,1.06575,0,10,5,0.322139,0.006225,0.397716,0,0,0,0,0.152874,0.302826,0.667318,0,0,0,1.60195e-05,0,0.940569,0.624204,0.241522,0.000746495
1900,190,7.91667,62,5,22,35,33,29,0,0,1,10,37.5,0.033326,0.0168738,0.450726,1.11122,0,10,5,0.311976,0.013725,0.402351,0,0,0,0,0.142982,0.279415,0.661338,0,0,0,2.37913e-05,0,0.933339,0.621549,0.2417,0.000787457
2000,200,8.33333,68,5,26,37,34,34,0,0,1,9,41.6667,0.0320128,0.0202848,0.443039,1.15594,0,10,9,0.301374,0.0318,0.4061,0,0,0,0,0.132866,0.258902,0.645788,0,0,0,0.000181422,0,0.925507,0.618914,0.241706,0.000826085
2100,210,8.75,74,5,29,40,38,36,0,0,0,9,41.6667,0.0307742,0.0247514,0.429784,1.19964,0,10,10,0.293204,0.059925,0.409088,0,0,0,0,0.12293,0.244005,0.627403,0,0,0,0.00053515,0,0.917029,0.616303,0.241562,0.000862497
2200,220,9.16667,78,5,30,43,39,39,0,0,0,10,45.8333,0.0296105,0.0292515,0.419958,1.24226,0,10,10,0.285712,0.0882,0.411427,0,0,0,0,0.11423,0.234485,0.610574,0,0,0,0.00100675,0,0.908369,0.613721,0.241332,0.000896811
2300,230,9.58333,84,5,28,51,39,43,2,0,0,9,45.8333,0.0285207,0.0362288,0.404325,1.28339,0,10,10,0.277835,0.116475,0.413213,0,0,0,0,0.106069,0.220489,0.595036,0,0,0,0.00150913,0,0.898264,0.61117,0.240978,0.000929144
2400,240,10,89,5,28,56,42,43,4,0,0,10,45.8333,0.0275025,0.0428152,0.394726,1.3235,0,10,10,0.269046,0.14655,0.414527,0,0,0,0,0.0979202,0.219268,0.580852,0,0,0,0.00241906,0,0.888008,0.60865,0.240586,0.000959616
2500,250,10.4167,97,5,38,54,49,41,7,0,0,10,50,0.0265532,0.0496554,0.382236,1.36238,0,10,10,0.262145,0.182175,0.415435,0,0,0,0,0.0906962,0.209175,0.567888,0,0,0,0.0124967,0,0.877551,0.606162,0.24016,0.000988339
2600,260,10.8333,102,5,31,66,46,48,8,0,0,8,50,0.0256694,0.0635003,0.366932,1.3998,0,10,10,0.255036,0.218025,0.415994,0,0,0,0,0.0839401,0.200392,0.555974,0,0,0,0.0470515,0,0.864741,0.603703,0.239679,0.00101542
2700,270,11.25,110,5,31,74,52,49,9,0,0,9,50,0.0248477,0.0767545,0.35264,1.43576,0,10,10,0.247021,0.25665,0.416251,0,0,0,0,0.0773173,0.196542,0.545075,0,0,0,0.107115,0,0.85109,0.601269,0.239176,0.00104095
2800,280,11.6667,118,5,32,81,55,50,13,0,0,7,54.1667,0.0240843,0.0950921,0.336054,1.4702,0,10,10,0.240313,0.300525,0.416247,0,0,0,0,0.0715157,0.19124,0.535018,0,0,0,0.195449,0,0.835877,0.598859,0.238622,0.00106503
2900,290,12.0833,120,5,30,85,51,55,14,0,0,10,58.3333,0.0233756,0.116498,0.332771,1.50336,0,10,10,0.233658,0.344025,0.41602,0,0,0,0,0.0661065,0.211845,0.525735,0,0,0,0.313437,0,0.819434,0.596468,0.238027,0.00108775
3000,300,12.5,124,5,28,91,51,55,18,0,0,10,62.5,0.0227179,0.137697,0.325239,1.53637,0,10,10,0.226232,0.387375,0.4156,0,0,0,0,0.0607783,0.234428,0.517145,0,0,0,0.461386,0,0.80238,0.594094,0.23739,0.00110917
3100,310,12.9167,126,5,28,93,49,57,19,1,0,8,66.6667,0.0221076,0.161604,0.311402,1.56829,0,10,10,0.220054,0.4308,0.415013,0,0,0,0,0.0560778,0.252498,0.509002,0,0,0,0.639611,0,0.783894,0.591735,0.236645,0.00112938
3200,320,13.3333,132,5,29,98,53,57,21,1,0,8,66.6667,0.0215413,0.18997,0.294976,1.59855,0,10,10,0.214226,0.473775,0.414282,0,0,0,0,0.0517174,0.268684,0.501436,0,0,0,0.798344,0,0.763748,0.589389,0.235871,0.00114844
3300,330,13.75,134,5,29,100,52,56,23,3,0,8,70.8333,0.0210157,0.219442,0.278815,1.62733,0,10,10,0.207954,0.51645,0.413426,0,0,0,0,0.0474912,0.28782,0.494404,0,0,0,0.798318,0,0.742626,0.587053,0.235075,0.00116642
3400,340,14.1667,137,5,29,103,51,58,24,4,0,7,70.8333,0.0205278,0.250711,0.259317,1.65424,0,10,10,0.203107,0.558975,0.412463,0,0,0,0,0.0438418,0.279514,0.487846,0,0,0,0.7983,0,0.720193,0.584728,0.234255,0.00118337
3500,350,14.5833,141,5,28,108,50,62,20,9,0,8,75,0.0200747,0.280528,0.244229,1.67943,0,10,10,0.198759,0.6009,0.41141,0,0,0,0,0.0405193,0.270008,0.481742,0,0,0,0.798286,0,0.696873,0.582412,0.233424,0.00119935
3600,360,15,142,5,28,109,50,63,21,8,0,8,75,0.0196536,0.314927,0.22614,1.70289,0,10,10,0.19413,0.6423,0.410284,0,0,0,0,0.0373524,0.256404,0.476001,0,0,0,0.798276,0,0.671361,0.580108,0.232564,0.00121442
3700,370,15.4167,147,5,25,117,52,60,26,9,0,10,75,0.019262,0.343784,0.219121,1.72502,0,10,10,0.190649,0.683475,0.409098,0,0,0,0,0.0345886,0.255195,0.470666,0,0,0,0.798274,0,0.645985,0.577815,0.231709,0.00122862
3800,380,15.8333,146,5,25,116,50,60,26,10,0,10,79.1667,0.0188977,0.370824,0.217188,1.7469,0,10,10,0.187372,0.724125,0.407865,0,0,0,0,0.0320179,0.27029,0.465659,0,0,0,0.798271,0,0.620138,0.575537,0.230843,0.00124202
3900,390,16.25,148,5,25,118,51,61,25,11,0,10,79.1667,0.0185585,0.397938,0.212773,1.76827,0,9,9,0.183531,0.76095,0.406592,0,0,0,0,0.0295223,0.290911,0.460932,0,0,0,0.798286,0,0.593438,0.573274,0.22996,0.00125465
