step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173349,0,0.267311,0.0142151,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.32362e-08
200,20,0.833333,10,5,5,0,10,0,0,0,6,10,0,0.0293801,0,0.485395,0.0515372,0,2,0,0.130589,0,0.0219913,0,0,0,0,0.296044,0.0853704,0.332092,0,0,0,9.35266e-05,0,1,0.984257,0.231262,1.5227e-07
300,30,1.25,11,5,6,0,11,0,0,0,6,10,0,0.037539,0,0.645875,0.108898,0,2,0,0.146019,0,0.0764057,0,0,0,0,0.38302,0.2387,0.277036,0,0,0,1.64066e-05,0,1,0.924848,0.203299,4.74151e-07
400,40,1.66667,12,5,7,0,12,0,0,0,9,10,0,0.0430491,0,0.775861,0.180596,0,4,0,0.156993,0,0.164607,0,0,0,0,0.444097,0.422273,0.307262,0,0,0,1.61068e-05,0,1,0.816644,0.204569,1.25379e-06
500,50,2.08333,12,5,6,1,11,1,0,0,9,9,4.16667,0.0466546,0.000132191,0.691889,0.253668,0,4,0,0.217474,0,0.250949,0,0,0,0,0.494987,0.483839,0.333298,0,0,0,1.60777e-05,0,0.999608,0.674654,0.200785,2.56538e-06
600,60,2.5,13,5,7,1,12,1,0,0,9,9,4.16667,0.0488686,0.000278413,0.611793,0.319693,0,4,0,0.277008,0,0.327811,0,0,0,0,0.533051,0.514782,0.355697,0,0,0,1.60677e-05,0,0.998983,0.654707,0.20775,4.38129e-06
700,70,2.91667,14,5,6,3,11,3,0,0,8,9,12.5,0.050044,0.000566276,0.550269,0.378573,0,6,0,0.336953,0,0.391486,0,0,0,0,0.561455,0.504774,0.374741,0,0,0,1.60603e-05,0,0.997447,0.652698,0.215166,6.60305e-06
800,80,3.33333,17,5,9,3,14,3,0,0,11,8,12.5,0.0504424,0.000993994,0.500004,0.430446,0,6,0,0.386763,0,0.442908,0,0,0,0,0.576625,0.451787,0.390969,0,0,0,1.60549e-05,0,0.994786,0.650673,0.221455,9.11571e-06
900,90,3.75,20,5,11,4,16,4,0,0,6,10,12.5,0.0502596,0.00139412,0.505545,0.480662,0,6,0,0.398753,0,0.479864,0,0,0,0,0.572365,0.410452,0.404731,0,0,0,1.60495e-05,0,0.991834,0.648629,0.226755,1.18045e-05
