step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.269718,0.0143559,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,6,1,11,1,0,0,6,10,4.16667,0.0293801,7.24679e-05,0.532042,0.0541542,0,2,0,0.130483,0,0.0219913,0,0,0,0,0.296044,0.135689,0.299686,0,0,0,0.000484958,0,0.999808,0.973262,0.217201,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.037539,0.000319701,0.728868,0.118104,0,2,0,0.145015,0,0.0764057,0,0,0,0,0.38302,0.334545,0.276575,0,0,0,1.69824e-05,0,0.999133,0.87871,0.198501,1.91835e-05
400,40,1.66667,12,5,4,3,9,3,0,0,8,10,12.5,0.0430491,0.00061337,0.857844,0.19809,0,4,0,0.1534,0,0.164607,0,0,0,0,0.444097,0.523271,0.306971,0,0,0,1.64622e-05,0,0.998288,0.704212,0.19321,5.07042e-05
500,50,2.08333,12,5,4,3,9,3,0,0,9,10,12.5,0.0466499,0.00103805,0.811558,0.281226,0,4,0,0.185467,0,0.249496,0,0,0,0,0.49197,0.609831,0.333119,0,0,0,1.62003e-05,0,0.996934,0.656669,0.198915,0.000103445
600,60,2.5,16,5,7,4,12,4,0,0,9,9,12.5,0.0488449,0.00143533,0.641355,0.355974,0,4,0,0.243462,0,0.32462,0,0,0,0,0.528968,0.641599,0.355153,0,0,0,1.61184e-05,0,0.995122,0.654536,0.207515,0.000175585
700,70,2.91667,19,5,8,6,14,5,0,0,8,9,16.6667,0.0499946,0.00195274,0.618265,0.419531,0,6,0,0.298005,0,0.387266,0,0,0,0,0.555065,0.602886,0.373355,0,0,0,1.60843e-05,0,0.992179,0.652199,0.214562,0.000263241
800,80,3.33333,19,5,7,7,12,7,0,0,8,8,20.8333,0.0503635,0.00262207,0.539285,0.475825,0,6,0,0.348772,0,0.437332,0,0,0,0,0.571517,0.538571,0.38805,0,0,0,1.60645e-05,0,0.988315,0.649638,0.220184,0.000361817
900,90,3.75,24,5,11,8,16,8,0,0,8,8,25,0.0501505,0.00367924,0.534401,0.529616,0,6,0,0.353905,0,0.476137,0,0,0,0,0.565108,0.479583,0.399623,0,0,0,1.60549e-05,0,0.98293,0.646893,0.224539,0.000466847
1000,100,4.16667,26,5,12,9,17,9,0,0,7,7,25,0.049486,0.00479809,0.532185,0.583262,0,10,0,0.349616,0,0.489792,0,0,0,0,0.551509,0.430845,0.483579,0,0,0,1.60485e-05,0,0.976843,0.644014,0.227971,0.000572721
1100,110,4.58333,32,5,13,14,19,13,0,0,4,9,29.1667,0.0484174,0.00592422,0.53632,0.636365,0,10,0,0.337772,0,0.489792,0,0,0,0,0.531137,0.389928,0.578471,0,0,0,1.60428e-05,0,0.970503,0.641037,0.230664,0.000670223
1200,120,5,37,5,16,16,21,16,0,0,2,8,29.1667,0.0470722,0.00726684,0.526994,0.689358,0,10,0,0.330176,0,0.489792,0,0,0,0,0.507654,0.35802,0.610697,0,0,0,1.60387e-05,0,0.963358,0.637997,0.232696,0.000758298
1300,130,5.41667,43,5,17,21,24,19,0,0,1,10,33.3333,0.0455556,0.00882689,0.49031,0.740352,0,10,0,0.334186,0,0.489793,0,0,0,0,0.488444,0.338836,0.617563,0,0,0,1.60355e-05,0,0.955375,0.63492,0.234184,0.000837374
1400,140,5.83333,45,5,15,25,23,22,0,0,1,9,33.3333,0.0439458,0.0103509,0.472897,0.788365,0,10,0,0.337847,0,0.489793,0,0,0,0,0.468619,0.304029,0.603121,0,0,0,1.60323e-05,0,0.947209,0.63183,0.235299,0.000908216
